h_coefficient,L2_P_Gaussian,L2_P_Cubic,L2_P_Wendland,L2_Grad_Gaussian,L2_Grad_Cubic,L2_Grad_Wendland,L2_DrhoDt_Gaussian,L2_DrhoDt_Cubic,L2_DrhoDt_Wendland
1.2,0.0705694,0.0765399,0.11424,119.765238186758,117.878804775643,110.108216905251,93.5902,86.722,84.2141
1.5,0.0782957,0.0713894,0.0699743,112.521081995085,124.939701327436,122.609486471174,97.4332,96.254,94.5279
1.8,0.0837712,0.0787409,0.0752253,102.002904413888,114.557052219339,115.352159315213,97.7593,98.0097,97.3043
2,0.0865485,0.0817983,0.0786038,95.5093279243537,109.362015616544,110.917365475998,97.6104,98.0791,97.0408
