time,ID,r,z,u_r,u_z,rho,pressure,pairAr,pairAz,totalAr,totalAz
0,1048,3.875,8.125,0,0,1000,0,0,0,0,-9.81
0.01,1048,3.875,8.12451,-1.97276e-16,-0.0981,1000,0,-2.01573e-13,1.68836e-16,-2.01573e-13,-9.81
0.02,1048,3.875,8.12304,-1.79753e-11,-0.1962,1000,2.28499e-06,-1.41314e-08,4.91774e-09,-1.35418e-08,-9.81
0.03,1048,3.875,8.12059,-5.09582e-09,-0.2943,1000,0.001293,-2.66851e-06,4.69978e-06,-2.33483e-06,-9.81
0.04,1048,3.875,8.11715,-2.19164e-07,-0.392399,1000,0.132491,-0.000104096,0.000459924,-6.9905e-05,-9.80954
0.05,1048,3.875,8.11274,-3.31571e-06,-0.49046,1000,4.37224,-0.00190444,0.0124163,-0.00077612,-9.79758
0.06,1048,3.875,8.10734,-2.47435e-05,-0.588004,1000.01,63.1459,-0.0205397,0.141234,-0.00424408,-9.66877
0.07,1048,3.875,8.10099,-0.000103463,-0.682014,1000.05,486.28,-0.137327,0.841504,-0.0118411,-8.9685
0.08,1048,3.875,8.09375,-0.000231069,-0.762588,1000.23,2270.17,-0.594516,2.97182,-0.00879933,-6.83818
0.09,1048,3.875,8.08584,-8.29015e-05,-0.813208,1000.71,7007.02,-1.75278,6.7057,0.0541971,-3.1043
0.1,1048,3.875,8.07762,0.0012237,-0.825227,1001.55,15238.8,-3.70115,10.2594,0.225375,0.449436
0.11,1048,3.87503,8.06942,0.00458331,-0.811236,1002.5,24719.5,-5.92534,11.8392,0.437927,2.02916
0.12,1048,3.8751,8.06143,0.00936947,-0.785992,1003.23,31963.9,-7.75601,13.0567,0.466011,3.24673
0.13,1048,3.87521,8.05377,0.012661,-0.738823,1003.6,35667,-9.04012,16.3392,0.130774,6.52924
0.14,1048,3.87533,8.04678,0.011252,-0.654656,1003.71,36842.4,-9.88729,19.7952,-0.415563,9.98523
0.15,1048,3.87542,8.04075,0.00504609,-0.549403,1003.71,36821.2,-10.2242,20.3377,-0.758066,10.5277
0.16,1048,3.87543,8.03577,-0.00237417,-0.44979,1003.71,36786.8,-10.1087,19.219,-0.651444,9.40898
0.17,1048,3.87538,8.03173,-0.00697377,-0.356893,1003.75,37246.8,-9.81888,19.2602,-0.243687,9.45023
0.18,1048,3.87531,8.02865,-0.0072613,-0.257873,1003.78,37531.3,-9.48377,20.1363,0.16448,10.3263
0.19,1048,3.87525,8.0266,-0.00438083,-0.153242,1003.77,37389,-9.24541,20.2334,0.366541,10.4234
0.2,1048,3.87522,8.02558,-0.000797681,-0.0511564,1003.78,37474.7,-9.32125,19.8265,0.312702,10.0165
0.21,1048,3.87523,8.02556,0.00143279,0.0488108,1003.8,37678.6,-9.55891,19.8768,0.127266,10.0668
0.22,1048,3.87524,8.02656,0.00189702,0.150585,1003.77,37395.7,-9.63143,20.0441,-0.0177715,10.2341
0.23,1048,3.87526,8.02857,0.00144545,0.251918,1003.72,36937.3,-9.55122,19.7816,-0.0550094,9.97158
0.24,1048,3.87527,8.03159,0.00103858,0.34992,1003.71,36762.1,-9.47184,19.4771,-0.0205505,9.66714
0.25,1048,3.87528,8.03557,0.000998799,0.445842,1003.68,36532.7,-9.38843,19.3154,0.00408186,9.50536
0.26,1048,3.87529,8.04049,0.000902787,0.53875,1003.61,35831.1,-9.24614,18.784,-0.0334034,8.97405
0.27,1048,3.8753,8.04631,0.00022645,0.623287,1003.48,34479.4,-8.96966,17.6496,-0.103282,7.83962
0.28,1048,3.87529,8.05291,-0.0011904,0.693894,1003.24,32067.8,-8.43234,16.0066,-0.184108,6.19656
0.29,1048,3.87527,8.06013,-0.00356921,0.745488,1002.85,28176,-7.54532,13.8465,-0.295239,4.03654
0.3,1048,3.87522,8.06774,-0.00697177,0.773358,1002.32,22871.1,-6.25389,11.3107,-0.365645,1.50075
0.31,1048,3.87513,8.07551,-0.0102618,0.77539,1001.69,16672.6,-4.54805,8.73639,-0.252858,-1.07361
0.32,1048,3.87502,8.08317,-0.0113101,0.752657,1001.06,10460,-2.62616,6.38869,0.0703212,-3.42131
0.33,1048,3.87492,8.09049,-0.00871398,0.707927,1000.54,5288.65,-0.932362,4.3224,0.431746,-5.4876
0.34,1048,3.87486,8.09726,-0.00350742,0.643289,1000.18,1774.32,0.0879673,2.38249,0.54579,-7.42751
0.35,1048,3.87484,8.10329,0.000248447,0.559314,999.991,0,0.0530049,0.330993,0.0530049,-9.47901
0.36,1048,3.87485,8.10839,0.000292657,0.461571,999.915,0,-0.000206381,3.22314e-05,-0.000206381,-9.80997
0.37,1048,3.87485,8.11252,0.0002624,0.363542,999.866,0,-0.0165892,0.0396923,-0.0165892,-9.77031
0.38,1048,3.87485,8.11568,-0.00137228,0.268858,999.926,0,-0.462112,0.952144,-0.462112,-8.85786
0.39,1048,3.8748,8.11795,-0.00910812,0.189375,1000.15,1452.18,-1.07732,2.2935,-0.702598,-7.5165
0.4,1048,3.87469,8.11944,-0.00921669,0.103285,1000.22,2156.24,0.069137,-0.0562619,0.625508,-9.86626
0.41,1048,3.87463,8.11997,-0.00386369,0.00448384,1000.17,1645.72,-0.262742,0.628312,0.161929,-9.18169
0.42,1048,3.87459,8.11958,-0.00427517,-0.0806525,1000.26,2586.03,-0.613353,1.3833,0.0539034,-8.4267
0.43,1048,3.87457,8.11833,-0.000134297,-0.171135,1000.27,2604.21,-0.0132022,0.314321,0.65875,-9.49568
0.44,1048,3.87459,8.11616,0.00501093,-0.261887,1000.2,2005.95,-0.26108,1.42519,0.256532,-8.38481
0.45,1048,3.87465,8.11313,0.00582475,-0.342558,1000.2,1988.89,-0.49967,1.6369,0.0135342,-8.1731
0.46,1048,3.87471,8.10928,0.0059049,-0.429155,1000.19,1817.6,-0.524722,0.81764,-0.0557164,-8.99236
