dr0,0.00141421
r0,0.05
R,2
R/r0,40
Nr,20
Ntheta,222.144
Nboundary,223
Nfluid,4460
Nparticles,4683
Apolar,0.311157
Bpolar,0.00387451

ID,r,theta,x,y,Type
113,0.05,3.19612,-0.0499257,-0.00272515,boundary
114,0.05,3.22441,-0.0498286,-0.00413598,boundary
115,0.05,3.25269,-0.0496917,-0.00554351,boundary
116,0.05,3.28098,-0.0495151,-0.0069466,boundary
117,0.05,3.30926,-0.0492988,-0.00834413,boundary
118,0.05,3.33754,-0.0490431,-0.00973499,boundary
119,0.05,3.36583,-0.0487482,-0.0111181,boundary
120,0.05,3.39411,-0.0484143,-0.0124922,boundary
121,0.05,3.4224,-0.0480416,-0.0138564,boundary
122,0.05,3.45068,-0.0476306,-0.0152095,boundary
123,0.05,3.47897,-0.0471814,-0.0165505,boundary
124,0.05,3.50725,-0.0466945,-0.0178781,boundary
125,0.05,3.53553,-0.0461702,-0.0191915,boundary
126,0.05,3.56382,-0.045609,-0.0204896,boundary
127,0.05,3.5921,-0.0450113,-0.0217712,boundary
128,0.05,3.62039,-0.0443776,-0.0230355,boundary
129,0.05,3.64867,-0.0437084,-0.0242813,boundary
130,0.05,3.67696,-0.0430042,-0.0255076,boundary
131,0.05,3.70524,-0.0422656,-0.0267136,boundary
132,0.05,3.73352,-0.0414932,-0.0278982,boundary
133,0.05,3.76181,-0.0406877,-0.0290605,boundary
134,0.05,3.79009,-0.0398495,-0.0301996,boundary
135,0.05,3.81838,-0.0389795,-0.0313145,boundary
136,0.05,3.84666,-0.0380784,-0.0324043,boundary
137,0.05,3.87495,-0.0371467,-0.0334682,boundary
138,0.05,3.90323,-0.0361854,-0.0345053,boundary
139,0.05,3.93151,-0.0351951,-0.0355149,boundary
140,0.05,3.9598,-0.0341766,-0.036496,boundary
141,0.05,3.98808,-0.0331308,-0.0374479,boundary
142,0.05,4.01637,-0.0320585,-0.0383699,boundary
143,0.05,4.04465,-0.0309606,-0.0392612,boundary
144,0.05,4.07294,-0.0298379,-0.0401211,boundary
145,0.05,4.10122,-0.0286913,-0.0409489,boundary
146,0.05,4.1295,-0.0275218,-0.0417439,boundary
147,0.05,4.15779,-0.0263302,-0.0425055,boundary
148,0.05,4.18607,-0.0251176,-0.0432332,boundary
149,0.05,4.21436,-0.0238849,-0.0439262,boundary
150,0.05,4.24264,-0.0226331,-0.0445841,boundary
151,0.05,4.27092,-0.0213632,-0.0452064,boundary
152,0.05,4.29921,-0.0200762,-0.0457924,boundary
153,0.05,4.32749,-0.0187731,-0.0463419,boundary
154,0.05,4.35578,-0.017455,-0.0468543,boundary
155,0.05,4.38406,-0.016123,-0.0473292,boundary
156,0.05,4.41235,-0.014778,-0.0477662,boundary
157,0.05,4.44063,-0.0134213,-0.048165,boundary
158,0.05,4.46891,-0.0120538,-0.0485253,boundary
159,0.05,4.4972,-0.0106766,-0.0488468,boundary
160,0.05,4.52548,-0.00929096,-0.0491292,boundary
161,0.05,4.55377,-0.00789785,-0.0493723,boundary
162,0.05,4.58205,-0.00649842,-0.0495759,boundary
163,0.05,4.61034,-0.00509379,-0.0497399,boundary
164,0.05,4.63862,-0.00368508,-0.049864,boundary
165,0.05,4.6669,-0.00227343,-0.0499483,boundary
166,0.05,4.69519,-0.000859955,-0.0499926,boundary
167,0.05,4.72347,0.000554205,-0.0499969,boundary
168,0.05,4.75176,0.00196792,-0.0499613,boundary
169,0.05,4.78004,0.00338006,-0.0498856,boundary
170,0.05,4.80833,0.0047895,-0.0497701,boundary
171,0.05,4.83661,0.00619511,-0.0496147,boundary
172,0.05,4.86489,0.00759576,-0.0494197,boundary
173,0.05,4.89318,0.00899034,-0.0491851,boundary
174,0.05,4.92146,0.0103777,-0.0489112,boundary
