time,ID,r,z,u_r,u_z,rho,pressure,pairAr,pairAz,totalAr,totalAz
0.45,858,1.87769,10.438,-0.0175732,-4.2201,999.983,-196.495,-0.236774,-1.12951,-0.341423,-10.9395
0.46,858,1.87755,10.3953,-0.00652676,-4.32639,999.903,-1146.18,2.97289,-0.341232,2.36236,-10.1512
0.47,858,1.87761,10.3515,0.0189566,-4.42162,1000.04,468.253,1.9831,1.77536,2.23248,-8.03464
0.48,858,1.87787,10.307,0.0288141,-4.47936,1000.41,4823.23,-2.87945,5.54902,-0.312042,-4.26098
0.49,858,1.87812,10.262,0.0199555,-4.50581,1000.45,5308.2,-3.79567,6.24924,-0.970602,-3.56076
0.5,858,1.87829,10.2168,0.0158196,-4.55903,1000.01,93.2818,0.0468967,1.34866,0.0965594,-8.46134
0.51,858,1.87845,10.1706,0.0160727,-4.67677,999.656,-4043.76,1.81778,-3.845,-0.33567,-13.655
0.52,858,1.87858,10.1231,0.00877325,-4.8216,999.797,-2387.97,0.405622,-3.4313,-0.865793,-13.2413
0.53,858,1.87865,10.0743,0.00665582,-4.92929,1000.16,1900.64,-0.274772,1.89311,0.73677,-7.91689
0.54,858,1.87878,10.0248,0.0227641,-4.97834,1000.37,4344.19,-0.20523,6.28765,2.10616,-3.52235
0.55,858,1.8791,9.97483,0.0387055,-5.00613,1000.36,4236.88,-1.58462,6.01072,0.669305,-3.79928
0.56,858,1.87948,9.92454,0.0348112,-5.05482,1000.18,2081.35,-2.36214,2.97556,-1.25493,-6.83444
0.57,858,1.87977,9.8736,0.0220196,-5.13842,999.952,-561.383,-0.63457,0.108651,-0.93323,-9.70135
0.58,858,1.87996,9.82171,0.0198938,-5.2425,999.924,-898.322,0.9846,-0.59209,0.506723,-10.4021
0.59,858,1.8802,9.76877,0.0295942,-5.34295,1000.05,558.524,0.857726,0.186672,1.15477,-9.62333
0.6,858,1.88055,9.71487,0.037687,-5.43647,1000.04,417.316,0.114212,0.244773,0.336116,-9.56523
0.61,858,1.88092,9.66001,0.03634,-5.53695,999.921,-925.55,-0.0129913,-0.671107,-0.505102,-10.4811
0.62,858,1.88126,9.6041,0.0303164,-5.64643,999.917,-974.567,-0.126864,-1.21828,-0.644947,-11.0283
0.63,858,1.88153,9.54709,0.0247319,-5.75491,999.991,-102.662,-0.459568,-0.45332,-0.514131,-10.2633
0.64,858,1.88176,9.48907,0.0207795,-5.84614,1000.1,1189.21,-0.763138,1.98051,-0.131232,-7.82949
0.65,858,1.88198,9.43027,0.025057,-5.90667,1000.28,3330.66,-0.670128,4.93014,1.09914,-4.87986
0.66,858,1.8823,9.37101,0.0413457,-5.94088,1000.4,4673.05,-0.604781,6.52194,1.87686,-3.28806
0.67,858,1.8828,9.31145,0.0558903,-5.97106,1000.31,3667.99,-1.23325,5.72192,0.714305,-4.08808
0.68,858,1.88336,9.25151,0.0546813,-6.01923,1000.17,2052.67,-1.90958,3.74633,-0.819877,-6.06367
0.69,858,1.88387,9.191,0.0465211,-6.08397,1000.16,1829.95,-1.53309,2.82389,-0.561859,-6.98611
0.7,858,1.88432,9.12982,0.0473413,-6.15225,1000.17,1952.78,-0.380501,2.58412,0.655659,-7.22588
0.71,858,1.88484,9.06792,0.0569631,-6.22873,1000.05,627.471,0.730817,1.1619,1.0637,-8.6481
0.72,858,1.88546,9.00516,0.064713,-6.32651,999.907,-1090.29,0.950323,-0.776498,0.372005,-10.5865
0.73,858,1.88611,8.94135,0.0637667,-6.43654,999.926,-868.306,-0.12529,-0.821715,-0.585693,-10.6317
0.74,858,1.88671,8.87649,0.0555852,-6.53141,1000.12,1443.45,-1.69034,1.76119,-0.92537,-8.04881
0.75,858,1.88723,8.81084,0.0507738,-6.59121,1000.31,3699.25,-1.84868,4.98517,0.110853,-4.82483
0.76,858,1.88777,8.74473,0.0593488,-6.62691,1000.34,4063.87,-0.682908,6.05792,1.46909,-3.75208
0.77,858,1.88844,8.67827,0.0754292,-6.66639,1000.24,2812.77,-0.073849,4.66285,1.41526,-5.14715
0.78,858,1.88925,8.61132,0.0836727,-6.72644,1000.12,1427.11,-0.61795,2.72165,0.137343,-7.08835
0.79,858,1.89008,8.54369,0.0808304,-6.80003,1000.11,1296,-1.25324,2.31143,-0.567633,-7.49857
0.8,858,1.89086,8.47534,0.0771928,-6.86753,1000.21,2418.01,-1.38174,3.53108,-0.103212,-6.27892
0.81,858,1.89164,8.40639,0.0803624,-6.91965,1000.28,3350.16,-1.15789,4.84671,0.612641,-4.96329
0.82,858,1.89248,8.33697,0.0883654,-6.96237,1000.28,3349.62,-0.91679,5.36634,0.852666,-4.44366
0.83,858,1.89341,8.26713,0.0971164,-7.00273,1000.28,3332.61,-0.935916,5.50723,0.823697,-4.30277
0.84,858,1.89442,8.19691,0.105385,-7.04066,1000.32,3784.91,-1.29283,5.79182,0.704447,-4.01818
0.85,858,1.89551,8.12632,0.111493,-7.07499,1000.34,3951.61,-1.70715,6.02759,0.376874,-3.78241
0.86,858,1.89664,8.05539,0.114395,-7.10913,1000.31,3656.03,-1.77215,5.83637,0.154882,-3.97363
0.87,858,1.8978,7.98411,0.11742,-7.14749,1000.29,3359.87,-1.36803,5.31753,0.401871,-4.49247
0.88,858,1.899,7.91241,0.123801,-7.19222,1000.25,2941.03,-0.830619,4.64118,0.71772,-5.16882
0.89,858,1.90027,7.84022,0.131229,-7.24509,1000.2,2306.99,-0.621487,3.8542,0.592305,-5.9558
0.9,858,1.90161,7.76747,0.135888,-7.30512,1000.17,2028.96,-0.822594,3.47534,0.244188,-6.33466
0.91,858,1.90298,7.69412,0.138074,-7.36322,1000.22,2628.05,-1.25293,4.28848,0.12778,-5.52152
0.92,858,1.90437,7.62025,0.140822,-7.40526,1000.34,4061.66,-1.81128,6.31079,0.320793,-3.49921
0.93,858,1.90581,7.54608,0.146726,-7.423,1000.48,5626.64,-2.23155,8.53013,0.719405,-1.27987
0.94,858,1.90732,7.47184,0.157161,-7.42166,1000.53,6303.06,-2.12708,9.71178,1.17582,-0.0982181
0.95,858,1.90896,7.39764,0.171107,-7.41621,1000.5,5857.98,-1.72152,9.42841,1.34563,-0.381591
0.96,858,1.91074,7.32346,0.184139,-7.41926,1000.43,5100.6,-1.69634,8.3873,0.971948,-1.4227
0.97,858,1.91262,7.2492,0.191979,-7.4325,1000.4,4717.44,-2.07857,7.63272,0.386921,-2.17728
