tU_D,y_D,v_U,Cd,Cl,inlet_U_fraction,rho_min,rho_max
0.0,0.01,0.0,0.0,0.3543202858630052,0.000625,0.9999999999999997,1.0000000000000002
0.05,0.009983926406936836,-0.0006802484533573554,-0.00018315333138150926,0.021411011626256665,0.010625,0.9999212589273635,1.0008614931819622
0.1,0.009932205209454476,-0.001384392085314385,-0.00017509697257502715,0.028996254176432024,0.020625,0.9999230089206167,1.0017314235613655
0.15000000000000002,0.009846016647367398,-0.0020573299204519916,-8.349148851951953e-05,0.03764409286158368,0.030625,0.999928784261732,1.0026002116429564
0.2,0.009727025013345976,-0.002697316099585451,-1.3657023195113438e-07,0.043854460422395804,0.040625,0.999933507239936,1.0034690346295703
0.25,0.00957673192956,-0.0033104629267680674,3.700003776690747e-05,0.047273003247819495,0.05062500000000001,0.9999285449304974,1.0043385347852776
0.30000000000000004,0.009396334458857037,-0.0039021924140474518,3.902825194479984e-05,0.04864620050132602,0.060625,0.9999273698574263,1.0052090360612052
0.35000000000000003,0.009186818519126323,-0.004475506053399313,4.6573619436517314e-05,0.04874288369448267,0.070625,0.9999279440365823,1.0060807550941797
0.4,0.008949074792069888,-0.005031315786113203,0.045651945185983644,0.048128812809544924,0.080625,0.9999296668450447,1.0069537786190872
0.45,0.008683985420561468,-0.005569177769468122,0.40547476573767227,0.047147213994961815,0.09062499999999998,0.9999335333643709,1.0078292890541298
0.5,0.008392481232979752,-0.006087546179536637,0.7515477320447137,0.046195112022589135,0.10062500000000002,0.9999308321991565,1.0087052623042747
0.55,0.008075591980233488,-0.006584262710806098,0.9665566504962275,0.04521758437295299,0.110625,0.9999402137123374,1.0095802517709753
0.6000000000000001,0.007734442838899826,-0.0070577069876977755,1.0709380374950674,0.044091516168985996,0.120625,0.9999459155878361,1.0104584310798694
0.65,0.0073702318330182886,-0.007506507312089723,1.110642687136973,0.04284107200478579,0.130625,0.9999510670345332,1.011327974115815
0.7000000000000001,0.006984229863510695,-0.007928928901318062,1.1220472061303184,0.041942362685153375,0.140625,0.9999570442051641,1.012212351331276
0.75,0.0065778902055682355,-0.008317389051100322,1.126089609782645,0.045885947340640776,0.150625,0.9999630104848171,1.0130902117643503
0.8,0.006153475323716873,-0.00864879073664213,1.1318028266052955,0.05390140108652212,0.160625,0.9999683138367982,1.0140391144216088
0.8500000000000001,0.0057136592895147475,-0.008942253683867855,1.1412729775905903,0.04453472808609348,0.170625,0.9999780418667932,1.0151464613609253
0.9,0.005258713982362533,-0.009265347274909427,1.1538517651443347,0.015563110445814196,0.180625,0.9999845366356616,1.0161727877445887
0.9500000000000001,0.004786508982867408,-0.009621390754373911,1.1682320027802697,0.0072546895070312555,0.190625,0.9999697194748066,1.0171188028803817
1.0,0.004297427280405831,-0.009929179820742028,1.1831346346085174,0.018751583176271524,0.200625,0.9999681184702416,1.0180063199510585
1.05,0.0037948918984255595,-0.010160432478800434,1.1978099869558776,0.028221503207727486,0.210625,0.9999728653013743,1.018841313127449
1.1,0.0032823865081512637,-0.010331401761267903,1.2120092509433724,0.031127672998880668,0.220625,0.9999763067296109,1.019870044272189
1.1500000000000001,0.0027624599419836054,-0.010459986818637272,1.2265482090625734,0.0286203704468753,0.230625,0.9999787233913402,1.0207739640950453
1.2000000000000002,0.002236820127161854,-0.010561390836731953,1.2585464641890758,0.023724690314568395,0.240625,0.9999809182460879,1.0215869159943476
1.25,0.0017068606012077875,-0.010630658171958659,1.3080495682876556,0.022390392369569953,0.250625,0.9999829166777374,1.022430217720841
1.3,0.0011743741559795248,-0.010663353806259395,1.3383422311342126,0.019278556423460727,0.260625,0.9999846676821746,1.0233079362890325
1.35,0.0006409708421463938,-0.010668949486758115,1.3475213715260503,0.013309426292744283,0.270625,0.9999861503734491,1.024198466126938
1.4000000000000001,0.00010787655554510258,-0.010650239969429497,1.3431853180782294,0.008812498661821475,0.280625,0.9999874081209682,1.0251468025544581
1.4500000000000002,-0.000423521491440053,-0.010599738203365943,1.3321949643346127,0.006872131085964717,0.290625,0.9999884947384882,1.0261436647977888
1.5,-0.0009514711772278327,-0.010511878512550863,1.3256981022835046,0.005782883982958919,0.300625,0.9999894577109465,1.0270338928414613
1.55,-0.0014740876677736404,-0.010386744394779985,1.3394473990040023,0.00427482927337095,0.310625,0.9999903622904079,1.027861087352381
1.6,-0.001989527167013124,-0.010224009943914052,1.3838365200441587,0.004687064257138442,0.320625,0.9999908622728447,1.0287201428680603
1.6500000000000001,-0.0024956421590487305,-0.010010246081436414,1.4169687962529067,0.011611276857572513,0.330625,0.9999910163729042,1.0296020771207657
1.7000000000000002,-0.002989576975204966,-0.009741247882874492,1.4241148960563925,0.009635553193736794,0.340625,0.9999916518023013,1.0304770310600049
1.75,-0.0034698140328716844,-0.009474150005783343,1.4137248912141984,-0.013192353671929072,0.350625,0.9999929972213805,1.0313513205178173
1.8,-0.003937635262482403,-0.009241349607543371,1.4010648722928516,-0.028818795156806944,0.360625,0.9999919161644417,1.0322311002473028
1.85,-0.0043936069878374485,-0.008989359496150111,1.3992138012612263,-0.024742200360967442,0.370625,0.99998977195875,1.0332338168237636
1.9000000000000001,-0.004835635394074483,-0.008682620568405186,1.4082063328314187,-0.018234315708199573,0.380625,0.9999882900401711,1.0341052930382164
1.9500000000000002,-0.0052609712814070154,-0.008322429482260788,1.4243643750342905,-0.013114034782390255,0.390625,0.9999885246249964,1.0349384531355643
2.0,-0.005667226464072797,-0.007923660172806575,1.4453982950736293,-0.015458132565910132,0.400625,0.9999906280648216,1.0358374149625291
2.0500000000000003,-0.006053107268085345,-0.007509996999061164,1.4657835946922853,-0.02172295639600481,0.410625,1.0000102074469097,1.0367891014883
2.1,-0.006418002622856297,-0.007082555863141939,1.4816799783696368,-0.02440976600058569,0.420625,1.000275764640723,1.0377115314965637
2.15,-0.006760983347710249,-0.006632938003925284,1.4933578650667014,-0.02578327928827686,0.43062500000000004,1.0009080265604975,1.03861118822008
2.2,-0.007080972850689499,-0.0061637443755402305,1.504813529059608,-0.028028769777016738,0.44062500000000004,1.0014935210531426,1.0395099428561234
2.25,-0.007377061378886034,-0.005676536757225749,1.5205506458309126,-0.02897100921066548,0.45062500000000005,1.002164723535458,1.0404876025535206
2.3000000000000003,-0.007648269518943237,-0.005168189449232498,1.5449125714540695,-0.028811963504983832,0.46062500000000006,1.0028311636885463,1.0413862939548117
2.35,-0.007893579744617634,-0.004641986842937923,1.5720077423412766,-0.030531481303591502,0.47062500000000007,1.003438514586507,1.0422483516757288
2.4000000000000004,-0.00811231020946895,-0.004106123734579073,1.590725632604305,-0.0336469440920266,0.4806250000000001,1.004109205999015,1.0431302447570499
2.45,-0.00830409011828119,-0.0035636341466542465,1.5927271827893494,-0.03522760199708477,0.490625,1.0047918489655956,1.0440364059181089
2.5,-0.008468384595003627,-0.0030033048099097465,1.5864493339227879,-0.02975070189331897,0.500625,1.005469384824354,1.0449272964485046
2.5500000000000003,-0.008603811332699132,-0.0024083524383973973,1.5862989529799576,-0.023391553665941832,0.510625,1.006128541363386,1.045848235084345
2.6,-0.008709102485679129,-0.0018074637276170743,1.596972201962381,-0.034002069246855705,0.520625,1.006744494754269,1.0467595651921646
2.6500000000000004,-0.008785330233677967,-0.001249949778330118,1.6152672625331634,-0.05073279843922902,0.530625,1.0074082979780006,1.0476509464096064
2.7,-0.008834619584115078,-0.0007227167903574583,1.6384538976311283,-0.053358209406661944,0.540625,1.0080910125410167,1.0485584420647889
2.75,-0.008857353619437583,-0.00018226456080382375,1.6638470185943315,-0.04578206677605627,0.550625,1.0087699019252594,1.0494944854795343
2.8000000000000003,-0.008852528351608829,0.00037619732726714924,1.6847469620571167,-0.043836204771536845,0.560625,1.009449837330715,1.050407947362699
2.85,-0.008819807639623213,0.0009311925548160635,1.6990940211475434,-0.04540083479424271,0.570625,1.0101219978380724,1.0513050548470095
2.9000000000000004,-0.008759518888443708,0.0014799730178471366,1.710624058816226,-0.044281869692714554,0.580625,1.0107874320267545,1.0522221047637643
2.95,-0.008671769722009386,0.0020308948800708414,1.724643661185474,-0.04021729586274054,0.590625,1.0114910089345484,1.0531385879906507
