dr0,0.000447214
r0,0.005
R,0.2
R/r0,40
Nr,20
Ntheta,70.2481
Nboundary,71
Nfluid,1420
Nparticles,1491
Apolar,0.238789
Bpolar,0.00165812

ID,r,theta,x,y,Type
108,0.00544721,3.30938,-0.00537072,-0.000909694,fluid
109,0.00544721,3.39882,-0.00526799,-0.00138579,fluid
110,0.00544721,3.48827,-0.00512315,-0.00185081,fluid
111,0.00544721,3.57771,-0.00493735,-0.00230102,fluid
112,0.00544721,3.66715,-0.00471208,-0.00273285,fluid
113,0.00544721,3.75659,-0.00444913,-0.00314282,fluid
114,0.00544721,3.84604,-0.00415062,-0.00352767,fluid
115,0.00544721,3.93548,-0.00381893,-0.00388432,fluid
116,0.00544721,4.02492,-0.0034567,-0.00420991,fluid
117,0.00544721,4.11437,-0.00306684,-0.00450185,fluid
118,0.00544721,4.20381,-0.00265246,-0.00475779,fluid
119,0.00544721,4.29325,-0.00221687,-0.0049757,fluid
120,0.00544721,4.38269,-0.00176356,-0.00515383,fluid
121,0.00544721,4.47214,-0.00129616,-0.00529076,fluid
122,0.00544721,4.56158,-0.000818386,-0.00538539,fluid
123,0.00544721,4.65102,-0.000334073,-0.00543696,fluid
124,0.00544721,4.74046,0.000152911,-0.00544507,fluid
125,0.00544721,4.82991,0.000638672,-0.00540964,fluid
126,0.00544721,4.91935,0.00111933,-0.00533097,fluid
127,0.00544721,5.00879,0.00159103,-0.00520968,fluid
128,0.00544721,5.09823,0.00205002,-0.00504674,fluid
129,0.00544721,5.18768,0.00249262,-0.00484345,fluid
130,0.00544721,5.27712,0.00291529,-0.00460144,fluid
131,0.00544721,5.36656,0.00331465,-0.00432264,fluid
132,0.00544721,5.45601,0.00368752,-0.00400928,fluid
133,0.00544721,5.54545,0.0040309,-0.00366388,fluid
134,0.00544721,5.63489,0.00434206,-0.00328918,fluid
135,0.00544721,5.72433,0.0046185,-0.00288818,fluid
136,0.00544721,5.81378,0.00485802,-0.0024641,fluid
137,0.00544721,5.90322,0.0050587,-0.00202031,fluid
138,0.00544721,5.99266,0.00521894,-0.00156037,fluid
139,0.00544721,6.0821,0.00533746,-0.00108796,fluid
140,0.00544721,6.17155,0.0054133,-0.000606852,fluid
141,0.00544721,6.26099,0.00544587,-0.000120891,fluid
142,0.00601505,0,0.00601505,0,fluid
143,0.00601505,0.0894427,0.005991,0.000537285,fluid
144,0.00601505,0.178885,0.00591906,0.00107027,fluid
145,0.00601505,0.268328,0.0057998,0.00159471,fluid
146,0.00601505,0.357771,0.00563417,0.00210639,fluid
147,0.00601505,0.447214,0.0054235,0.00260124,fluid
148,0.00601505,0.536656,0.00516947,0.00307528,fluid
149,0.00601505,0.626099,0.00487411,0.00352475,fluid
150,0.00601505,0.715542,0.00453978,0.00394603,fluid
151,0.00601505,0.804984,0.00416916,0.00433576,fluid
152,0.00601505,0.894427,0.00376521,0.00469084,fluid
153,0.00601505,0.98387,0.00333116,0.00500841,fluid
154,0.00601505,1.07331,0.00287047,0.00528594,fluid
155,0.00601505,1.16276,0.00238684,0.00552121,fluid
156,0.00601505,1.2522,0.00188413,0.00571234,fluid
157,0.00601505,1.34164,0.00136635,0.0058578,fluid
158,0.00601505,1.43108,0.000837648,0.00595644,fluid
159,0.00601505,1.52053,0.00030225,0.00600745,fluid
160,0.00601505,1.60997,-0.000235565,0.00601043,fluid
161,0.00601505,1.69941,-0.000771496,0.00596536,fluid
162,0.00601505,1.78885,-0.00130126,0.00587261,fluid
163,0.00601505,1.8783,-0.00182062,0.0057329,fluid
164,0.00601505,1.96774,-0.00232542,0.00554736,fluid
165,0.00601505,2.05718,-0.00281164,0.00531747,fluid
166,0.00601505,2.14663,-0.00327537,0.00504507,fluid
167,0.00601505,2.23607,-0.00371292,0.00473233,fluid
168,0.00601505,2.32551,-0.00412079,0.00438176,fluid
169,0.00601505,2.41495,-0.00449571,0.00399616,fluid
170,0.00601505,2.5044,-0.00483469,0.00357862,fluid
171,0.00601505,2.59384,-0.00513502,0.00313246,fluid
172,0.00601505,2.68328,-0.0053943,0.00266126,fluid
173,0.00601505,2.77272,-0.00561045,0.00216879,fluid
174,0.00601505,2.86217,-0.00578175,0.00165897,fluid
175,0.00601505,2.95161,-0.00590682,0.00113589,fluid
176,0.00601505,3.04105,-0.00598467,0.000603736,fluid
177,0.00601505,3.1305,-0.00601468,6.67505e-05,fluid
178,0.00601505,3.21994,-0.00599659,-0.000470768,fluid
179,0.00601505,3.30938,-0.00593057,-0.00100452,fluid
180,0.00601505,3.39882,-0.00581714,-0.00153025,fluid
181,0.00601505,3.48827,-0.0056572,-0.00204374,fluid
182,0.00601505,3.57771,-0.00545203,-0.00254089,fluid
183,0.00601505,3.66715,-0.00520328,-0.00301773,fluid
184,0.00601505,3.75659,-0.00491292,-0.00347044,fluid
185,0.00601505,3.84604,-0.00458329,-0.00389541,fluid
186,0.00601505,3.93548,-0.00421702,-0.00428923,fluid
187,0.00601505,4.02492,-0.00381704,-0.00464876,fluid
188,0.00601505,4.11437,-0.00338653,-0.00497113,fluid
189,0.00601505,4.20381,-0.00292896,-0.00525376,fluid
190,0.00601505,4.29325,-0.00244796,-0.00549438,fluid
191,0.00601505,4.38269,-0.0019474,-0.00569108,fluid
192,0.00601505,4.47214,-0.00143127,-0.00584228,fluid
193,0.00601505,4.56158,-0.000903696,-0.00594677,fluid
194,0.00601505,4.65102,-0.000368897,-0.00600372,fluid
195,0.00601505,4.74046,0.000168851,-0.00601268,fluid
196,0.00601505,4.82991,0.000705249,-0.00597356,fluid
197,0.00601505,4.91935,0.00123601,-0.00588668,fluid
198,0.00601505,5.00879,0.00175689,-0.00575275,fluid
199,0.00601505,5.09823,0.00226372,-0.00557282,fluid
200,0.00601505,5.18768,0.00275246,-0.00534834,fluid
201,0.00601505,5.27712,0.00321919,-0.0050811,fluid
202,0.00601505,5.36656,0.00366018,-0.00477324,fluid
203,0.00601505,5.45601,0.00407191,-0.00442722,fluid
204,0.00601505,5.54545,0.00445109,-0.00404581,fluid
205,0.00601505,5.63489,0.00479468,-0.00363205,fluid
206,0.00601505,5.72433,0.00509994,-0.00318925,fluid
207,0.00601505,5.81378,0.00536443,-0.00272096,fluid
