h_coefficient,L2_P_Gaussian,L2_P_Cubic,L2_P_Wendland,L2_Grad_Gaussian,L2_Grad_Cubic,L2_Grad_Wendland,L2_DrhoDt_Gaussian,L2_DrhoDt_Cubic,L2_DrhoDt_Wendland
1.2,0.0722948,0.0702129,0.0667931,38.1646574196292,37.3840491537831,34.5617635168622,0,0,0
1.5,0.0747322,0.0726964,0.0703849,35.9488616944772,39.9290789756855,39.0927860981309,0,0,0
1.8,0.0769055,0.0744798,0.0728265,32.6512396424577,36.5517846594244,36.7705777138046,0,0,0
2,0.0784165,0.0755933,0.0742859,30.6240804215034,34.9603427192688,35.3795315323839,0,0,0
