dr0,0.00141421
r0,0.005
R,0.1
R/r0,20
Nr,20
Ntheta,22.2144
Nboundary,23
Nfluid,460
Nparticles,483
Apolar,0.107899
Bpolar,0.0124125

ID,r,theta,x,y,Type
106,0.0116991,3.9598,-0.00799675,-0.00853945,fluid
107,0.0116991,4.24264,-0.00529576,-0.0104319,fluid
108,0.0116991,4.52548,-0.00217393,-0.0114954,fluid
109,0.0116991,4.80833,0.00112066,-0.0116454,fluid
110,0.0116991,5.09117,0.00432619,-0.0108699,fluid
111,0.0116991,5.37401,0.00718793,-0.00923059,fluid
112,0.0116991,5.65685,0.00947846,-0.00685776,fluid
113,0.0116991,5.9397,0.0110158,-0.00393997,fluid
114,0.0116991,6.22254,0.0116776,-0.000709067,fluid
115,0.0138766,0,0.0138766,0,fluid
116,0.0138766,0.282843,0.0133253,0.00387278,fluid
117,0.0138766,0.565685,0.0117149,0.0074378,fluid
118,0.0138766,0.848528,0.00917368,0.0104117,fluid
119,0.0138766,1.13137,0.00590339,0.0125583,fluid
120,0.0138766,1.41421,0.00216397,0.0137069,fluid
121,0.0138766,1.69706,-0.00174741,0.0137662,fluid
122,0.0138766,1.9799,-0.00551993,0.0127315,fluid
123,0.0138766,2.26274,-0.00885379,0.0106851,fluid
124,0.0138766,2.54558,-0.0114841,0.00778955,fluid
125,0.0138766,2.82843,-0.0132017,0.004275,fluid
126,0.0138766,3.11127,-0.0138703,0.000420714,fluid
127,0.0138766,3.39411,-0.0134365,-0.003467,fluid
128,0.0138766,3.67696,-0.0119351,-0.0070792,fluid
129,0.0138766,3.9598,-0.00948512,-0.0101288,fluid
130,0.0138766,4.24264,-0.00628142,-0.0123735,fluid
131,0.0138766,4.52548,-0.00257855,-0.013635,fluid
132,0.0138766,4.80833,0.00132924,-0.0138128,fluid
133,0.0138766,5.09117,0.0051314,-0.012893,fluid
134,0.0138766,5.37401,0.00852577,-0.0109486,fluid
135,0.0138766,5.65685,0.0112426,-0.00813415,fluid
136,0.0138766,5.9397,0.013066,-0.00467328,fluid
137,0.0138766,6.22254,0.0138511,-0.000841041,fluid
138,0.0163022,0,0.0163022,0,fluid
139,0.0163022,0.282843,0.0156544,0.00454972,fluid
140,0.0163022,0.565685,0.0137627,0.00873789,fluid
141,0.0163022,0.848528,0.0107772,0.0122317,fluid
142,0.0163022,1.13137,0.00693528,0.0147534,fluid
143,0.0163022,1.41421,0.00254223,0.0161028,fluid
144,0.0163022,1.69706,-0.00205285,0.0161724,fluid
145,0.0163022,1.9799,-0.00648479,0.0149569,fluid
146,0.0163022,2.26274,-0.0104014,0.0125528,fluid
147,0.0163022,2.54558,-0.0134914,0.00915113,fluid
148,0.0163022,2.82843,-0.0155093,0.00502225,fluid
149,0.0163022,3.11127,-0.0162947,0.000494253,fluid
150,0.0163022,3.39411,-0.0157852,-0.00407302,fluid
