h/dp :,2
L2norm Pressure,KE,dp,Nparticles
102682,1.32335e+06,0.5,288

t,3.79
ID,r,z,,rho,drhodt,pressure,,u_r,u_z,velocity,,pairAr,pairAz,totalAr,totalAz,Type
0,0.25,-0.25,,1001.13,0,13317.9,,0,0,0,,0,0,53.2116,-9.81,boundary
1,0.75,-0.25,,1002.18,0,25813.8,,0,0,0,,0,0,34.3436,-9.81,boundary
2,1.25,-0.25,,1002.76,0,32811.7,,0,0,0,,0,0,26.177,-9.81,boundary
3,1.75,-0.25,,1001.19,0,14093.9,,0,0,0,,0,0,8.04407,-9.81,boundary
4,2.25,-0.25,,1003.37,0,40054.5,,0,0,0,,0,0,17.7422,-9.81,boundary
5,2.75,-0.25,,1002.24,0,26526.7,,0,0,0,,0,0,9.62453,-9.81,boundary
6,3.25,-0.25,,1000.99,0,11707.5,,0,0,0,,0,0,3.59874,-9.81,boundary
7,3.75,-0.25,,1000.87,0,10320.3,,0,0,0,,0,0,2.74966,-9.81,boundary
8,4.25,-0.25,,1001.12,0,13278.2,,0,0,0,,0,0,3.12078,-9.81,boundary
9,4.75,-0.25,,1000.94,0,11081.1,,0,0,0,,0,0,2.33067,-9.81,boundary
10,5.25,-0.25,,1000.07,0,782.366,,0,0,0,,0,0,0.149012,-9.81,boundary
11,5.75,-0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
12,6.25,-0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
13,6.75,-0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
14,7.25,-0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
15,7.75,-0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
16,8.25,-0.25,,1000.02,0,178.548,,0,0,0,,0,0,0.0216419,-9.81,boundary
17,8.75,-0.25,,1001.1,0,12990.8,,0,0,0,,0,0,1.48303,-9.81,boundary
18,9.25,-0.25,,1000.38,0,4526.68,,0,0,0,,0,0,0.489183,-9.81,boundary
19,9.75,-0.25,,1000.25,0,2954.31,,0,0,0,,0,0,0.30293,-9.81,boundary
20,10.25,-0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
21,10.75,-0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
22,11.25,-0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
23,11.75,-0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
24,12.25,-0.25,,1000.01,0,85.9736,,0,0,0,,0,0,0.0070182,-9.81,boundary
25,12.75,-0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
26,13.25,-0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
27,13.75,-0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
28,14.25,-0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
29,14.75,-0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
30,15.25,-0.25,,1000.32,0,3787.15,,0,0,0,,0,0,0.248258,-9.81,boundary
31,15.75,-0.25,,1000.71,0,8320.24,,0,0,0,,0,0,0.527897,-9.81,boundary
32,16.25,-0.25,,1000.84,0,9858.04,,0,0,0,,0,0,0.606143,-9.81,boundary
33,16.75,-0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
34,17.25,-0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
35,17.75,-0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
36,18.25,-0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
37,18.75,-0.25,,1000.2,0,2408.3,,0,0,0,,0,0,0.128416,-9.81,boundary
38,19.25,-0.25,,1000.24,0,2786.83,,0,0,0,,0,0,0.144736,-9.81,boundary
39,19.75,-0.25,,1000.26,0,3045.45,,0,0,0,,0,0,0.15416,-9.81,boundary
40,20.25,-0.25,,1001.82,0,21546.4,,0,0,0,,0,0,1.06209,-9.81,boundary
41,20.75,-0.25,,1000.26,0,3103.3,,0,0,0,,0,0,0.149517,-9.81,boundary
42,21.25,-0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
43,21.75,-0.25,,1000.73,0,8619.1,,0,0,0,,0,0,0.395991,-9.81,boundary
44,22.25,-0.25,,1001.55,0,18297.9,,0,0,0,,0,0,0.821108,-9.81,boundary
45,22.75,-0.25,,1001.63,0,19223.4,,0,0,0,,0,0,0.843614,-9.81,boundary
46,23.25,-0.25,,1001.38,0,16311.1,,0,0,0,,0,0,0.700585,-9.81,boundary
47,23.75,-0.25,,1000.52,0,6075.86,,0,0,0,,0,0,0.255694,-9.81,boundary
48,24.25,-0.25,,1000.52,0,6075.86,,0,0,0,,0,0,0.250422,-9.81,boundary
49,24.75,-0.25,,1000.2,0,2386.89,,0,0,0,,0,0,0.0964204,-9.81,boundary
50,25.25,-0.25,,1000.5,0,5853.99,,0,0,0,,0,0,0.231726,-9.81,boundary
51,0.25,-0.75,,1002.19,0,25914,,0,0,0,,0,0,103.43,-9.81,boundary
52,0.75,-0.75,,1002.22,0,26289.5,,0,0,0,,0,0,34.9751,-9.81,boundary
53,1.25,-0.75,,1002.83,0,33550.4,,0,0,0,,0,0,26.7647,-9.81,boundary
54,1.75,-0.75,,1003.69,0,43870.4,,0,0,0,,0,0,24.9767,-9.81,boundary
55,2.25,-0.75,,1003.88,0,46225.4,,0,0,0,,0,0,20.4652,-9.81,boundary
56,2.75,-0.75,,1002.76,0,32747.7,,0,0,0,,0,0,11.8755,-9.81,boundary
57,3.25,-0.75,,1001.24,0,14702,,0,0,0,,0,0,4.51808,-9.81,boundary
58,3.75,-0.75,,1001.04,0,12286.6,,0,0,0,,0,0,3.27303,-9.81,boundary
59,4.25,-0.75,,1001.05,0,12399,,0,0,0,,0,0,2.91436,-9.81,boundary
60,4.75,-0.75,,1001.22,0,14408.9,,0,0,0,,0,0,3.02977,-9.81,boundary
61,5.25,-0.75,,1000.45,0,5286.79,,0,0,0,,0,0,1.00656,-9.81,boundary
62,5.75,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
63,6.25,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
64,6.75,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
65,7.25,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
66,7.75,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
67,8.25,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
68,8.75,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
69,9.25,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
70,9.75,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
71,10.25,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
72,10.75,-0.75,,1000.18,0,2090.65,,0,0,0,,0,0,0.194444,-9.81,boundary
73,11.25,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
74,11.75,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
75,12.25,-0.75,,1000.01,0,79.5127,,0,0,0,,0,0,0.00649079,-9.81,boundary
76,12.75,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
77,13.25,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
78,13.75,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
79,14.25,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
80,14.75,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
81,15.25,-0.75,,1000.7,0,8299.89,,0,0,0,,0,0,0.543872,-9.81,boundary
82,15.75,-0.75,,1000.97,0,11507,,0,0,0,,0,0,0.729894,-9.81,boundary
83,16.25,-0.75,,1001.89,0,22417.8,,0,0,0,,0,0,1.37695,-9.81,boundary
84,16.75,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
85,17.25,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
86,17.75,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
87,18.25,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
88,18.75,-0.75,,1000.21,0,2463.53,,0,0,0,,0,0,0.131361,-9.81,boundary
89,19.25,-0.75,,1000.24,0,2800.66,,0,0,0,,0,0,0.145454,-9.81,boundary
90,19.75,-0.75,,1000.26,0,3108.98,,0,0,0,,0,0,0.157375,-9.81,boundary
91,20.25,-0.75,,1000.54,0,6388.48,,0,0,0,,0,0,0.31531,-9.81,boundary
92,20.75,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
93,21.25,-0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
94,21.75,-0.75,,1001.43,0,16931.5,,0,0,0,,0,0,0.777346,-9.81,boundary
95,22.25,-0.75,,1002.91,0,34553.9,,0,0,0,,0,0,1.54848,-9.81,boundary
96,22.75,-0.75,,1002.97,0,35281.5,,0,0,0,,0,0,1.54624,-9.81,boundary
97,23.25,-0.75,,1002.35,0,27905.5,,0,0,0,,0,0,1.19742,-9.81,boundary
98,23.75,-0.75,,1001.94,0,22983.4,,0,0,0,,0,0,0.965846,-9.81,boundary
99,24.25,-0.75,,1001.69,0,20018.6,,0,0,0,,0,0,0.824116,-9.81,boundary
100,24.75,-0.75,,1001.36,0,16121.7,,0,0,0,,0,0,0.650496,-9.81,boundary
101,25.25,-0.75,,1001.77,0,20909.5,,0,0,0,,0,0,0.826639,-9.81,boundary
102,0.25,-1.25,,1002.18,0,25794.6,,0,0,0,,0,0,102.954,-9.81,boundary
103,0.75,-1.25,,1002.06,0,24453.3,,0,0,0,,0,0,32.5373,-9.81,boundary
104,1.25,-1.25,,1002.12,0,25074.7,,0,0,0,,0,0,20.0174,-9.81,boundary
105,1.75,-1.25,,1002.98,0,35336.5,,0,0,0,,0,0,20.1324,-9.81,boundary
106,2.25,-1.25,,1003.33,0,39649.9,,0,0,0,,0,0,17.5636,-9.81,boundary
107,2.75,-1.25,,1002.82,0,33469.8,,0,0,0,,0,0,12.1366,-9.81,boundary
108,3.25,-1.25,,1001.42,0,16830.1,,0,0,0,,0,0,5.17112,-9.81,boundary
109,3.75,-1.25,,1001.22,0,14420.2,,0,0,0,,0,0,3.84071,-9.81,boundary
110,4.25,-1.25,,1001.5,0,17705,,0,0,0,,0,0,4.15966,-9.81,boundary
111,4.75,-1.25,,1001.69,0,20016.8,,0,0,0,,0,0,4.20694,-9.81,boundary
112,5.25,-1.25,,1000.88,0,10393.9,,0,0,0,,0,0,1.97804,-9.81,boundary
113,5.75,-1.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
114,6.25,-1.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
115,6.75,-1.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
116,7.25,-1.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
117,7.75,-1.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
118,8.25,-1.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
119,8.75,-1.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
120,9.25,-1.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
121,9.75,-1.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
122,10.25,-1.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
123,10.75,-1.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
124,11.25,-1.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
125,11.75,-1.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
126,12.25,-1.25,,1000.01,0,85.9965,,0,0,0,,0,0,0.00702007,-9.81,boundary
127,12.75,-1.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
128,13.25,-1.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
129,13.75,-1.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
130,14.25,-1.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
131,14.75,-1.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
132,15.25,-1.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
133,15.75,-1.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
134,16.25,-1.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
135,16.75,-1.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
136,17.25,-1.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
137,17.75,-1.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
138,18.25,-1.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
139,18.75,-1.25,,1000.19,0,2286.46,,0,0,0,,0,0,0.121921,-9.81,boundary
140,19.25,-1.25,,1000.24,0,2772.17,,0,0,0,,0,0,0.143975,-9.81,boundary
141,19.75,-1.25,,1000.26,0,3105.34,,0,0,0,,0,0,0.157191,-9.81,boundary
142,20.25,-1.25,,1000.01,0,69.072,,0,0,0,,0,0,0.00341094,-9.81,boundary
143,20.75,-1.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
144,21.25,-1.25,,1000.79,0,9307.75,,0,0,0,,0,0,0.437667,-9.81,boundary
145,21.75,-1.25,,1004,0,47618.3,,0,0,0,,0,0,2.18063,-9.81,boundary
146,22.25,-1.25,,1006.7,0,80485.1,,0,0,0,,0,0,3.59323,-9.81,boundary
147,22.75,-1.25,,1006.01,0,71989.7,,0,0,0,,0,0,3.14549,-9.81,boundary
148,23.25,-1.25,,1004.93,0,58918.6,,0,0,0,,0,0,2.5217,-9.81,boundary
149,23.75,-1.25,,1004.12,0,49084.8,,0,0,0,,0,0,2.05825,-9.81,boundary
150,24.25,-1.25,,1004.06,0,48388.3,,0,0,0,,0,0,1.98733,-9.81,boundary
151,24.75,-1.25,,1004.48,0,53478.2,,0,0,0,,0,0,2.1511,-9.81,boundary
152,25.25,-1.25,,1005.35,0,63947.3,,0,0,0,,0,0,2.5191,-9.81,boundary
153,24.25,0.25,,1000.52,0,6075.86,,0,0,0,,0,0,0.250422,-9.81,boundary
154,24.25,0.75,,1000.12,0,1420.78,,0,0,0,,0,0,0.0585818,-9.81,boundary
155,24.25,1.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
156,24.25,1.75,,1000.07,0,856.278,,0,0,0,,0,0,0.0353079,-9.81,boundary
157,24.25,2.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
158,24.25,2.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
159,24.25,3.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
160,24.25,3.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
161,24.25,4.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
162,24.25,4.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
163,24.25,5.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
164,24.25,5.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
165,24.25,6.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
166,24.25,6.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
167,24.25,7.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
168,24.25,7.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
169,24.25,8.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
170,24.25,8.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
171,24.25,9.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
172,24.25,9.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
173,24.25,10.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
174,24.25,10.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
175,24.25,11.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
176,24.25,11.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
177,24.25,12.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
178,24.25,12.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
179,24.25,13.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
180,24.25,13.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
181,24.25,14.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
182,24.25,14.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
183,24.75,0.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
184,24.75,0.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
185,24.75,1.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
186,24.75,1.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
187,24.75,2.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
188,24.75,2.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
189,24.75,3.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
190,24.75,3.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
191,24.75,4.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
192,24.75,4.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
193,24.75,5.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
194,24.75,5.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
195,24.75,6.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
196,24.75,6.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
197,24.75,7.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
198,24.75,7.75,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
199,24.75,8.25,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
