dr0,0.000447214
r0,0.005
R,0.2
R/r0,40
Nr,60
Ntheta,70
Nboundary,70
Nfluid,4200
Nparticles,4270
Apolar,0.0536778
Bpolar,0.00810983

L2normPGauss,L2normPCubic,L2normPWedn,L2normdrhodtGauss,L2normdrhodtCubic,L2normdrhodtWedn
0.0943825,0.0899719,0.083827,10.9521,11.4058,12.4217

ID,r,theta,x,y,Type,,PGauss,PCubic,PWed,,dPGaussX,dPGaussY,,dPCubicX,dPCubicY,,dPWednX,dPWednY,,drhodtGauss,drhodtCubic,drhodtWedn
31,0.005,2.78255,-0.00468117,0.00175687,boundary,,0.521452,0.519869,0.557809,,-1018.07,382.087,,-1001.96,376.044,,-919.532,345.106,,-50.9678,-49.0653,-45.1454,
32,0.005,2.87231,-0.00481981,0.00133018,boundary,,0.521452,0.519869,0.557809,,-1048.22,289.29,,-1031.64,284.714,,-946.765,261.291,,-50.899,-49.1664,-45.3027,
33,0.005,2.96207,-0.00491965,0.000892784,boundary,,0.521452,0.519869,0.557809,,-1069.93,194.164,,-1053.01,191.093,,-966.375,175.371,,-50.8483,-49.241,-45.4187,
34,0.005,3.05183,-0.00497987,0.000448197,boundary,,0.521452,0.519869,0.557809,,-1083.03,97.4743,,-1065.9,95.9326,,-978.205,88.0401,,-50.8171,-49.2868,-45.4899,
35,0.005,3.14159,-0.005,6.12323e-19,boundary,,0.521452,0.519869,0.557809,,-1087.41,1.63592e-13,,-1070.21,1.13687e-13,,-982.159,1.13687e-13,,-50.8067,-49.3022,-45.5139,
36,0.005,3.23135,-0.00497987,-0.000448197,boundary,,0.521452,0.519869,0.557809,,-1083.03,-97.4743,,-1065.9,-95.9326,,-978.205,-88.0401,,-50.8171,-49.2868,-45.4899,
37,0.005,3.32111,-0.00491965,-0.000892784,boundary,,0.521452,0.519869,0.557809,,-1069.93,-194.164,,-1053.01,-191.093,,-966.375,-175.371,,-50.8483,-49.241,-45.4187,
38,0.005,3.41087,-0.00481981,-0.00133018,boundary,,0.521452,0.519869,0.557809,,-1048.22,-289.29,,-1031.64,-284.714,,-946.765,-261.291,,-50.899,-49.1664,-45.3027,
39,0.005,3.50063,-0.00468117,-0.00175687,boundary,,0.521452,0.519869,0.557809,,-1018.07,-382.087,,-1001.96,-376.044,,-919.532,-345.106,,-50.9678,-49.0653,-45.1454,
40,0.005,3.59039,-0.00450484,-0.00216942,boundary,,0.521452,0.519869,0.557809,,-979.718,-471.807,,-964.223,-464.345,,-884.895,-426.143,,-51.0524,-48.9409,-44.952,
41,0.005,3.68015,-0.00429224,-0.0025645,boundary,,0.521452,0.519869,0.557809,,-933.482,-557.729,,-918.717,-548.908,,-843.133,-503.749,,-51.1501,-48.7973,-44.7287,
42,0.005,3.76991,-0.00404508,-0.00293893,boundary,,0.521452,0.519869,0.557809,,-879.729,-639.161,,-865.815,-629.052,,-794.583,-577.299,,-51.2577,-48.6391,-44.4827,
43,0.005,3.85967,-0.00376536,-0.00328969,boundary,,0.521452,0.519869,0.557809,,-818.894,-715.446,,-805.942,-704.13,,-739.636,-646.201,,-51.3717,-48.4714,-44.2219,
44,0.005,3.94943,-0.00345531,-0.00361397,boundary,,0.521452,0.519869,0.557809,,-751.465,-785.971,,-739.58,-773.54,,-678.733,-709.9,,-51.4886,-48.2995,-43.9546,
45,0.005,4.03919,-0.00311745,-0.00390916,boundary,,0.521452,0.519869,0.557809,,-677.986,-850.168,,-667.263,-836.721,,-612.366,-767.883,,-51.6046,-48.129,-43.6895,
46,0.005,4.12895,-0.00275448,-0.00417287,boundary,,0.521452,0.519869,0.557809,,-599.048,-907.519,,-589.573,-893.166,,-541.069,-819.684,,-51.7159,-47.9654,-43.435,
47,0.005,4.21871,-0.00236934,-0.00440298,boundary,,0.521452,0.519869,0.557809,,-515.287,-957.564,,-507.137,-942.419,,-465.414,-864.885,,-51.8189,-47.8139,-43.1994,
48,0.005,4.30847,-0.00196513,-0.00459764,boundary,,0.521452,0.519869,0.557809,,-427.377,-999.899,,-420.618,-984.085,,-386.013,-903.123,,-51.9104,-47.6793,-42.9902,
49,0.005,4.39823,-0.00154508,-0.00475528,boundary,,0.521452,0.519869,0.557809,,-336.027,-1034.18,,-330.712,-1017.83,,-303.504,-934.089,,-51.9874,-47.5661,-42.8142,
50,0.005,4.48799,-0.0011126,-0.00487464,boundary,,0.521452,0.519869,0.557809,,-241.97,-1060.14,,-238.143,-1043.37,,-218.551,-957.534,,-52.0474,-47.4779,-42.677,
51,0.005,4.57775,-0.000671166,-0.00495475,boundary,,0.521452,0.519869,0.557809,,-145.966,-1077.56,,-143.657,-1060.52,,-131.838,-973.27,,-52.0885,-47.4174,-42.583,
52,0.005,4.66751,-0.000224324,-0.00499497,boundary,,0.521452,0.519869,0.557809,,-48.7863,-1086.31,,-48.0146,-1069.13,,-44.0644,-981.17,,-52.1094,-47.3867,-42.5352,
53,0.005,4.75727,0.000224324,-0.00499497,boundary,,0.521452,0.519869,0.557809,,48.7863,-1086.31,,48.0146,-1069.13,,44.0644,-981.17,,-52.1094,-47.3867,-42.5352,
54,0.005,4.84703,0.000671166,-0.00495475,boundary,,0.521452,0.519869,0.557809,,145.966,-1077.56,,143.657,-1060.52,,131.838,-973.27,,-52.0885,-47.4174,-42.583,
55,0.005,4.93679,0.0011126,-0.00487464,boundary,,0.521452,0.519869,0.557809,,241.97,-1060.14,,238.143,-1043.37,,218.551,-957.534,,-52.0474,-47.4779,-42.677,
56,0.005,5.02655,0.00154508,-0.00475528,boundary,,0.521452,0.519869,0.557809,,336.027,-1034.18,,330.712,-1017.83,,303.504,-934.089,,-51.9874,-47.5661,-42.8142,
57,0.005,5.11631,0.00196513,-0.00459764,boundary,,0.521452,0.519869,0.557809,,427.377,-999.899,,420.618,-984.085,,386.013,-903.123,,-51.9104,-47.6793,-42.9902,
58,0.005,5.20607,0.00236934,-0.00440298,boundary,,0.521452,0.519869,0.557809,,515.287,-957.564,,507.137,-942.419,,465.414,-864.885,,-51.8189,-47.8139,-43.1994,
59,0.005,5.29583,0.00275448,-0.00417287,boundary,,0.521452,0.519869,0.557809,,599.048,-907.519,,589.573,-893.166,,541.069,-819.684,,-51.7159,-47.9654,-43.435,
60,0.005,5.38559,0.00311745,-0.00390916,boundary,,0.521452,0.519869,0.557809,,677.986,-850.168,,667.263,-836.721,,612.366,-767.883,,-51.6046,-48.129,-43.6895,
61,0.005,5.47535,0.00345531,-0.00361397,boundary,,0.521452,0.519869,0.557809,,751.465,-785.971,,739.58,-773.54,,678.733,-709.9,,-51.4886,-48.2995,-43.9546,
62,0.005,5.56511,0.00376536,-0.00328969,boundary,,0.521452,0.519869,0.557809,,818.894,-715.446,,805.942,-704.13,,739.636,-646.201,,-51.3717,-48.4714,-44.2219,
63,0.005,5.65487,0.00404508,-0.00293893,boundary,,0.521452,0.519869,0.557809,,879.729,-639.161,,865.815,-629.052,,794.583,-577.299,,-51.2577,-48.6391,-44.4827,
64,0.005,5.74463,0.00429224,-0.0025645,boundary,,0.521452,0.519869,0.557809,,933.482,-557.729,,918.717,-548.908,,843.133,-503.749,,-51.1501,-48.7973,-44.7287,
65,0.005,5.83439,0.00450484,-0.00216942,boundary,,0.521452,0.519869,0.557809,,979.718,-471.807,,964.223,-464.345,,884.895,-426.143,,-51.0524,-48.9409,-44.952,
66,0.005,5.92415,0.00468117,-0.00175687,boundary,,0.521452,0.519869,0.557809,,1018.07,-382.087,,1001.96,-376.044,,919.532,-345.106,,-50.9678,-49.0653,-45.1454,
67,0.005,6.01391,0.00481981,-0.00133018,boundary,,0.521452,0.519869,0.557809,,1048.22,-289.29,,1031.64,-284.714,,946.765,-261.291,,-50.899,-49.1664,-45.3027,
68,0.005,6.10367,0.00491965,-0.000892784,boundary,,0.521452,0.519869,0.557809,,1069.93,-194.164,,1053.01,-191.093,,966.375,-175.371,,-50.8483,-49.241,-45.4187,
69,0.005,6.19343,0.00497987,-0.000448197,boundary,,0.521452,0.519869,0.557809,,1083.03,-97.4743,,1065.9,-95.9326,,978.205,-88.0401,,-50.8171,-49.2868,-45.4899,
70,0.00544721,0,0.00544721,0,fluid,,0.856918,0.894085,0.923042,,519.799,1.28796e-12,,517.524,2.42084e-12,,506.686,3.01364e-12,,-66.1614,-70.9211,-71.2865,
71,0.00544721,0.0897598,0.00542528,0.000488284,fluid,,0.856918,0.894085,0.923042,,517.706,46.5944,,515.441,46.3905,,504.646,45.419,,-66.3306,-71.0708,-71.4215,
72,0.00544721,0.17952,0.00535967,0.000972638,fluid,,0.856918,0.894085,0.923042,,511.445,92.8136,,509.208,92.4075,,498.543,90.4722,,-66.8329,-71.5148,-71.8222,
73,0.00544721,0.269279,0.00525091,0.00144916,fluid,,0.856918,0.894085,0.923042,,501.066,138.286,,498.874,137.681,,488.426,134.797,,-67.652,-72.239,-72.4757,
74,0.00544721,0.359039,0.00509987,0.00191401,fluid,,0.856918,0.894085,0.923042,,486.654,182.644,,484.524,181.845,,474.377,178.037,,-68.7616,-73.22,-73.3609,
75,0.00544721,0.448799,0.00490777,0.00236346,fluid,,0.856918,0.894085,0.923042,,468.322,225.532,,466.273,224.545,,456.508,219.843,,-70.1262,-74.4264,-74.4495,
76,0.00544721,0.538559,0.00467615,0.00279387,fluid,,0.856918,0.894085,0.923042,,446.22,266.604,,444.268,265.438,,434.964,259.879,,-71.7017,-75.8194,-75.7065,
77,0.00544721,0.628319,0.00440689,0.00320179,fluid,,0.856918,0.894085,0.923042,,420.526,305.53,,418.686,304.193,,409.917,297.822,,-73.4377,-77.3541,-77.0914,
78,0.00544721,0.718078,0.00410214,0.00358393,fluid,,0.856918,0.894085,0.923042,,391.445,341.996,,389.733,340.499,,381.571,333.368,,-75.2782,-78.9813,-78.5597,
79,0.00544721,0.807838,0.00376437,0.00393722,fluid,,0.856918,0.894085,0.923042,,359.213,375.708,,357.642,374.064,,350.152,366.23,,-77.1641,-80.6487,-80.0643,
80,0.00544721,0.897598,0.00339628,0.0042588,fluid,,0.856918,0.894085,0.923042,,324.089,406.395,,322.671,404.617,,315.913,396.143,,-79.0349,-82.3027,-81.5568,
81,0.00544721,0.987358,0.00300085,0.0045461,fluid,,0.856918,0.894085,0.923042,,286.355,433.81,,285.103,431.912,,279.132,422.866,,-80.8303,-83.8901,-82.9892,
82,0.00544721,1.07712,0.00258126,0.00479679,fluid,,0.856918,0.894085,0.923042,,246.316,457.732,,245.239,455.73,,240.102,446.185,,-82.4928,-85.3598,-84.3154,
83,0.00544721,1.16688,0.00214089,0.00500886,fluid,,0.856918,0.894085,0.923042,,204.294,477.969,,203.4,475.878,,199.14,465.912,,-83.9688,-86.6648,-85.493,
