time,ID,r,z,u_r,u_z,rho,pressure,pairAr,pairAz,totalAr,totalAz
0,1048,2.125,14.125,0,0,1001.17,18404.5,-8.63372,9.76793,0.0171135,-0.0420669
0.01,1048,2.125,14.125,0.000158449,-0.000519273,1001.17,18388,-8.63178,9.7229,0.0113095,-0.0870987
0.02,1048,2.125,14.125,0.000228308,-0.00172457,1001.17,18496.2,-8.68446,9.72157,0.00942533,-0.0884333
0.03,1048,2.12501,14.125,0.00031308,-0.00150528,1001.16,18330.7,-8.62468,9.86464,-0.00852887,0.0546421
0.04,1048,2.12501,14.125,-8.86564e-05,-0.00290736,1001.14,18007.5,-8.52297,9.47114,-0.0585395,-0.33886
0.05,1048,2.125,14.1249,-0.000582977,-0.00576297,1001.16,18224.6,-8.60893,9.68169,-0.0425787,-0.128305
0.06,1048,2.125,14.1248,-0.0010667,-0.0065964,1001.15,18078.5,-8.54434,9.64406,-0.0465596,-0.165942
0.07,1048,2.12498,14.1248,-0.00123501,-0.00928549,1001.15,18061.7,-8.47563,9.53616,0.0143155,-0.273843
0.08,1048,2.12497,14.1247,-0.00115027,-0.0111802,1001.15,18057.5,-8.5057,9.6524,-0.0176452,-0.157597
0.09,1048,2.12496,14.1245,-0.00153789,-0.0134284,1001.14,18024.7,-8.51454,9.53665,-0.0418754,-0.273351
0.1,1048,2.12494,14.1244,-0.00171408,-0.0156889,1001.15,18080.1,-8.49803,9.64348,0.000744849,-0.166523
0.11,1048,2.12492,14.1242,-0.00170205,-0.0172504,1001.15,18100.9,-8.50721,9.65168,0.00136104,-0.158318
0.12,1048,2.12491,14.124,-0.00166521,-0.0184828,1001.16,18265.1,-8.57778,9.73687,0.00796791,-0.0731339
0.13,1048,2.12489,14.1239,-0.00199986,-0.0191819,1001.16,18322.1,-8.70296,9.70982,-0.090348,-0.100178
0.14,1048,2.12487,14.1237,-0.00283246,-0.0203249,1001.16,18348.4,-8.67271,9.71137,-0.0476603,-0.098634
0.15,1048,2.12484,14.1235,-0.00326354,-0.0211135,1001.17,18418.9,-8.71706,9.73473,-0.0587781,-0.0752681
0.16,1048,2.1248,14.1232,-0.00394606,-0.0218056,1001.17,18408.6,-8.73123,9.76085,-0.0776658,-0.0491514
0.17,1048,2.12476,14.123,-0.0046533,-0.0217751,1001.17,18463,-8.72168,9.87319,-0.0423844,0.063194
0.18,1048,2.12471,14.1228,-0.00468894,-0.0209337,1001.18,18652.2,-8.7585,9.88445,0.00981051,0.0744503
0.19,1048,2.12466,14.1226,-0.00467636,-0.020065,1001.19,18808,-8.8295,9.95659,0.0121958,0.146588
