dr0,0.000447214
r0,0.005
R,0.2
R/r0,40
Nr,20
Ntheta,70
Nboundary,70
Nfluid,1400
Nparticles,1470
Apolar,0.238789
Bpolar,0.00165812

L2normPGauss,L2normPCubic,L2normPWedn,L2normdrhodtGauss,L2normdrhodtCubic,L2normdrhodtWedn
1.03207,1.06052,1.07685,0,0,0

ID,r,theta,x,y,Type,,PGauss,PCubic,PWed,,dPGaussX,dPGaussY,,dPCubicX,dPCubicY,,dPWednX,dPWednY,,drhodtGauss,drhodtCubic,drhodtWedn
33,0.005,2.96207,-0.00491965,0.000892784,boundary,,0.41736,0.595454,0.72757,,0.00073219,-0.000132873,,0.0014959,-0.000271465,,0.00290015,-0.0005263,,0,0,0,
34,0.005,3.05183,-0.00497987,0.000448197,boundary,,0.329064,0.469705,0.574454,,0.000362862,-3.26582e-05,,0.000748355,-6.73532e-05,,0.0014668,-0.000132015,,0,0,0,
35,0.005,3.14159,-0.005,6.12323e-19,boundary,,0.259341,0.370294,0.453144,,0.000178225,-1.44843e-19,,0.0003704,-9.86793e-20,,0.000732291,3.38813e-21,,0,0,0,
36,0.005,3.23135,-0.00497987,-0.000448197,boundary,,0.204338,0.291815,0.357242,,8.67894e-05,7.81119e-06,,0.000181498,1.63351e-05,,0.000361279,3.25157e-05,,0,0,0,
37,0.005,3.32111,-0.00491965,-0.000892784,boundary,,0.160974,0.229916,0.281533,,4.19078e-05,7.60514e-06,,8.80792e-05,1.5984e-05,,0.00017627,3.19883e-05,,0,0,0,
38,0.005,3.41087,-0.00481981,-0.00133018,boundary,,0.126801,0.181121,0.221817,,2.0064e-05,5.53731e-06,,4.23386e-05,1.16847e-05,,8.50908e-05,2.34836e-05,,0,0,0,
39,0.005,3.50063,-0.00468117,-0.00175687,boundary,,0.099876,0.142669,0.174741,,9.52171e-06,3.57356e-06,,2.01568e-05,7.56498e-06,,4.06461e-05,1.52547e-05,,0,0,0,
40,0.005,3.59039,-0.00450484,-0.00216942,boundary,,0.0786654,0.112374,0.137644,,4.47692e-06,2.15597e-06,,9.50149e-06,4.57568e-06,,1.92102e-05,9.25115e-06,,0,0,0,
41,0.005,3.68015,-0.00429224,-0.0025645,boundary,,0.0619578,0.0885083,0.108416,,2.08403e-06,1.24515e-06,,4.43193e-06,2.64795e-06,,8.97912e-06,5.36477e-06,,0,0,0,
42,0.005,3.76991,-0.00404508,-0.00293893,boundary,,0.0487979,0.06971,0.0853914,,9.59519e-07,6.97131e-07,,2.04379e-06,1.4849e-06,,4.14752e-06,3.01335e-06,,0,0,0,
