time,ID,r,z,u_r,u_z,rho,pressure,pairAr,pairAz,totalAr,totalAz
0,1048,0.625,10.125,0,0,1003.64,57738.9,-91.6399,9.69656,0.407471,-0.113441
0.01,1048,0.62501,10.125,0.000653568,-0.00152692,1003.61,57321.3,-91.6226,9.59319,-0.240106,-0.216814
0.02,1048,0.625011,10.125,0.000115944,-0.00405559,1003.6,57039.7,-91.0507,9.52193,-0.11567,-0.288068
0.03,1048,0.62501,10.1249,5.5346e-05,-0.0070211,1003.59,56931.7,-90.6608,9.49615,0.10283,-0.313852
0.04,1048,0.625033,10.1248,0.00808778,-0.0113143,1003.46,54839.1,-85.5329,9.02793,1.9027,-0.782069
0.05,1048,0.625354,10.1246,0.0738505,-0.0315612,1002.27,35927.5,-45.2567,5.55682,12.0645,-4.25318
0.06,1048,0.626606,10.124,0.145556,-0.112043,998.199,0,0,0,0,-9.81
0.07,1048,0.628062,10.1224,0.145556,-0.210143,993.742,0,0,0,0,-9.81
0.08,1048,0.629517,10.1198,0.145556,-0.308243,989.126,0,0,0,0,-9.81
0.09,1048,0.630973,10.1162,0.145556,-0.406343,984.83,0,0,0,0,-9.81
0.1,1048,0.632429,10.1116,0.145556,-0.504443,980.493,0,0,0,0,-9.81
0.11,1048,0.633884,10.1061,0.145556,-0.602543,976.404,0,0,0,0,-9.81
0.12,1048,0.63534,10.0996,0.145556,-0.700643,972.342,0,0,0,0,-9.81
0.13,1048,0.636795,10.0921,0.145556,-0.798743,968.438,0,0,0,0,-9.81
0.14,1048,0.638251,10.0836,0.145556,-0.896843,964.614,0,0,0,0,-9.81
0.15,1048,0.639706,10.0742,0.145556,-0.994943,960.87,0,0,0,0,-9.81
0.16,1048,0.641162,10.0637,0.145556,-1.09304,957.253,0,0,0,0,-9.81
0.17,1048,0.642618,10.0523,0.145556,-1.19114,953.653,0,0,0,0,-9.81
0.18,1048,0.644073,10.0399,0.145556,-1.28924,950.218,0,0,0,0,-9.81
0.19,1048,0.645529,10.0265,0.145556,-1.38734,946.745,0,0,0,0,-9.81
0.2,1048,0.646984,10.0121,0.145556,-1.48544,943.473,0,0,0,0,-9.81
0.21,1048,0.64844,9.9968,0.145556,-1.58354,940.116,0,0,0,0,-9.81
0.22,1048,0.649895,9.98047,0.145556,-1.68164,936.991,0,0,0,0,-9.81
0.23,1048,0.651351,9.96317,0.145556,-1.77974,933.739,0,0,0,0,-9.81
0.24,1048,0.652807,9.94488,0.145556,-1.87784,930.748,0,0,0,0,-9.81
0.25,1048,0.654262,9.92561,0.145556,-1.97594,927.594,0,0,0,0,-9.81
0.26,1048,0.655718,9.90536,0.145556,-2.07404,924.726,0,0,0,0,-9.81
0.27,1048,0.657173,9.88413,0.145556,-2.17214,921.662,0,0,0,0,-9.81
0.28,1048,0.658629,9.86192,0.145556,-2.27024,918.907,0,0,0,0,-9.81
0.29,1048,0.660084,9.83872,0.145556,-2.36834,915.927,0,0,0,0,-9.81
0.3,1048,0.66154,9.81455,0.145556,-2.46644,913.278,0,0,0,0,-9.81
0.31,1048,0.662995,9.7894,0.145556,-2.56454,910.376,0,0,0,0,-9.81
0.32,1048,0.664451,9.76326,0.145556,-2.66264,907.824,0,0,0,0,-9.81
0.33,1048,0.665907,9.73614,0.145556,-2.76074,904.996,0,0,0,0,-9.81
0.34,1048,0.667362,9.70804,0.145556,-2.85884,902.536,0,0,0,0,-9.81
0.35,1048,0.668818,9.67897,0.145556,-2.95694,899.777,0,0,0,0,-9.81
0.36,1048,0.670273,9.64891,0.145556,-3.05504,897.402,0,0,0,0,-9.81
0.37,1048,0.671729,9.61786,0.145556,-3.15314,894.708,0,0,0,0,-9.81
0.38,1048,0.673184,9.58584,0.145556,-3.25124,892.415,0,0,0,0,-9.81
0.39,1048,0.67464,9.55284,0.145556,-3.34934,889.783,0,0,0,0,-9.81
0.4,1048,0.676096,9.51886,0.145556,-3.44744,887.565,0,0,0,0,-9.81
0.41,1048,0.677551,9.48389,0.145556,-3.54554,884.992,0,0,0,0,-9.81
0.42,1048,0.679007,9.44795,0.145556,-3.64364,882.847,0,0,0,0,-9.81
0.43,1048,0.680462,9.41102,0.145556,-3.74174,880.33,0,0,0,0,-9.81
0.44,1048,0.681918,9.37311,0.145556,-3.83984,878.253,0,0,0,0,-9.81
0.45,1048,0.683373,9.33422,0.145556,-3.93794,875.789,0,0,0,0,-9.81
0.46,1048,0.684829,9.29435,0.145556,-4.03604,873.778,0,0,0,0,-9.81
0.47,1048,0.686284,9.2535,0.145556,-4.13414,871.366,0,0,0,0,-9.81
0.48,1048,0.68774,9.21167,0.145556,-4.23224,869.418,0,0,0,0,-9.81
0.49,1048,0.689196,9.16886,0.145556,-4.33034,867.055,0,0,0,0,-9.81
0.5,1048,0.690651,9.12506,0.145556,-4.42844,865.17,0,0,0,0,-9.81
0.51,1048,0.692107,9.08029,0.145556,-4.52654,862.855,0,0,0,0,-9.81
0.52,1048,0.693562,9.03453,0.145556,-4.62464,861.03,0,0,0,0,-9.81
0.53,1048,0.695018,8.98779,0.145556,-4.72274,858.764,0,0,0,0,-9.81
0.54,1048,0.696473,8.94008,0.145556,-4.82084,857.001,0,0,0,0,-9.81
0.55,1048,0.697929,8.89138,0.145556,-4.91894,854.783,0,0,0,0,-9.81
0.56,1048,0.699385,8.8417,0.145556,-5.01704,853.084,0,0,0,0,-9.81
0.57,1048,0.70084,8.79104,0.145556,-5.11514,850.918,0,0,0,0,-9.81
0.58,1048,0.702296,8.73939,0.145556,-5.21324,849.289,0,0,0,0,-9.81
0.59,1048,0.703751,8.68677,0.145556,-5.31134,847.178,0,0,0,0,-9.81
0.6,1048,0.705207,8.63317,0.145556,-5.40944,845.63,0,0,0,0,-9.81
0.61,1048,0.706662,8.57858,0.145556,-5.50754,843.585,0,0,0,0,-9.81
0.62,1048,0.708118,8.52302,0.145556,-5.60564,842.137,0,0,0,0,-9.81
0.63,1048,0.709574,8.46647,0.145556,-5.70374,840.173,0,0,0,0,-9.81
0.64,1048,0.711029,8.40894,0.145556,-5.80184,838.859,0,0,0,0,-9.81
0.65,1048,0.712485,8.35043,0.145556,-5.89994,837.004,0,0,0,0,-9.81
0.66,1048,0.71394,8.29094,0.145556,-5.99804,835.883,0,0,0,0,-9.81
0.67,1048,0.715396,8.23047,0.145556,-6.09614,834.186,0,0,0,0,-9.81
0.68,1048,0.716851,8.16902,0.145556,-6.19424,833.359,0,0,0,0,-9.81
0.69,1048,0.718307,8.10659,0.145556,-6.29234,831.907,0,0,0,0,-9.81
0.7,1048,0.719762,8.04317,0.145556,-6.39044,831.562,0,0,0,0,-9.81
0.71,1048,0.721218,7.97878,0.145556,-6.48854,830.519,0,0,0,0,-9.81
0.72,1048,0.722674,7.9134,0.145556,-6.58664,831.007,0,0,0,0,-9.81
0.73,1048,0.724129,7.84705,0.145556,-6.68474,830.681,0,0,0,0,-9.81
0.74,1048,0.725585,7.77971,0.145556,-6.78284,832.675,0,0,0,0,-9.81
0.75,1048,0.72704,7.71139,0.145556,-6.88094,833.668,0,-1.13145e-06,6.62807e-05,-1.13145e-06,-9.80993
