h/dp :,2
L2norm Pressure,KE,dr0,Nfluid
9.63876e-11,16.6797,0.0141421,660

t,0
ID,x,y,,rho,drhodt,pressure,,u,v,velocity,,dudt,dvdt,vorticity,type
48,0.032818,0.0718613,,999.998,113.212,-3.42548,,0.126232,-0.0302732,0.129811,,0.0112115,0.136292,-0.367988,fluid
49,0.0112429,0.0781963,,999.998,38.948,-4.64575,,0.138435,-0.0112854,0.138894,,-0.0281986,0.140876,-0.400428,fluid
50,-0.0112429,0.0781963,,999.998,-38.5291,-4.64575,,0.138435,0.0112854,0.138894,,-0.0425937,0.113051,-0.400428,fluid
51,-0.032818,0.0718613,,999.998,-112.945,-3.42548,,0.126232,0.0302732,0.129811,,-0.0519171,0.0616506,-0.367988,fluid
52,-0.0517343,0.0597046,,999.999,-178.254,-1.37236,,0.105701,0.0396495,0.112893,,-0.0286509,0.00939042,-0.305735,fluid
53,-0.0664594,0.0427109,,1000,-229.135,0.861747,,0.0833596,0.0364373,0.0909753,,0.0172976,-0.0251016,-0.218714,fluid
54,-0.0758004,0.022257,,1000,-261.43,2.56754,,0.0663017,0.0216566,0.069749,,0.0543808,-0.0202013,-0.113974,fluid
55,-0.0790004,9.67476e-18,,1000,-272.498,3.20343,,0.0599428,9.81119e-18,0.0599428,,0.0707715,-6.07917e-13,5.22532e-17,fluid
56,-0.0758004,-0.022257,,1000,-261.43,2.56754,,0.0663017,-0.0216566,0.069749,,0.0543808,0.0202013,0.113974,fluid
57,-0.0664594,-0.0427109,,1000,-229.135,0.861747,,0.0833596,-0.0364373,0.0909753,,0.0172976,0.0251016,0.218714,fluid
58,-0.0517343,-0.0597046,,999.999,-178.254,-1.37236,,0.105701,-0.0396495,0.112893,,-0.0286509,-0.00939042,0.305735,fluid
59,-0.032818,-0.0718613,,999.998,-112.945,-3.42548,,0.126232,-0.0302732,0.129811,,-0.0519171,-0.0616506,0.367988,fluid
60,-0.0112429,-0.0781963,,999.998,-38.5291,-4.64575,,0.138435,-0.0112854,0.138894,,-0.0425937,-0.113051,0.400428,fluid
61,0.0112429,-0.0781963,,999.998,38.948,-4.64575,,0.138435,0.0112854,0.138894,,-0.0281986,-0.140876,0.400428,fluid
62,0.032818,-0.0718613,,999.998,113.212,-3.42548,,0.126232,0.0302732,0.129811,,0.0112115,-0.136292,0.367988,fluid
63,0.0517343,-0.0597046,,999.999,178.265,-1.37236,,0.105701,0.0396495,0.112893,,0.0385664,-0.107149,0.305735,fluid
64,0.0664594,-0.0427109,,1000,228.867,0.861747,,0.0833596,0.0364373,0.0909753,,0.0477017,-0.0647376,0.218714,fluid
65,0.0758004,-0.022257,,1000,260.95,2.56754,,0.0663017,0.0216566,0.069749,,0.0526762,-0.0331947,0.113974,fluid
66,0.0946112,0,,1000,105.566,2.40288,,0.072071,0,0.072071,,0.0418175,-5.27299e-15,-9.69683e-17,fluid
67,0.0907788,0.0266551,,1000,101.295,1.95952,,0.0765047,-0.0150995,0.0779805,,0.0429952,0.0182913,-0.045235,fluid
68,0.079592,0.0511507,,1000,88.8279,0.770198,,0.0883979,-0.0254051,0.0919761,,0.0400721,0.0336418,-0.0868053,fluid
69,0.0619572,0.0715024,,1000,69.1674,-0.787484,,0.103975,-0.0276447,0.107587,,0.0326019,0.0522644,-0.121343,fluid
70,0.0393029,0.0860614,,999.999,43.8981,-2.21897,,0.11829,-0.0211073,0.120158,,0.017961,0.0668444,-0.14605,fluid
71,0.0134646,0.0936482,,999.998,15.0584,-3.06978,,0.126798,-0.0078685,0.127042,,-0.00174249,0.0692689,-0.158926,fluid
72,-0.0134646,0.0936482,,999.998,-15.0214,-3.06978,,0.126798,0.0078685,0.127042,,-0.00963112,0.0615866,-0.158926,fluid
73,-0.0393029,0.0860614,,999.999,-43.9056,-2.21897,,0.11829,0.0211073,0.120158,,-0.021028,0.0462366,-0.14605,fluid
74,-0.0619572,0.0715024,,1000,-69.2498,-0.787484,,0.103975,0.0276447,0.107587,,-0.0216927,0.025274,-0.121343,fluid
75,-0.079592,0.0511507,,1000,-88.9917,0.770198,,0.0883979,0.0254051,0.0919761,,-0.0139548,0.00883791,-0.0868053,fluid
76,-0.0907788,0.0266551,,1000,-101.521,1.95952,,0.0765047,0.0150995,0.0779805,,-0.00526611,0.00354906,-0.045235,fluid
77,-0.0946112,1.15865e-17,,1000,-105.815,2.40288,,0.072071,6.84062e-18,0.072071,,0.000240336,-1.73965e-13,-3.85569e-17,fluid
78,-0.0907788,-0.0266551,,1000,-101.521,1.95952,,0.0765047,-0.0150995,0.0779805,,-0.00526611,-0.00354906,0.045235,fluid
79,-0.079592,-0.0511507,,1000,-88.9917,0.770198,,0.0883979,-0.0254051,0.0919761,,-0.0139548,-0.00883791,0.0868053,fluid
80,-0.0619572,-0.0715024,,1000,-69.2498,-0.787484,,0.103975,-0.0276447,0.107587,,-0.0216927,-0.025274,0.121343,fluid
81,-0.0393029,-0.0860614,,999.999,-43.9056,-2.21897,,0.11829,-0.0211073,0.120158,,-0.021028,-0.0462366,0.14605,fluid
82,-0.0134646,-0.0936482,,999.998,-15.0214,-3.06978,,0.126798,-0.0078685,0.127042,,-0.00963112,-0.0615866,0.158926,fluid
83,0.0134646,-0.0936482,,999.998,15.0584,-3.06978,,0.126798,0.0078685,0.127042,,-0.00174249,-0.0692689,0.158926,fluid
84,0.0393029,-0.0860614,,999.999,43.8981,-2.21897,,0.11829,0.0211073,0.120158,,0.017961,-0.0668444,0.14605,fluid
85,0.0619572,-0.0715024,,1000,69.1674,-0.787484,,0.103975,0.0276447,0.107587,,0.0326019,-0.0522644,0.121343,fluid
86,0.079592,-0.0511507,,1000,88.8279,0.770198,,0.0883979,0.0254051,0.0919761,,0.0400721,-0.0336418,0.0868053,fluid
87,0.0907788,-0.0266551,,1000,101.295,1.95952,,0.0765047,0.0150995,0.0779805,,0.0429952,-0.0182913,0.045235,fluid
88,0.111013,0,,1000,28.0903,1.82284,,0.079714,0,0.079714,,0.0278304,-3.22983e-16,1.43657e-17,fluid
89,0.106516,0.0312758,,1000,26.9527,1.50081,,0.0829343,-0.0109674,0.0836564,,0.028614,0.0100248,-0.0129909,fluid
90,0.0933897,0.0600179,,1000,23.6315,0.63695,,0.0915729,-0.0184528,0.0934136,,0.0260479,0.0194965,-0.0249293,fluid
91,0.0726977,0.0838977,,1000,18.3949,-0.49446,,0.102887,-0.0200795,0.104828,,0.0216526,0.0268613,-0.0348481,fluid
