t,FxPressure,FyPressure,FxViscous,FyViscous,Fx,Fy,CD,CL
0,-4.71726e-11,-3.11834e-11,0,0,-4.71726e-11,-3.11834e-11,-9.43451e-11,-6.23668e-11
0.000220343,-33.2379,-1.53059e-11,0,0,-33.2379,-1.53059e-11,-66.4759,-3.06117e-11
0.000440687,-63.5842,-6.25109e-11,0,0,-63.5842,-6.25109e-11,-127.168,-1.25022e-10
0.000661041,-89.8614,-6.23781e-11,0,0,-89.8614,-6.23781e-11,-179.723,-1.24756e-10
0.000881408,-111.121,-6.63261e-11,0,0,-111.121,-6.63261e-11,-222.241,-1.32652e-10
0.00110179,-126.675,-7.71654e-11,0,0,-126.675,-7.71654e-11,-253.35,-1.54331e-10
0.0013222,-136.123,-6.91047e-12,0,0,-136.123,-6.91047e-12,-272.245,-1.38209e-11
0.00154262,-139.351,-2.48215e-11,0,0,-139.351,-2.48215e-11,-278.703,-4.9643e-11
0.00176301,-136.537,1.97571e-11,0,0,-136.537,1.97571e-11,-273.073,3.95142e-11
0.00198337,-128.121,-6.72395e-12,0,0,-128.121,-6.72395e-12,-256.242,-1.34479e-11
0.00220369,-114.78,-8.78937e-11,0,0,-114.78,-8.78937e-11,-229.559,-1.75787e-10
0.00242398,-97.3787,-3.54001e-11,0,0,-97.3787,-3.54001e-11,-194.757,-7.08003e-11
0.00264424,-76.9273,-6.34597e-11,0,0,-76.9273,-6.34597e-11,-153.855,-1.26919e-10
0.00286449,-54.5234,-1.05295e-10,0,0,-54.5234,-1.05295e-10,-109.047,-2.1059e-10
0.00308472,-31.2994,-6.40233e-11,0,0,-31.2994,-6.40233e-11,-62.5988,-1.28047e-10
0.00330494,-8.36815,-5.57056e-11,0,0,-8.36815,-5.57056e-11,-16.7363,-1.11411e-10
0.00352516,13.2284,-6.06022e-11,0,0,13.2284,-6.06022e-11,26.4567,-1.21204e-10
0.00374539,32.5642,5.83361e-11,0,0,32.5642,5.83361e-11,65.1285,1.16672e-10
0.00396562,48.8677,-2.40656e-11,0,0,48.8677,-2.40656e-11,97.7355,-4.81313e-11
0.00418587,61.5507,-2.30862e-11,0,0,61.5507,-2.30862e-11,123.101,-4.61724e-11
0.00440614,70.2278,9.27702e-13,0,0,70.2278,9.27702e-13,140.456,1.8554e-12
0.00462643,74.7259,-4.02591e-11,0,0,74.7259,-4.02591e-11,149.452,-8.05183e-11
0.00484674,75.082,-1.91842e-11,0,0,75.082,-1.91842e-11,150.164,-3.83684e-11
0.00506707,71.5328,-3.54805e-11,0,0,71.5328,-3.54805e-11,143.066,-7.0961e-11
0.00528743,64.4932,-3.75966e-11,0,0,64.4932,-3.75966e-11,128.986,-7.51932e-11
0.0055078,54.5288,5.7482e-11,0,0,54.5288,5.7482e-11,109.058,1.14964e-10
0.00572819,42.3208,4.53002e-11,0,0,42.3208,4.53002e-11,84.6415,9.06004e-11
0.00594859,28.6278,3.58606e-11,0,0,28.6278,3.58606e-11,57.2557,7.17213e-11
0.006169,14.2449,-1.88673e-11,0,0,14.2449,-1.88673e-11,28.4898,-3.77346e-11
0.00638942,-0.0375758,-3.12146e-11,0,0,-0.0375758,-3.12146e-11,-0.0751516,-6.24292e-11
0.00660983,-13.473,-5.215e-12,0,0,-13.473,-5.215e-12,-26.946,-1.043e-11
0.00683024,-25.3936,-4.53457e-11,0,0,-25.3936,-4.53457e-11,-50.7871,-9.06915e-11
0.00705065,-35.2405,-1.73903e-11,0,0,-35.2405,-1.73903e-11,-70.4809,-3.47806e-11
0.00727105,-42.5869,5.83822e-12,0,0,-42.5869,5.83822e-12,-85.1739,1.16764e-11
0.00749143,-47.1541,-1.1833e-11,0,0,-47.1541,-1.1833e-11,-94.3082,-2.3666e-11
0.0077118,-48.8187,1.71723e-11,0,0,-48.8187,1.71723e-11,-97.6374,3.43445e-11
0.00793216,-47.6127,-5.46474e-11,0,0,-47.6127,-5.46474e-11,-95.2254,-1.09295e-10
0.0081525,-43.7154,9.86811e-12,0,0,-43.7154,9.86811e-12,-87.4307,1.97362e-11
0.00837282,-37.4381,-6.51177e-11,0,0,-37.4381,-6.51177e-11,-74.8762,-1.30235e-10
0.00859314,-29.2037,-6.91983e-11,0,0,-29.2037,-6.91983e-11,-58.4073,-1.38397e-10
0.00881345,-19.5203,-1.50359e-11,0,0,-19.5203,-1.50359e-11,-39.0406,-3.00718e-11
0.00903375,-8.95306,-5.96055e-11,0,0,-8.95306,-5.96055e-11,-17.9061,-1.19211e-10
0.00925405,1.90692,-3.2443e-11,0,0,1.90692,-3.2443e-11,3.81383,-6.48861e-11
0.00947435,12.4732,9.52527e-12,0,0,12.4732,9.52527e-12,24.9463,1.90505e-11
0.00969465,22.1933,-3.35497e-11,0,0,22.1933,-3.35497e-11,44.3866,-6.70994e-11
0.00991496,30.5756,-6.67374e-11,0,0,30.5756,-6.67374e-11,61.1512,-1.33475e-10
0.0101353,37.2119,-2.20205e-11,0,0,37.2119,-2.20205e-11,74.4239,-4.4041e-11
0.0103556,41.7954,-2.40967e-11,0,0,41.7954,-2.40967e-11,83.5907,-4.81934e-11
0.0105759,44.1325,5.97029e-11,0,0,44.1325,5.97029e-11,88.2649,1.19406e-10
0.0107963,44.1497,-1.86287e-11,0,0,44.1497,-1.86287e-11,88.2993,-3.72573e-11
0.0110167,41.8931,-5.82432e-11,0,0,41.8931,-5.82432e-11,83.7862,-1.16486e-10
0.011237,37.5229,-9.53088e-11,0,0,37.5229,-9.53088e-11,75.0458,-1.90618e-10
0.0114574,31.3017,-6.29343e-11,0,0,31.3017,-6.29343e-11,62.6034,-1.25869e-10
0.0116778,23.5787,1.89959e-13,0,0,23.5787,1.89959e-13,47.1575,3.79918e-13
0.0118982,14.7703,4.55741e-12,0,0,14.7703,4.55741e-12,29.5405,9.11482e-12
0.0121186,5.33581,1.19481e-11,0,0,5.33581,1.19481e-11,10.6716,2.38963e-11
0.012339,-4.24537,-5.64453e-11,0,0,-4.24537,-5.64453e-11,-8.49074,-1.12891e-10
0.0125594,-13.4986,-4.40109e-11,0,0,-13.4986,-4.40109e-11,-26.9971,-8.80218e-11
0.0127798,-21.9767,-8.10008e-12,0,0,-21.9767,-8.10008e-12,-43.9535,-1.62002e-11
0.0130002,-29.2819,4.88176e-12,0,0,-29.2819,4.88176e-12,-58.5638,9.76352e-12
0.0132206,-35.0829,-3.69706e-11,0,0,-35.0829,-3.69706e-11,-70.1658,-7.39413e-11
0.013441,-39.1302,-4.25312e-11,0,0,-39.1302,-4.25312e-11,-78.2604,-8.50624e-11
0.0136614,-41.2662,-7.03728e-11,0,0,-41.2662,-7.03728e-11,-82.5324,-1.40746e-10
0.0138817,-41.4301,-7.90621e-11,0,0,-41.4301,-7.90621e-11,-82.8602,-1.58124e-10
0.0141021,-39.658,-3.27283e-11,0,0,-39.658,-3.27283e-11,-79.3159,-6.54565e-11
0.0143224,-36.0783,-6.32748e-11,0,0,-36.0783,-6.32748e-11,-72.1566,-1.2655e-10
0.0145428,-30.903,-1.69847e-11,0,0,-30.903,-1.69847e-11,-61.8061,-3.39695e-11
0.0147631,-24.4151,-4.08005e-11,0,0,-24.4151,-4.08005e-11,-48.8302,-8.16009e-11
0.0149834,-16.9525,-2.11833e-11,0,0,-16.9525,-2.11833e-11,-33.905,-4.23666e-11
0.0152038,-8.89069,-1.20133e-11,0,0,-8.89069,-1.20133e-11,-17.7814,-2.40265e-11
0.0154241,-0.623402,-4.2094e-11,0,0,-0.623402,-4.2094e-11,-1.2468,-8.4188e-11
0.0156444,7.45681,-3.13199e-11,0,0,7.45681,-3.13199e-11,14.9136,-6.26398e-11
0.0158647,14.9772,-1.3281e-11,0,0,14.9772,-1.3281e-11,29.9544,-2.6562e-11
0.016085,21.6021,-2.60735e-11,0,0,21.6021,-2.60735e-11,43.2043,-5.2147e-11
0.0163054,27.0478,-1.01054e-10,0,0,27.0478,-1.01054e-10,54.0957,-2.02108e-10
0.0165257,31.0945,-5.10132e-11,0,0,31.0945,-5.10132e-11,62.189,-1.02026e-10
0.0167461,33.5947,-5.19415e-11,0,0,33.5947,-5.19415e-11,67.1894,-1.03883e-10
0.0169664,34.4783,-1.85097e-11,0,0,34.4783,-1.85097e-11,68.9565,-3.70195e-11
0.0171868,33.7533,-4.75564e-11,0,0,33.7533,-4.75564e-11,67.5066,-9.51128e-11
0.0174072,31.5032,3.35656e-11,0,0,31.5032,3.35656e-11,63.0064,6.71312e-11
0.0176275,27.8804,-1.78327e-11,0,0,27.8804,-1.78327e-11,55.7608,-3.56655e-11
0.0178479,23.097,-9.28257e-13,0,0,23.097,-9.28257e-13,46.194,-1.85651e-12
0.0180683,17.413,-9.17555e-12,0,0,17.413,-9.17555e-12,34.8259,-1.83511e-11
0.0182887,11.1216,1.68237e-11,0,0,11.1216,1.68237e-11,22.2432,3.36474e-11
0.0185091,4.53469,-6.32763e-12,0,0,4.53469,-6.32763e-12,9.06938,-1.26553e-11
0.0187295,-2.03298,-1.14335e-11,0,0,-2.03298,-1.14335e-11,-4.06595,-2.2867e-11
0.0189498,-8.27854,-5.11174e-11,0,0,-8.27854,-5.11174e-11,-16.5571,-1.02235e-10
0.0191702,-13.9251,-6.84739e-11,0,0,-13.9251,-6.84739e-11,-27.8501,-1.36948e-10
0.0193906,-18.7338,-8.51217e-11,0,0,-18.7338,-8.51217e-11,-37.4676,-1.70243e-10
0.019611,-22.5142,2.67992e-11,0,0,-22.5142,2.67992e-11,-45.0284,5.35985e-11
0.0198314,-25.1312,-9.73652e-11,0,0,-25.1312,-9.73652e-11,-50.2623,-1.9473e-10
0.0200518,-26.5097,-9.41645e-11,0,0,-26.5097,-9.41645e-11,-53.0193,-1.88329e-10
0.0202722,-26.6364,-6.33632e-11,0,0,-26.6364,-6.33632e-11,-53.2728,-1.26726e-10
0.0204925,-25.5579,-4.89369e-11,0,0,-25.5579,-4.89369e-11,-51.1158,-9.78737e-11
0.0207129,-23.3763,-5.09692e-11,0,0,-23.3763,-5.09692e-11,-46.7525,-1.01938e-10
0.0209333,-20.242,-3.3149e-11,0,0,-20.242,-3.3149e-11,-40.4839,-6.62981e-11
0.0211536,-16.345,-3.86408e-11,0,0,-16.345,-3.86408e-11,-32.6901,-7.72816e-11
0.021374,-11.9044,-6.96231e-11,0,0,-11.9044,-6.96231e-11,-23.8088,-1.39246e-10
0.0215943,-7.15624,-6.27946e-11,0,0,-7.15624,-6.27946e-11,-14.3125,-1.25589e-10
0.0218147,-2.34213,1.31496e-11,0,0,-2.34213,1.31496e-11,-4.68426,2.62992e-11
0.022035,2.30297,-1.99899e-11,0,0,2.30297,-1.99899e-11,4.60594,-3.99798e-11
0.0222554,6.56169,-1.02847e-10,0,0,6.56169,-1.02847e-10,13.1234,-2.05693e-10
0.0224757,10.2441,1.56924e-12,0,0,10.2441,1.56924e-12,20.4883,3.13849e-12
