h/dp :,2
L2normdrhodt,dp,Nparticles
125.659,0.5,1088

t,0.39
x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt,type
-1.25,-0.25,,1010.77,-22.9619,43758.2,,0,0,,0,0
-0.75,-0.25,,1040.14,-98.9922,178281,,0,0,,0,0
-0.25,-0.25,,1062.98,-219.754,300296,,0,0,,0,0
0.25,-0.25,,1035.14,-266.097,154600,,0,0,,0,0
0.75,-0.25,,1023.31,-287.453,99430.1,,0,0,,0,0
1.25,-0.25,,1032.72,-241.471,142845,,0,0,,0,0
1.75,-0.25,,1032.29,-226.998,140722,,0,0,,0,0
2.25,-0.25,,1030.93,-229.402,134294,,0,0,,0,0
2.75,-0.25,,1030.89,-225.46,134084,,0,0,,0,0
3.25,-0.25,,1030.19,-214.846,130773,,0,0,,0,0
3.75,-0.25,,1030.07,-206.054,130171,,0,0,,0,0
4.25,-0.25,,1029.72,-202.453,128502,,0,0,,0,0
4.75,-0.25,,1029.35,-206.898,126765,,0,0,,0,0
5.25,-0.25,,1028.44,-194.404,122505,,0,0,,0,0
5.75,-0.25,,1028.27,-170.597,121608,,0,0,,0,0
6.25,-0.25,,1028.45,-179.907,122454,,0,0,,0,0
6.75,-0.25,,1027.55,-194.595,118343,,0,0,,0,0
7.25,-0.25,,1026.83,-177.302,114979,,0,0,,0,0
7.75,-0.25,,1026.86,-164.944,115051,,0,0,,0,0
8.25,-0.25,,1026.49,-173.109,113377,,0,0,,0,0
8.75,-0.25,,1025.81,-169.655,110262,,0,0,,0,0
9.25,-0.25,,1025.49,-153.514,108694,,0,0,,0,0
9.75,-0.25,,1025.24,-145.162,107534,,0,0,,0,0
10.25,-0.25,,1024.81,-140.867,105555,,0,0,,0,0
10.75,-0.25,,1024.43,-130.799,103774,,0,0,,0,0
11.25,-0.25,,1024.2,-119.861,102689,,0,0,,0,0
11.75,-0.25,,1024.01,-113.847,101803,,0,0,,0,0
12.25,-0.25,,1023.86,-111.129,101087,,0,0,,0,0
12.75,-0.25,,1023.82,-109.375,100922,,0,0,,0,0
13.25,-0.25,,1023.9,-109.164,101271,,0,0,,0,0
13.75,-0.25,,1024.01,-113.312,101788,,0,0,,0,0
14.25,-0.25,,1024.18,-122.589,102620,,0,0,,0,0
14.75,-0.25,,1024.52,-130.796,104192,,0,0,,0,0
15.25,-0.25,,1024.88,-134.837,105858,,0,0,,0,0
15.75,-0.25,,1025.08,-145.028,106789,,0,0,,0,0
16.25,-0.25,,1025.41,-161.823,108395,,0,0,,0,0
16.75,-0.25,,1026.07,-164.435,111422,,0,0,,0,0
17.25,-0.25,,1026.37,-158.217,112766,,0,0,,0,0
17.75,-0.25,,1026.36,-173.658,112773,,0,0,,0,0
18.25,-0.25,,1027.14,-189.707,116465,,0,0,,0,0
18.75,-0.25,,1028.01,-173.203,120372,,0,0,,0,0
19.25,-0.25,,1027.8,-166.163,119375,,0,0,,0,0
19.75,-0.25,,1028.06,-191.033,120715,,0,0,,0,0
20.25,-0.25,,1029.01,-201.5,125192,,0,0,,0,0
20.75,-0.25,,1029.38,-196.51,126888,,0,0,,0,0
21.25,-0.25,,1029.77,-200.801,128735,,0,0,,0,0
21.75,-0.25,,1029.93,-209.631,129494,,0,0,,0,0
22.25,-0.25,,1030.65,-219.828,132942,,0,0,,0,0
22.75,-0.25,,1030.7,-223.304,133184,,0,0,,0,0
23.25,-0.25,,1032.03,-221.496,139494,,0,0,,0,0
23.75,-0.25,,1032.47,-236.012,141653,,0,0,,0,0
24.25,-0.25,,1023.09,-279.932,98373.6,,0,0,,0,0
24.75,-0.25,,1034.82,-261.132,153037,,0,0,,0,0
25.25,-0.25,,1062.36,-224.898,296826,,0,0,,0,0
25.75,-0.25,,1039.72,-104.798,176252,,0,0,,0,0
26.25,-0.25,,1010.63,-25.2069,43191.1,,0,0,,0,0
-1.25,-0.75,,1005.08,-14.7535,20316.1,,0,0,,0,0
-0.75,-0.75,,1025.09,-49.196,106393,,0,0,,0,0
-0.25,-0.75,,1041.6,-99.2445,185594,,0,0,,0,0
0.25,-0.75,,1031.64,-132.448,137204,,0,0,,0,0
0.75,-0.75,,1018.93,-145.547,79289.1,,0,0,,0,0
1.25,-0.75,,1018.47,-137.154,77210.4,,0,0,,0,0
1.75,-0.75,,1018.43,-128.804,76994.2,,0,0,,0,0
2.25,-0.75,,1017.83,-130.267,74398.4,,0,0,,0,0
2.75,-0.75,,1017.61,-130.071,73426.2,,0,0,,0,0
3.25,-0.75,,1017.12,-125.754,71289.4,,0,0,,0,0
3.75,-0.75,,1017.02,-121.431,70826.8,,0,0,,0,0
4.25,-0.75,,1016.79,-119.617,69817.8,,0,0,,0,0
4.75,-0.75,,1016.53,-119.532,68678.1,,0,0,,0,0
5.25,-0.75,,1016.2,-115.295,67253,,0,0,,0,0
5.75,-0.75,,1016.06,-108.916,66601.8,,0,0,,0,0
6.25,-0.75,,1015.99,-111.11,66309.5,,0,0,,0,0
6.75,-0.75,,1015.64,-114.802,64835,,0,0,,0,0
7.25,-0.75,,1015.34,-110.584,63528,,0,0,,0,0
7.75,-0.75,,1015.23,-107.278,63023.7,,0,0,,0,0
8.25,-0.75,,1015.02,-108.436,62109.9,,0,0,,0,0
8.75,-0.75,,1014.73,-106.506,60874.8,,0,0,,0,0
9.25,-0.75,,1014.53,-101.722,59981.3,,0,0,,0,0
9.75,-0.75,,1014.34,-98.7953,59152,,0,0,,0,0
