h/dp :,2
L2normPGauss,L2normPCubic,L2normPWedn,L2normdrhodtGauss,L2normdrhodtCubic,L2normdrhodtWedn
0.111422,0.0979412,0.0922839,15.5759,14.1002,13.5494

id,r,z,,PGauss,PCubic,PWedn,,dPGaussR,dPGaussZ,,dPCubicR,dPCubicZ,,dPWednR,dPWednZ,,drhodtGauss,drhodtCubic,drhodtWedn
35,3.55,0.05,,0.641047,0.670502,0.686646,,-8.70502e-17,2.70028,,7.11237e-17,3.19855,,-2.60209e-18,3.40694,,-164.105,-167.007,-168.456
36,3.65,0.05,,0.641047,0.670502,0.686646,,2.16931e-16,2.70028,,2.75821e-16,3.19855,,1.3314e-16,3.40694,,-164.105,-167.007,-168.456
37,3.75,0.05,,0.641047,0.670502,0.686646,,7.97598e-16,2.70028,,2.81025e-16,3.19855,,4.4886e-16,3.40694,,-164.105,-167.007,-168.456
38,3.85,0.05,,0.641047,0.670502,0.686646,,3.61583e-16,2.70028,,2.2083e-15,3.19855,,2.07473e-15,3.40694,,-164.105,-167.007,-168.456
39,3.95,0.05,,0.641047,0.670502,0.686646,,-7.21083e-13,2.70028,,7.45584e-15,3.19855,,7.09675e-15,3.40694,,-164.105,-167.007,-168.456
40,4.05,0.05,,0.641047,0.670502,0.686646,,-1.26291e-10,2.70028,,1.09981e-14,3.19855,,1.19934e-14,3.40694,,-164.105,-167.007,-168.456
41,4.15,0.05,,0.641047,0.670502,0.686646,,-1.3189e-08,2.70028,,7.45758e-15,3.19855,,7.47536e-15,3.40694,,-164.105,-167.007,-168.456
42,4.25,0.05,,0.641047,0.670502,0.686646,,-8.27206e-07,2.70028,,1.98973e-15,3.19855,,2.01445e-15,3.40694,,-164.105,-167.007,-168.456
43,4.35,0.05,,0.641047,0.670502,0.686646,,-3.11135e-05,2.70027,,7.97973e-17,3.19855,,-1.56992e-16,3.40694,,-164.103,-167.007,-168.456
44,4.45,0.05,,0.641024,0.670502,0.686646,,-0.000700622,2.70018,,-6.41848e-17,3.19855,,-1.81712e-16,3.40694,,-164.062,-167.007,-168.456
45,4.55,0.05,,0.640675,0.670502,0.686646,,-0.00942802,2.69871,,-1.45717e-16,3.19855,,6.80879e-17,3.40694,,-163.626,-167.007,-168.456
46,4.65,0.05,,0.637363,0.670502,0.686646,,-0.0756706,2.68476,,1.75207e-16,3.19855,,-4.59702e-17,3.40694,,-160.976,-167.007,-168.456
47,4.75,0.05,,0.618303,0.664643,0.683295,,-0.36157,2.60447,,-0.19133,3.1657,,-0.134577,3.38761,,-152.399,-161.267,-164.418
