dx/h :,0.833333
dy/h :,0.833333
L2normPGauss,L2normPCubic,L2normPWedn
0.0764272,0.0617069,0.0536339

x,y,,PGauss,PCubic,PWedn,,dPGaussX,dPGaussY,,dPCubicX,dPCubicY,,dPWednX,dPWednY,,drhodtGauss,drhodtCubic,drhodtWedn
0,0,,0.540342,0.613602,0.665351,,3.0219,3.0219,,3.67757,3.67757,,3.73414,3.73414,,-36.7526,-39.2981,-38.6706
0,0.1,,0.71292,0.78147,0.821797,,3.98705,0.624987,,4.65231,0.252238,,4.67348,0.132929,,-48.4909,-49.3749,-48.1497
0,0.2,,0.734408,0.784596,0.82313,,4.10723,0.0280865,,4.66878,7.38992e-16,,4.67776,1.84748e-16,,-49.9525,-49.5397,-48.1925
0,0.3,,0.735075,0.784596,0.82313,,4.11096,0.000287646,,4.66878,2.66454e-15,,4.67776,2.5431e-15,,-49.9979,-49.5397,-48.1925
0,0.4,,0.735081,0.784596,0.82313,,4.11099,6.92838e-07,,4.66878,-8.67362e-16,,4.67776,-6.53991e-16,,-49.9982,-49.5397,-48.1925
0,0.5,,0.735081,0.784596,0.82313,,4.11099,4.00031e-10,,4.66878,-3.51108e-15,,4.67776,-5.35422e-15,,-49.9982,-49.5397,-48.1925
0,0.6,,0.735081,0.784596,0.82313,,4.11099,5.84837e-14,,4.66878,3.76088e-15,,4.67776,5.09402e-15,,-49.9982,-49.5397,-48.1925
0,0.7,,0.735081,0.784596,0.82313,,4.11099,1.67662e-15,,4.66878,1.7833e-15,,4.67776,9.48894e-16,,-49.9982,-49.5397,-48.1925
0,0.8,,0.735081,0.784596,0.82313,,4.11099,4.68806e-18,,4.66878,6.93889e-18,,4.67776,-5.0307e-17,,-49.9982,-49.5397,-48.1925
0,0.9,,0.735081,0.784596,0.82313,,4.11099,-1.95515e-15,,4.66878,-1.5335e-15,,4.67776,-1.2091e-15,,-49.9982,-49.5397,-48.1925
0,1,,0.735081,0.784596,0.82313,,4.11099,-3.98258e-15,,4.66878,-5.37764e-15,,4.67776,-6.62578e-15,,-49.9982,-49.5397,-48.1925
0,1.1,,0.735081,0.784596,0.82313,,4.11099,1.47665e-15,,4.66878,1.7833e-15,,4.67776,9.48894e-16,,-49.9982,-49.5397,-48.1925
0,1.2,,0.735081,0.784596,0.82313,,4.11099,5.34752e-15,,4.66878,7.57033e-15,,4.67776,1.07718e-14,,-49.9982,-49.5397,-48.1925
0,1.3,,0.735081,0.784596,0.82313,,4.11099,-1.93961e-15,,4.66878,-4.00374e-15,,4.67776,-8.31887e-15,,-49.9982,-49.5397,-48.1925
0,1.4,,0.735081,0.784596,0.82313,,4.11099,1.94899e-15,,4.66878,4.01762e-15,,4.67776,8.21825e-15,,-49.9982,-49.5397,-48.1925
0,1.5,,0.735081,0.784596,0.82313,,4.11099,-5.39478e-15,,4.66878,-7.41074e-15,,4.67776,-1.07492e-14,,-49.9982,-49.5397,-48.1925
0,1.6,,0.735081,0.784596,0.82313,,4.11099,4.69146e-18,,4.66878,6.93889e-18,,4.67776,-5.0307e-17,,-49.9982,-49.5397,-48.1925
0,1.7,,0.735081,0.784596,0.82313,,4.11099,5.33364e-15,,4.66878,7.57033e-15,,4.67776,1.07718e-14,,-49.9982,-49.5397,-48.1925
0,1.8,,0.735081,0.784596,0.82313,,4.11099,-1.93961e-15,,4.66878,-4.00374e-15,,4.67776,-8.31887e-15,,-49.9982,-49.5397,-48.1925
0,1.9,,0.735081,0.784596,0.82313,,4.11099,1.94898e-15,,4.66878,4.01762e-15,,4.67776,8.21825e-15,,-49.9982,-49.5397,-48.1925
0,2,,0.735081,0.784596,0.82313,,4.11099,-5.58681e-15,,4.66878,-7.41074e-15,,4.67776,-1.07492e-14,,-49.9982,-49.5397,-48.1925
0,2.1,,0.735081,0.784596,0.82313,,4.11099,-3.29512e-15,,4.66878,-3.40006e-15,,4.67776,-2.48065e-15,,-49.9982,-49.5397,-48.1925
