dx/h :,0.5
dy/h :,0.5
L2normPGauss,L2normPCubic,L2normPWedn,L2normdrhodtGauss,L2normdrhodtCubic,L2normdrhodtWedn
0.111422,0.0979412,0.0922839,15.5759,14.1002,13.5494

x,y,,PGauss,PCubic,PWedn,,dPGaussX,dPGaussY,,dPCubicX,dPCubicY,,dPWednX,dPWednY,,drhodtGauss,drhodtCubic,drhodtWedn
0,0,,0.410942,0.448933,0.47116,,1.73101,1.73101,,2.13216,2.13216,,2.32905,2.32905,,-32.0524,-33.5037,-34.2278
0,0.1,,0.551777,0.610794,0.636156,,2.32425,1.02683,,2.90016,1.02688,,3.14585,0.959144,,-43.0372,-45.5688,-46.3407
0,0.2,,0.618303,0.664643,0.683295,,2.60447,0.36157,,3.1657,0.19133,,3.38761,0.134577,,-48.226,-49.5345,-49.7333
0,0.3,,0.637363,0.670502,0.686646,,2.68476,0.0756706,,3.19855,5.09825e-16,,3.40694,5.2199e-16,,-49.7126,-49.955,-49.96
0,0.4,,0.640675,0.670502,0.686646,,2.69871,0.00942802,,3.19855,-4.01945e-16,,3.40694,-1.32348e-16,,-49.971,-49.955,-49.96
0,0.5,,0.641024,0.670502,0.686646,,2.70018,0.000700622,,3.19855,-6.37868e-16,,3.40694,-7.22587e-16,,-49.9982,-49.955,-49.96
0,0.6,,0.641047,0.670502,0.686646,,2.70027,3.11135e-05,,3.19855,7.73503e-16,,3.40694,9.34854e-16,,-49.9999,-49.955,-49.96
0,0.7,,0.641047,0.670502,0.686646,,2.70028,8.27206e-07,,3.19855,1.41188e-15,,3.40694,1.29568e-15,,-50,-49.955,-49.96
0,0.8,,0.641047,0.670502,0.686646,,2.70028,1.3189e-08,,3.19855,-1.97942e-16,,3.40694,1.57698e-16,,-50,-49.955,-49.96
0,0.9,,0.641047,0.670502,0.686646,,2.70028,1.26298e-10,,3.19855,-1.79666e-15,,3.40694,-1.38482e-15,,-50,-49.955,-49.96
0,1,,0.641047,0.670502,0.686646,,2.70028,7.26199e-13,,3.19855,-1.87715e-15,,3.40694,-1.97089e-15,,-50,-49.955,-49.96
0,1.1,,0.641047,0.670502,0.686646,,2.70028,2.92606e-15,,3.19855,6.6942e-16,,3.40694,5.42373e-16,,-50,-49.955,-49.96
0,1.2,,0.641047,0.670502,0.686646,,2.70028,1.22453e-15,,3.19855,1.86811e-15,,3.40694,2.73029e-15,,-50,-49.955,-49.96
0,1.3,,0.641047,0.670502,0.686646,,2.70028,7.81439e-16,,3.19855,1.25229e-15,,3.40694,3.58492e-16,,-50,-49.955,-49.96
