dx/h :,0.5
dy/h :,0.5
L2normPartition,L2normdrhodt
0.0922839,0

x,y,,Partition,dPartdX,dPartdY,drhodt
0,0,,0.47116,2.32905,2.32905,0
0,0.1,,0.636156,3.14585,0.959144,0
0,0.2,,0.683295,3.38761,0.134577,0
0,0.3,,0.686646,3.40694,5.04805e-16,0
0,0.4,,0.686646,3.40694,-2.47632e-16,0
0,0.5,,0.686646,3.40694,-7.95804e-16,0
0,0.6,,0.686646,3.40694,1.05298e-15,0
0,0.7,,0.686646,3.40694,1.30625e-15,0
0,0.8,,0.686646,3.40694,2.94903e-17,0
0,0.9,,0.686646,3.40694,-1.58337e-15,0
0,1,,0.686646,3.40694,-2.27596e-15,0
0,1.1,,0.686646,3.40694,5.91541e-16,0
0,1.2,,0.686646,3.40694,2.80852e-15,0
0,1.3,,0.686646,3.40694,1.92554e-16,0
0,1.4,,0.686646,3.40694,-1.92554e-16,0
0,1.5,,0.686646,3.40694,-2.42167e-15,0
0,1.6,,0.686646,3.40694,-2.94903e-17,0
0,1.7,,0.686646,3.40694,2.33667e-15,0
0,1.8,,0.686646,3.40694,1.92554e-16,0
0,1.9,,0.686646,3.40694,-1.92554e-16,0
0,2,,0.686646,3.40694,-3.33761e-15,0
0,2.1,,0.686646,3.40694,-2.58474e-15,0
0,2.2,,0.686646,3.40694,8.29198e-16,0
0,2.3,,0.686646,3.40694,5.74844e-15,0
0,2.4,,0.686646,3.40694,5.38415e-15,0
0,2.5,,0.686646,3.40694,-5.32907e-15,0
0,2.6,,0.686646,3.40694,-5.74887e-15,0
0,2.7,,0.686646,3.40694,1.07553e-16,0
0,2.8,,0.686646,3.40694,5.74844e-15,0
0,2.9,,0.686646,3.40694,5.38415e-15,0
0,3,,0.686646,3.40694,-5.32907e-15,0
0,3.1,,0.686646,3.40694,-5.74887e-15,0
0,3.2,,0.686646,3.40694,1.07553e-16,0
0,3.3,,0.686646,3.40694,5.74844e-15,0
0,3.4,,0.686646,3.40694,5.38415e-15,0
0,3.5,,0.686646,3.40694,-5.32907e-15,0
0,3.6,,0.686646,3.40694,-5.74887e-15,0
0,3.7,,0.686646,3.40694,1.07553e-16,0
0,3.8,,0.686646,3.40694,3.90616e-15,0
0,3.9,,0.686646,3.40694,1.63064e-15,0
0,4,,0.686646,3.40694,-2.89352e-15,0
0,4.1,,0.686646,3.40694,8.59599e-15,0
0,4.2,,0.686646,3.40694,5.20417e-17,0
0,4.3,,0.686646,3.40694,-9.89139e-15,0
0,4.4,,0.686646,3.40694,-9.08995e-16,0
0,4.5,,0.686646,3.40694,-2.56739e-15,0
0,4.6,,0.686646,3.40694,2.69923e-15,0
0,4.7,,0.683295,3.38761,-0.134577,0
0,4.8,,0.636156,3.14585,-0.959144,0
0,4.9,,0.47116,2.32905,-2.32905,0
0.1,0,,0.636156,0.959144,3.14585,0
0.1,0.1,,0.859866,1.30568,1.30568,0
0.1,0.2,,0.924047,1.39816,0.182548,0
0.1,0.3,,0.928513,1.4015,8.10116e-16,0
0.1,0.4,,0.928513,1.4015,-2.47632e-16,0
0.1,0.5,,0.928513,1.4015,-1.10112e-15,0
0.1,0.6,,0.928513,1.4015,1.56299e-15,0
0.1,0.7,,0.928513,1.4015,1.95503e-15,0
0.1,0.8,,0.928513,1.4015,2.94903e-17,0
0.1,0.9,,0.928513,1.4015,-2.02746e-15,0
0.1,1,,0.928513,1.4015,-2.85882e-15,0
0.1,1.1,,0.928513,1.4015,1.03563e-15,0
0.1,1.2,,0.928513,1.4015,3.75915e-15,0
0.1,1.3,,0.928513,1.4015,4.14599e-16,0
0.1,1.4,,0.928513,1.4015,2.94903e-17,0
0.1,1.5,,0.928513,1.4015,-3.61516e-15,0
0.1,1.6,,0.928513,1.4015,1.92554e-16,0
0.1,1.7,,0.928513,1.4015,3.2873e-15,0
0.1,1.8,,0.928513,1.4015,4.14599e-16,0
0.1,1.9,,0.928513,1.4015,2.94903e-17,0
0.1,2,,0.928513,1.4015,-4.72539e-15,0
0.1,2.1,,0.928513,1.4015,-3.33414e-15,0
0.1,2.2,,0.928513,1.4015,1.03043e-15,0
0.1,2.3,,0.928513,1.4015,7.615e-15,0
0.1,2.4,,0.928513,1.4015,7.13969e-15,0
0.1,2.5,,0.928513,1.4015,-7.04992e-15,0
0.1,2.6,,0.928513,1.4015,-7.80279e-15,0
0.1,2.7,,0.928513,1.4015,-1.35308e-16,0
0.1,2.8,,0.928513,1.4015,7.615e-15,0
0.1,2.9,,0.928513,1.4015,7.13969e-15,0
0.1,3,,0.928513,1.4015,-7.04992e-15,0
0.1,3.1,,0.928513,1.4015,-7.80279e-15,0
