dx/h :,0.666667
dy/h :,0.666667
L2normPartition,L2normdrhodt
0.071464,0

x,y,,Partition,dPartdX,dPartdY,drhodt
0,0,,0.562282,3.12481,3.12481,0
0,0.1,,0.73631,4.11907,0.591275,0
0,0.2,,0.751674,4.21198,3.06612e-16,0
0,0.3,,0.751674,4.21198,2.21784e-15,0
0,0.4,,0.751674,4.21198,-1.10805e-15,0
0,0.5,,0.751674,4.21198,-3.35626e-15,0
0,0.6,,0.751674,4.21198,3.4946e-15,0
0,0.7,,0.751674,4.21198,2.27336e-15,0
0,0.8,,0.751674,4.21198,1.36176e-16,0
0,0.9,,0.751674,4.21198,-1.91297e-15,0
0,1,,0.751674,4.21198,-4.76702e-15,0
0,1.1,,0.751674,4.21198,2.05131e-15,0
0,1.2,,0.751674,4.21198,5.97872e-15,0
0,1.3,,0.751674,4.21198,-2.55612e-15,0
0,1.4,,0.751674,4.21198,2.60642e-15,0
0,1.5,,0.751674,4.21198,-6.01602e-15,0
0,1.6,,0.751674,4.21198,-8.58688e-17,0
0,1.7,,0.751674,4.21198,5.97872e-15,0
0,1.8,,0.751674,4.21198,-2.55612e-15,0
0,1.9,,0.751674,4.21198,2.60642e-15,0
0,2,,0.751674,4.21198,-6.01602e-15,0
0,2.1,,0.751674,4.21198,-3.54577e-15,0
0,2.2,,0.751674,4.21198,-1.73472e-16,0
0,2.3,,0.751674,4.21198,6.67478e-15,0
0,2.4,,0.751674,4.21198,1.16292e-14,0
0,2.5,,0.751674,4.21198,-1.15533e-14,0
0,2.6,,0.751674,4.21198,-6.59889e-15,0
0,2.7,,0.751674,4.21198,-1.73472e-16,0
0,2.8,,0.751674,4.21198,6.67478e-15,0
0,2.9,,0.751674,4.21198,1.16292e-14,0
0,3,,0.751674,4.21198,-1.15533e-14,0
0,3.1,,0.751674,4.21198,-6.59889e-15,0
0,3.2,,0.751674,4.21198,-1.73472e-16,0
0,3.3,,0.751674,4.21198,6.67478e-15,0
0,3.4,,0.751674,4.21198,1.16292e-14,0
0,3.5,,0.751674,4.21198,-1.15533e-14,0
0,3.6,,0.751674,4.21198,-6.59889e-15,0
0,3.7,,0.751674,4.21198,-1.73472e-16,0
0,3.8,,0.751674,4.21198,6.67478e-15,0
0,3.9,,0.751674,4.21198,4.7809e-15,0
0,4,,0.751674,4.21198,-1.69656e-14,0
0,4.1,,0.751674,4.21198,2.42345e-14,0
0,4.2,,0.751674,4.21198,-1.59595e-16,0
0,4.3,,0.751674,4.21198,-2.4182e-14,0
0,4.4,,0.751674,4.21198,1.01932e-14,0
0,4.5,,0.751674,4.21198,-1.05263e-14,0
0,4.6,,0.751674,4.21198,1.01932e-14,0
0,4.7,,0.751674,4.21198,-1.05263e-14,0
0,4.8,,0.73631,4.11907,-0.591275,0
0,4.9,,0.562282,3.12481,-3.12481,0
0.1,0,,0.73631,0.591275,4.11907,0
0.1,0.1,,0.966112,0.772962,0.772962,0
0.1,0.2,,0.985621,0.77502,8.47846e-16,0
0.1,0.3,,0.985621,0.77502,2.56479e-15,0
0.1,0.4,,0.985621,0.77502,-1.55214e-15,0
0.1,0.5,,0.985621,0.77502,-3.81422e-15,0
0.1,0.6,,0.985621,0.77502,3.95257e-15,0
0.1,0.7,,0.985621,0.77502,2.71744e-15,0
0.1,0.8,,0.985621,0.77502,1.36176e-16,0
0.1,0.9,,0.985621,0.77502,-2.80114e-15,0
0.1,1,,0.985621,0.77502,-5.68035e-15,0
0.1,1.1,,0.985621,0.77502,2.93949e-15,0
0.1,1.2,,0.985621,0.77502,7.43589e-15,0
0.1,1.3,,0.985621,0.77502,-3.11123e-15,0
0.1,1.4,,0.985621,0.77502,2.71744e-15,0
0.1,1.5,,0.985621,0.77502,-7.47059e-15,0
0.1,1.6,,0.985621,0.77502,-8.58688e-17,0
0.1,1.7,,0.985621,0.77502,7.43589e-15,0
0.1,1.8,,0.985621,0.77502,-3.11123e-15,0
0.1,1.9,,0.985621,0.77502,2.71744e-15,0
0.1,2,,0.985621,0.77502,-7.47059e-15,0
0.1,2.1,,0.985621,0.77502,-4.44523e-15,0
0.1,2.2,,0.985621,0.77502,-1.7087e-16,0
0.1,2.3,,0.985621,0.77502,9.3532e-15,0
0.1,2.4,,0.985621,0.77502,1.47655e-14,0
0.1,2.5,,0.985621,0.77502,-1.4687e-14,0
0.1,2.6,,0.985621,0.77502,-9.2747e-15,0
0.1,2.7,,0.985621,0.77502,-1.7087e-16,0
0.1,2.8,,0.985621,0.77502,9.3532e-15,0
0.1,2.9,,0.985621,0.77502,1.47655e-14,0
0.1,3,,0.985621,0.77502,-1.4687e-14,0
0.1,3.1,,0.985621,0.77502,-9.2747e-15,0
0.1,3.2,,0.985621,0.77502,-1.7087e-16,0
0.1,3.3,,0.985621,0.77502,9.3532e-15,0
0.1,3.4,,0.985621,0.77502,1.47655e-14,0
0.1,3.5,,0.985621,0.77502,-1.4687e-14,0
0.1,3.6,,0.985621,0.77502,-9.2747e-15,0
0.1,3.7,,0.985621,0.77502,-1.7087e-16,0
0.1,3.8,,0.985621,0.77502,9.3532e-15,0
0.1,3.9,,0.985621,0.77502,5.68556e-15,0
0.1,4,,0.985621,0.77502,-2.22366e-14,0
0.1,4.1,,0.985621,0.77502,3.17047e-14,0
0.1,4.2,,0.985621,0.77502,-1.7087e-16,0
0.1,4.3,,0.985621,0.77502,-3.16596e-14,0
0.1,4.4,,0.985621,0.77502,1.2791e-14,0
