h/dp :,1.5
L2normPGauss,L2normPCubic,L2normPWedn,L2normdrhodtGauss,L2normdrhodtCubic,L2normdrhodtWedn
0.0918565,0.0777916,0.071464,13.3866,12.0235,11.8048

id,r,z,,PGauss,PCubic,PWedn,,dPGaussR,dPGaussZ,,dPCubicR,dPCubicZ,,dPWednR,dPWednZ,,drhodtGauss,drhodtCubic,drhodtWedn
35,3.55,0.05,,0.688063,0.73002,0.751674,,1.64268e-16,3.4687,,1.31839e-16,4.09695,,-6.245e-17,4.21198,,-168.806,-172.792,-174.322
36,3.65,0.05,,0.688063,0.73002,0.751674,,1.64271e-16,3.4687,,1.31839e-16,4.09695,,-6.245e-17,4.21198,,-168.806,-172.792,-174.322
37,3.75,0.05,,0.688063,0.73002,0.751674,,2.03795e-16,3.4687,,1.31839e-16,4.09695,,-6.245e-17,4.21198,,-168.806,-172.792,-174.322
38,3.85,0.05,,0.688063,0.73002,0.751674,,1.74858e-15,3.4687,,1.31839e-16,4.09695,,-6.245e-17,4.21198,,-168.806,-172.792,-174.322
39,3.95,0.05,,0.688063,0.73002,0.751674,,7.57845e-15,3.4687,,6.58154e-15,4.09695,,6.67478e-15,4.21198,,-168.806,-172.792,-174.322
40,4.05,0.05,,0.688063,0.73002,0.751674,,1.23945e-14,3.4687,,1.41918e-14,4.09695,,1.95993e-14,4.21198,,-168.806,-172.792,-174.322
41,4.15,0.05,,0.688063,0.73002,0.751674,,2.42788e-15,3.4687,,6.58675e-15,4.09695,,7.33138e-15,4.21198,,-168.806,-172.792,-174.322
42,4.25,0.05,,0.688063,0.73002,0.751674,,-8.16233e-12,3.4687,,3.64292e-17,4.09695,,2.25948e-16,4.21198,,-168.806,-172.792,-174.322
43,4.35,0.05,,0.688063,0.73002,0.751674,,-5.61785e-09,3.4687,,3.64292e-17,4.09695,,2.25948e-16,4.21198,,-168.806,-172.792,-174.322
44,4.45,0.05,,0.688063,0.73002,0.751674,,-1.5589e-06,3.4687,,3.64292e-17,4.09695,,2.25948e-16,4.21198,,-168.806,-172.792,-174.322
45,4.55,0.05,,0.688059,0.73002,0.751674,,-0.000173463,3.46868,,3.64292e-17,4.09695,,2.25948e-16,4.21198,,-168.798,-172.792,-174.322
46,4.65,0.05,,0.687848,0.73002,0.751674,,-0.00768196,3.46761,,3.64292e-17,4.09695,,2.25948e-16,4.21198,,-168.497,-172.792,-174.322
47,4.75,0.05,,0.683108,0.73002,0.751674,,-0.134084,3.44372,,3.64292e-17,4.09695,,2.25948e-16,4.21198,,-164.705,-172.792,-174.322
48,4.85,0.05,,0.639368,0.7083,0.73631,,-0.911691,3.22321,,-0.692892,3.97039,,-0.591275,4.11907,,-149.153,-158.934,-162.496
49,4.95,0.05,,0.473431,0.529685,0.562282,,-2.38668,2.38668,,-2.94671,2.94671,,-3.12481,3.12481,,-134.403,-136.396,-137.161
50,0.05,0.15,,0.639368,0.7083,0.73631,,3.22321,0.911691,,3.97039,0.692892,,4.11907,0.591275,,-146.461,-148.977,-148.92
51,0.15,0.15,,0.863465,0.946576,0.966112,,1.23124,1.23124,,0.927321,0.927321,,0.772962,0.772962,,-166.381,-179.408,-182.381
52,0.25,0.15,,0.922536,0.97497,0.985621,,0.18108,1.31547,,1.44502e-15,0.93667,,1.36913e-15,0.77502,,-187.384,-197.954,-197.841
53,0.35,0.15,,0.928938,0.97497,0.985621,,0.0103745,1.3246,,8.50015e-17,0.93667,,1.34007e-16,0.77502,,-192.505,-197.954,-197.841
54,0.45,0.15,,0.929223,0.97497,0.985621,,0.000234261,1.325,,8.50015e-17,0.93667,,1.34007e-16,0.77502,,-192.911,-197.954,-197.841
55,0.55,0.15,,0.929228,0.97497,0.985621,,2.10529e-06,1.32501,,8.50015e-17,0.93667,,1.34007e-16,0.77502,,-192.923,-197.954,-197.841
56,0.65,0.15,,0.929228,0.97497,0.985621,,7.5869e-09,1.32501,,8.50015e-17,0.93667,,1.34007e-16,0.77502,,-192.923,-197.954,-197.841
57,0.75,0.15,,0.929228,0.97497,0.985621,,1.10251e-11,1.32501,,8.50015e-17,0.93667,,1.34007e-16,0.77502,,-192.923,-197.954,-197.841
58,0.85,0.15,,0.929228,0.97497,0.985621,,5.81029e-15,1.32501,,8.50015e-17,0.93667,,1.34007e-16,0.77502,,-192.923,-197.954,-197.841
59,0.95,0.15,,0.929228,0.97497,0.985621,,-3.16982e-15,1.32501,,-3.09995e-15,0.93667,,-2.81502e-15,0.77502,,-192.923,-197.954,-197.841
60,1.05,0.15,,0.929228,0.97497,0.985621,,-3.85764e-15,1.32501,,-4.74794e-15,0.93667,,-7.08851e-15,0.77502,,-192.923,-197.954,-197.841
61,1.15,0.15,,0.929228,0.97497,0.985621,,-1.9737e-15,1.32501,,-1.44502e-15,0.93667,,-1.80108e-15,0.77502,,-192.923,-197.954,-197.841
62,1.25,0.15,,0.929228,0.97497,0.985621,,-3.97491e-16,1.32501,,-1.12757e-16,0.93667,,-1.35742e-16,0.77502,,-192.923,-197.954,-197.841
63,1.35,0.15,,0.929228,0.97497,0.985621,,-3.64483e-17,1.32501,,-1.12757e-16,0.93667,,-1.35742e-16,0.77502,,-192.923,-197.954,-197.841
64,1.45,0.15,,0.929228,0.97497,0.985621,,-3.64483e-17,1.32501,,-1.12757e-16,0.93667,,-1.35742e-16,0.77502,,-192.923,-197.954,-197.841
65,1.55,0.15,,0.929228,0.97497,0.985621,,-3.64483e-17,1.32501,,-1.12757e-16,0.93667,,-1.35742e-16,0.77502,,-192.923,-197.954,-197.841
66,1.65,0.15,,0.929228,0.97497,0.985621,,-3.64483e-17,1.32501,,-1.12757e-16,0.93667,,-1.35742e-16,0.77502,,-192.923,-197.954,-197.841
67,1.75,0.15,,0.929228,0.97497,0.985621,,-3.64483e-17,1.32501,,-1.12757e-16,0.93667,,-1.35742e-16,0.77502,,-192.923,-197.954,-197.841
68,1.85,0.15,,0.929228,0.97497,0.985621,,-3.64483e-17,1.32501,,-1.12757e-16,0.93667,,-1.35742e-16,0.77502,,-192.923,-197.954,-197.841
69,1.95,0.15,,0.929228,0.97497,0.985621,,-3.64483e-17,1.32501,,-1.12757e-16,0.93667,,-1.35742e-16,0.77502,,-192.923,-197.954,-197.841
70,2.05,0.15,,0.929228,0.97497,0.985621,,-3.64483e-17,1.32501,,-1.12757e-16,0.93667,,-1.35742e-16,0.77502,,-192.923,-197.954,-197.841
71,2.15,0.15,,0.929228,0.97497,0.985621,,-3.64483e-17,1.32501,,-1.12757e-16,0.93667,,-1.35742e-16,0.77502,,-192.923,-197.954,-197.841
72,2.25,0.15,,0.929228,0.97497,0.985621,,-3.64483e-17,1.32501,,-1.12757e-16,0.93667,,-1.35742e-16,0.77502,,-192.923,-197.954,-197.841
73,2.35,0.15,,0.929228,0.97497,0.985621,,-3.64483e-17,1.32501,,-1.12757e-16,0.93667,,-1.35742e-16,0.77502,,-192.923,-197.954,-197.841
74,2.45,0.15,,0.929228,0.97497,0.985621,,-3.64483e-17,1.32501,,-1.12757e-16,0.93667,,-1.35742e-16,0.77502,,-192.923,-197.954,-197.841
75,2.55,0.15,,0.929228,0.97497,0.985621,,-3.64483e-17,1.32501,,-1.12757e-16,0.93667,,-1.35742e-16,0.77502,,-192.923,-197.954,-197.841
76,2.65,0.15,,0.929228,0.97497,0.985621,,-3.64483e-17,1.32501,,-1.12757e-16,0.93667,,-1.35742e-16,0.77502,,-192.923,-197.954,-197.841
77,2.75,0.15,,0.929228,0.97497,0.985621,,-3.64483e-17,1.32501,,-1.12757e-16,0.93667,,-1.35742e-16,0.77502,,-192.923,-197.954,-197.841
78,2.85,0.15,,0.929228,0.97497,0.985621,,-3.64483e-17,1.32501,,-1.12757e-16,0.93667,,-1.35742e-16,0.77502,,-192.923,-197.954,-197.841
79,2.95,0.15,,0.929228,0.97497,0.985621,,-3.64483e-17,1.32501,,-1.12757e-16,0.93667,,-1.35742e-16,0.77502,,-192.923,-197.954,-197.841
80,3.05,0.15,,0.929228,0.97497,0.985621,,-3.64483e-17,1.32501,,-1.12757e-16,0.93667,,-1.35742e-16,0.77502,,-192.923,-197.954,-197.841
81,3.15,0.15,,0.929228,0.97497,0.985621,,-3.64483e-17,1.32501,,-1.12757e-16,0.93667,,-1.35742e-16,0.77502,,-192.923,-197.954,-197.841
82,3.25,0.15,,0.929228,0.97497,0.985621,,-3.64483e-17,1.32501,,-1.12757e-16,0.93667,,-1.35742e-16,0.77502,,-192.923,-197.954,-197.841
83,3.35,0.15,,0.929228,0.97497,0.985621,,-3.64483e-17,1.32501,,-1.12757e-16,0.93667,,-1.35742e-16,0.77502,,-192.923,-197.954,-197.841
84,3.45,0.15,,0.929228,0.97497,0.985621,,-3.64483e-17,1.32501,,-1.12757e-16,0.93667,,-1.35742e-16,0.77502,,-192.923,-197.954,-197.841
85,3.55,0.15,,0.929228,0.97497,0.985621,,-3.64483e-17,1.32501,,-1.12757e-16,0.93667,,-1.35742e-16,0.77502,,-192.923,-197.954,-197.841
86,3.65,0.15,,0.929228,0.97497,0.985621,,-8.68934e-18,1.32501,,-1.12757e-16,0.93667,,-1.35742e-16,0.77502,,-192.923,-197.954,-197.841
87,3.75,0.15,,0.929228,0.97497,0.985621,,3.05478e-18,1.32501,,-1.12757e-16,0.93667,,-1.35742e-16,0.77502,,-192.923,-197.954,-197.841
88,3.85,0.15,,0.929228,0.97497,0.985621,,2.0031e-15,1.32501,,-1.12757e-16,0.93667,,-1.35742e-16,0.77502,,-192.923,-197.954,-197.841
89,3.95,0.15,,0.929228,0.97497,0.985621,,9.78481e-15,1.32501,,8.54872e-15,0.93667,,8.67145e-15,0.77502,,-192.923,-197.954,-197.841
90,4.05,0.15,,0.929228,0.97497,0.985621,,1.62931e-14,1.32501,,1.86864e-14,0.93667,,2.57593e-14,0.77502,,-192.923,-197.954,-197.841
91,4.15,0.15,,0.929228,0.97497,0.985621,,3.46584e-15,1.32501,,8.86097e-15,0.93667,,9.79989e-15,0.77502,,-192.923,-197.954,-197.841
