dx/h :,0.555556
dy/h :,0.555556
L2normPGauss,L2normPCubic,L2normPWedn
0.0948338,0.0826378,0.0773469

x,y,,PGauss,PCubic,PWedn,,dPGaussX,dPGaussY,,dPCubicX,dPCubicY,,dPWednX,dPWednY
0,0,,0.43128,0.474825,0.500417,,1.94899,1.94899,,2.38905,2.38905,,2.60025,2.60025
0,0.1,,0.582459,0.645462,0.67176,,2.63218,1.01579,,3.25595,0.936131,,3.497,0.857837
0,0.2,,0.642351,0.688134,0.707222,,2.90283,0.276383,,3.48208,0.0977833,,3.69353,0.0511578
0,0.3,,0.655149,0.689938,0.707966,,2.96067,0.0393736,,3.49302,5.85903e-16,,3.6983,9.46556e-16
0,0.4,,0.656624,0.689938,0.707966,,2.96734,0.00294744,,3.49302,-8.73e-16,,3.6983,-7.65616e-16
0,0.5,,0.656716,0.689938,0.707966,,2.96775,0.000116371,,3.49302,-8.95204e-16,,3.6983,-1.58302e-15
0,0.6,,0.656719,0.689938,0.707966,,2.96776,2.43179e-06,,3.49302,1.38388e-15,,3.6983,1.99867e-15
0,0.7,,0.656719,0.689938,0.707966,,2.96776,2.69788e-08,,3.49302,1.84705e-15,,3.6983,1.79831e-15
0,0.8,,0.656719,0.689938,0.707966,,2.96776,1.59319e-10,,3.49302,1.26201e-16,,3.6983,-8.90735e-17
0,0.9,,0.656719,0.689938,0.707966,,2.96776,5.00411e-13,,3.49302,-2.34405e-15,,3.6983,-2.09788e-15
0,1,,0.656719,0.689938,0.707966,,2.96776,-1.2617e-16,,3.49302,-2.07135e-15,,3.6983,-2.84329e-15
0,1.1,,0.656719,0.689938,0.707966,,2.96776,5.8917e-16,,3.49302,1.55596e-15,,3.6983,1.65311e-15
0,1.2,,0.656719,0.689938,0.707966,,2.96776,1.23971e-15,,3.49302,2.16242e-15,,3.6983,3.4711e-15
0,1.3,,0.656719,0.689938,0.707966,,2.96776,7.8281e-16,,3.49302,1.1431e-15,,3.6983,-1.51003e-16
0,1.4,,0.656719,0.689938,0.707966,,2.96776,-8.45142e-16,,3.49302,-1.08498e-15,,3.6983,8.49193e-17
0,1.5,,0.656719,0.689938,0.707966,,2.96776,-9.71086e-16,,3.49302,-1.78165e-15,,3.6983,-3.03238e-15
0,1.6,,0.656719,0.689938,0.707966,,2.96776,-1.79264e-16,,3.49302,5.7159e-17,,3.6983,1.55303e-17
0,1.7,,0.656719,0.689938,0.707966,,2.96776,7.36641e-16,,3.49302,1.82935e-15,,3.6983,3.24905e-15
0,1.8,,0.656719,0.689938,0.707966,,2.96776,6.70809e-16,,3.49302,1.1431e-15,,3.6983,-1.51003e-16
0,1.9,,0.656719,0.689938,0.707966,,2.96776,-1.05099e-15,,3.49302,-1.08498e-15,,3.6983,8.49193e-17
0,2,,0.656719,0.689938,0.707966,,2.96776,-2.01158e-15,,3.49302,-2.69758e-15,,3.6983,-3.72627e-15
0,2.1,,0.656719,0.689938,0.707966,,2.96776,-1.98646e-15,,3.49302,-3.0081e-15,,3.6983,-2.86585e-15
0,2.2,,0.656719,0.689938,0.707966,,2.96776,8.43474e-16,,3.49302,8.49928e-16,,3.6983,7.14624e-16
0,2.3,,0.656719,0.689938,0.707966,,2.96776,4.02253e-15,,3.49302,6.60747e-15,,3.6983,6.41579e-15
0,2.4,,0.656719,0.689938,0.707966,,2.96776,2.65186e-15,,3.49302,4.78255e-15,,3.6983,6.7787e-15
0,2.5,,0.656719,0.689938,0.707966,,2.96776,-2.5696e-15,,3.49302,-4.56935e-15,,3.6983,-6.94765e-15
0,2.6,,0.656719,0.689938,0.707966,,2.96776,-4.00839e-15,,3.49302,-6.39428e-15,,3.6983,-6.36305e-15
0,2.7,,0.656719,0.689938,0.707966,,2.96776,-1.28301e-16,,3.49302,7.27716e-17,,3.6983,1.59512e-16
0,2.8,,0.656719,0.689938,0.707966,,2.96776,3.91146e-15,,3.49302,6.60747e-15,,3.6983,6.41579e-15
0,2.9,,0.656719,0.689938,0.707966,,2.96776,2.65186e-15,,3.49302,4.78255e-15,,3.6983,6.7787e-15
0,3,,0.656719,0.689938,0.707966,,2.96776,-2.5696e-15,,3.49302,-4.56935e-15,,3.6983,-6.94765e-15
0,3.1,,0.656719,0.689938,0.707966,,2.96776,-4.00839e-15,,3.49302,-6.39428e-15,,3.6983,-6.36305e-15
0,3.2,,0.656719,0.689938,0.707966,,2.96776,-1.28301e-16,,3.49302,7.27716e-17,,3.6983,1.59512e-16
0,3.3,,0.656719,0.689938,0.707966,,2.96776,3.91146e-15,,3.49302,6.60747e-15,,3.6983,6.41579e-15
0,3.4,,0.656719,0.689938,0.707966,,2.96776,2.65186e-15,,3.49302,4.78255e-15,,3.6983,6.7787e-15
0,3.5,,0.656719,0.689938,0.707966,,2.96776,-2.5696e-15,,3.49302,-4.56935e-15,,3.6983,-6.94765e-15
0,3.6,,0.656719,0.689938,0.707966,,2.96776,-4.00937e-15,,3.49302,-6.39428e-15,,3.6983,-6.36305e-15
0,3.7,,0.656719,0.689938,0.707966,,2.96776,-4.11907e-16,,3.49302,7.27716e-17,,3.6983,1.59512e-16
0,3.8,,0.656719,0.689938,0.707966,,2.96776,2.33574e-15,,3.49302,4.83112e-15,,3.6983,5.2223e-15
0,3.9,,0.656719,0.689938,0.707966,,2.96776,7.30326e-16,,3.49302,2.41993e-17,,3.6983,1.52162e-15
0,4,,0.656719,0.689938,0.707966,,2.96776,6.05316e-16,,3.49302,-1.51207e-15,,3.6983,-6.23017e-15
0,4.1,,0.656719,0.689938,0.707966,,2.96776,3.99567e-15,,3.49302,7.83913e-15,,3.6983,1.24894e-14
0,4.2,,0.656719,0.689938,0.707966,,2.96776,-3.52493e-16,,3.49302,7.27716e-17,,3.6983,-6.21853e-17
0,4.3,,0.656719,0.689938,0.707966,,2.96776,-5.59254e-15,,3.49302,-9.22812e-15,,3.6983,-1.34744e-14
0,4.4,,0.656719,0.689938,0.707966,,2.96776,-3.0389e-15,,3.49302,-3.35157e-15,,3.6983,9.98598e-16
0,4.5,,0.656719,0.689938,0.707966,,2.96776,-7.01972e-16,,3.49302,9.77516e-17,,3.6983,-3.31583e-15
0,4.6,,0.656719,0.689938,0.707966,,2.96776,8.45646e-16,,3.49302,-1.31926e-16,,3.6983,3.21904e-15
0,4.7,,0.656719,0.689938,0.707966,,2.96776,3.18631e-15,,3.49302,3.28964e-15,,3.6983,-1.01212e-15
0,4.8,,0.656719,0.689938,0.707966,,2.96776,5.47925e-15,,3.49302,9.1714e-15,,3.6983,1.34886e-14
0,4.9,,0.656719,0.689938,0.707966,,2.96776,-8.16933e-16,,3.49302,7.27716e-17,,3.6983,-6.21853e-17
0,5,,0.656719,0.689938,0.707966,,2.96776,-5.07332e-13,,3.49302,-9.22812e-15,,3.6983,-1.34744e-14
0,5.1,,0.656719,0.689938,0.707966,,2.96776,-1.59322e-10,,3.49302,-3.35157e-15,,3.6983,9.98598e-16
0,5.2,,0.656719,0.689938,0.707966,,2.96776,-2.69788e-08,,3.49302,3.28964e-15,,3.6983,-1.01212e-15
0,5.3,,0.656719,0.689938,0.707966,,2.96776,-2.43179e-06,,3.49302,9.1714e-15,,3.6983,1.34886e-14
0,5.4,,0.656716,0.689938,0.707966,,2.96775,-0.000116371,,3.49302,7.27716e-17,,3.6983,-6.21853e-17
0,5.5,,0.656624,0.689938,0.707966,,2.96734,-0.00294744,,3.49302,-9.22812e-15,,3.6983,-1.34744e-14
0,5.6,,0.655149,0.689938,0.707966,,2.96067,-0.0393736,,3.49302,-3.35157e-15,,3.6983,9.98598e-16
0,5.7,,0.642351,0.688134,0.707222,,2.90283,-0.276383,,3.48208,-0.0977833,,3.69353,-0.0511578
0,5.8,,0.582459,0.645462,0.67176,,2.63218,-1.01579,,3.25595,-0.936131,,3.497,-0.857837
0,5.9,,0.43128,0.474825,0.500417,,1.94899,-1.94899,,2.38905,-2.38905,,2.60025,-2.60025
0.1,0,,0.582459,0.645462,0.67176,,1.01579,2.63218,,0.936131,3.25595,,0.857837,3.497
0.1,0.1,,0.786631,0.877545,0.903182,,1.37185,1.37185,,1.26926,1.26926,,1.16073,1.16073
0.1,0.2,,0.867517,0.935482,0.950988,,1.51292,0.373264,,1.34523,0.130591,,1.21297,0.0654658
0.1,0.3,,0.884802,0.937791,0.951902,,1.54306,0.0531754,,1.34523,6.96925e-16,,1.21297,1.05758e-15
0.1,0.4,,0.886794,0.937791,0.951902,,1.54653,0.00398061,,1.34523,-1.09504e-15,,1.21297,-7.65616e-16
0.1,0.5,,0.886918,0.937791,0.951902,,1.54675,0.000157164,,1.34523,-1.11725e-15,,1.21297,-2.22833e-15
0.1,0.6,,0.886922,0.937791,0.951902,,1.54676,3.28422e-06,,1.34523,1.82796e-15,,1.21297,2.63704e-15
0.1,0.7,,0.886922,0.937791,0.951902,,1.54676,3.64359e-08,,1.34523,2.73523e-15,,1.21297,2.46444e-15
0.1,0.8,,0.886922,0.937791,0.951902,,1.54676,2.15166e-10,,1.34523,1.26201e-16,,1.21297,-8.90735e-17
0.1,0.9,,0.886922,0.937791,0.951902,,1.54676,6.75744e-13,,1.34523,-3.23222e-15,,1.21297,-2.76402e-15
0.1,1,,0.886922,0.937791,0.951902,,1.54676,-4.03159e-16,,1.34523,-2.82769e-15,,1.21297,-3.8104e-15
0.1,1.1,,0.886922,0.937791,0.951902,,1.54676,9.21431e-16,,1.34523,2.00005e-15,,1.21297,2.09026e-15
0.1,1.2,,0.886922,0.937791,0.951902,,1.54676,1.6202e-15,,1.34523,3.24489e-15,,1.21297,4.77561e-15
0.1,1.3,,0.886922,0.937791,0.951902,,1.54676,1.17202e-15,,1.34523,1.47616e-15,,1.21297,-2.41209e-16
0.1,1.4,,0.886922,0.937791,0.951902,,1.54676,-1.01232e-15,,1.34523,-1.19601e-15,,1.21297,1.95942e-16
0.1,1.5,,0.886922,0.937791,0.951902,,1.54676,-1.35845e-15,,1.34523,-2.86932e-15,,1.21297,-4.33255e-15
0.1,1.6,,0.886922,0.937791,0.951902,,1.54676,-1.79203e-16,,1.34523,5.7159e-17,,1.21297,3.6347e-17
0.1,1.7,,0.886922,0.937791,0.951902,,1.54676,1.22815e-15,,1.34523,2.91182e-15,,1.21297,4.55357e-15
0.1,1.8,,0.886922,0.937791,0.951902,,1.54676,9.49045e-16,,1.34523,1.47616e-15,,1.21297,-2.41209e-16
0.1,1.9,,0.886922,0.937791,0.951902,,1.54676,-1.32917e-15,,1.34523,-1.19601e-15,,1.21297,1.95942e-16
0.1,2,,0.886922,0.937791,0.951902,,1.54676,-2.67667e-15,,1.34523,-4.0073e-15,,1.21297,-5.24849e-15
0.1,2.1,,0.886922,0.937791,0.951902,,1.54676,-2.87446e-15,,1.34523,-4.20679e-15,,1.21297,-4.08275e-15
0.1,2.2,,0.886922,0.937791,0.951902,,1.54676,1.16936e-15,,1.34523,1.28881e-15,,1.21297,7.18961e-16
0.1,2.3,,0.886922,0.937791,0.951902,,1.54676,5.4585e-15,,1.34523,8.91119e-15,,1.21297,8.96237e-15
0.1,2.4,,0.886922,0.937791,0.951902,,1.54676,3.78181e-15,,1.34523,6.42012e-15,,1.21297,9.08241e-15
0.1,2.5,,0.886922,0.937791,0.951902,,1.54676,-3.56765e-15,,1.34523,-6.21213e-15,,1.21297,-9.02498e-15
0.1,2.6,,0.886922,0.937791,0.951902,,1.54676,-5.45129e-15,,1.34523,-8.70319e-15,,1.21297,-8.69018e-15
0.1,2.7,,0.886922,0.937791,0.951902,,1.54676,-1.90718e-16,,1.34523,6.75674e-17,,1.21297,1.63849e-16
0.1,2.8,,0.886922,0.937791,0.951902,,1.54676,5.34743e-15,,1.34523,8.91119e-15,,1.21297,8.96237e-15
0.1,2.9,,0.886922,0.937791,0.951902,,1.54676,3.78176e-15,,1.34523,6.42012e-15,,1.21297,9.08241e-15
0.1,3,,0.886922,0.937791,0.951902,,1.54676,-3.56765e-15,,1.34523,-6.21213e-15,,1.21297,-9.02498e-15
0.1,3.1,,0.886922,0.937791,0.951902,,1.54676,-5.45129e-15,,1.34523,-8.70319e-15,,1.21297,-8.69018e-15
0.1,3.2,,0.886922,0.937791,0.951902,,1.54676,-1.90718e-16,,1.34523,6.75674e-17,,1.21297,1.63849e-16
0.1,3.3,,0.886922,0.937791,0.951902,,1.54676,5.34743e-15,,1.34523,8.91119e-15,,1.21297,8.96237e-15
0.1,3.4,,0.886922,0.937791,0.951902,,1.54676,3.78176e-15,,1.34523,6.42012e-15,,1.21297,9.08241e-15
0.1,3.5,,0.886922,0.937791,0.951902,,1.54676,-3.56765e-15,,1.34523,-6.21213e-15,,1.21297,-9.02498e-15
0.1,3.6,,0.886922,0.937791,0.951902,,1.54676,-5.45227e-15,,1.34523,-8.70319e-15,,1.21297,-8.69018e-15
0.1,3.7,,0.886922,0.937791,0.951902,,1.54676,-5.85291e-16,,1.34523,6.75674e-17,,1.21297,1.63849e-16
0.1,3.8,,0.886922,0.937791,0.951902,,1.54676,3.22363e-15,,1.34523,6.4687e-15,,1.21297,7.32479e-15
0.1,3.9,,0.886922,0.937791,0.951902,,1.54676,1.08339e-15,,1.34523,1.89951e-17,,1.21297,1.94923e-15
0.1,4,,0.886922,0.937791,0.951902,,1.54676,7.38328e-16,,1.34523,-2.03075e-15,,1.21297,-7.86341e-15
0.1,4.1,,0.886922,0.937791,0.951902,,1.54676,5.23675e-15,,1.34523,1.03701e-14,,1.21297,1.61809e-14
0.1,4.2,,0.886922,0.937791,0.951902,,1.54676,-3.87154e-16,,1.34523,6.75674e-17,,1.21297,-5.09096e-17
0.1,4.3,,0.886922,0.937791,0.951902,,1.54676,-7.17359e-15,,1.34523,-1.24391e-14,,1.21297,-1.76056e-14
0.1,4.4,,0.886922,0.937791,0.951902,,1.54676,-4.01812e-15,,1.34523,-4.27271e-15,,1.21297,9.82118e-16
0.1,4.5,,0.886922,0.937791,0.951902,,1.54676,-1.00627e-15,,1.34523,-1.15619e-16,,1.21297,-3.72783e-15
0.1,4.6,,0.886922,0.937791,0.951902,,1.54676,9.76393e-16,,1.34523,5.7159e-17,,1.21297,3.8687e-15
0.1,4.7,,0.886922,0.937791,0.951902,,1.54676,4.21406e-15,,1.34523,4.40854e-15,,1.21297,-7.57983e-16
0.1,4.8,,0.886922,0.937791,0.951902,,1.54676,7.27538e-15,,1.34523,1.23685e-14,,1.21297,1.76242e-14
0.1,4.9,,0.886922,0.937791,0.951902,,1.54676,-1.12915e-15,,1.34523,6.75674e-17,,1.21297,-5.09096e-17
0.1,5,,0.886922,0.937791,0.951902,,1.54676,-6.84828e-13,,1.34523,-1.24391e-14,,1.21297,-1.76056e-14
0.1,5.1,,0.886922,0.937791,0.951902,,1.54676,-2.15169e-10,,1.34523,-4.27271e-15,,1.21297,9.82118e-16
0.1,5.2,,0.886922,0.937791,0.951902,,1.54676,-3.64359e-08,,1.34523,4.40854e-15,,1.21297,-7.57983e-16
