h/dp :,2
L2norm Pressure,KE,dr0,Nfluid
0,438.063,0.00447214,2100

t,1.09006
ID,x,y,,rho,drhodt,pressure,,u,v,velocity,,dudt,dvdt,vorticity,type
68,0.0491965,-0.00892784,,999.942,0,-114.534,,0,0,0,,0,0,0,boundary
69,0.0497987,-0.00448197,,999.941,0,-116.508,,0,0,0,,0,0,0,boundary
70,0.0544721,0,,999.965,0.00175924,-68.8373,,0.521738,5.78247e-12,0.521738,,-0.0380147,-1.2064e-10,-6.95001e-11,fluid
71,0.0542528,0.00488284,,999.965,0.00173202,-68.8308,,0.52296,-0.000930614,0.522961,,-0.0180719,-0.0419714,1.83563,fluid
72,0.0535967,0.00972638,,999.967,0.00392759,-64.7316,,0.506083,0.0445177,0.508037,,-0.01527,0.0363421,1.28926,fluid
73,0.0525091,0.0144916,,999.968,0.0035477,-62.9045,,0.487733,0.0347007,0.488965,,-0.0113347,0.000711971,3.24516,fluid
74,0.0509987,0.0191401,,999.969,0.00282051,-60.4033,,0.453033,0.0685818,0.458195,,-0.014156,0.010625,2.38766,fluid
75,0.0490777,0.0236346,,999.97,0.00299291,-58.4314,,0.415157,0.0833293,0.423437,,-0.0125156,0.00475604,1.61641,fluid
76,0.0467615,0.0279387,,999.97,0.00249947,-59.0456,,0.386246,0.0883752,0.396227,,-0.00532879,-0.00599485,0.576263,fluid
77,0.0440689,0.0320179,,999.97,0.00149019,-59.172,,0.349505,0.112214,0.367077,,-0.00860792,-0.000161452,-2.2355,fluid
78,0.0410214,0.0358393,,999.971,0.000275182,-56.6263,,0.321149,0.120205,0.342908,,-0.0101122,-0.00185689,-4.69768,fluid
79,0.0376437,0.0393722,,999.974,-0.000274764,-51.8722,,0.31262,0.11372,0.332661,,-0.0138089,-0.000381944,-6.4232,fluid
80,0.0339628,0.042588,,999.977,-0.000207307,-45.9738,,0.313686,0.109754,0.332332,,-0.0135812,-0.00106449,-8.26735,fluid
81,0.0300085,0.045461,,999.98,7.65398e-05,-39.1679,,0.322117,0.105855,0.339064,,-0.0128896,-0.000739253,-10.0641,fluid
82,0.0258126,0.0479679,,999.983,0.000263509,-32.5469,,0.337108,0.100945,0.351897,,-0.0123545,-0.000258827,-11.6185,fluid
83,0.0214089,0.0500886,,999.987,0.000173574,-25.4323,,0.355803,0.0960771,0.368546,,-0.0117017,-0.000132988,-12.8821,fluid
84,0.0168328,0.0518061,,999.991,0.000222476,-18.048,,0.377666,0.0908947,0.38845,,-0.0112365,0.00021422,-13.695,fluid
85,0.0121212,0.0531064,,999.993,0.00015601,-12.892,,0.400612,0.0857814,0.409693,,-0.0113058,0.000877746,-14.0417,fluid
86,0.00731197,0.0539792,,999.996,8.52269e-05,-8.51217,,0.424698,0.0808741,0.43233,,-0.0113429,0.00131315,-13.9029,fluid
87,0.00244388,0.0544173,,999.998,-0.000105545,-4.85629,,0.446777,0.0771965,0.453397,,-0.0109581,0.00148655,-13.4738,fluid
88,-0.00244388,0.0544173,,999.999,-0.000287073,-2.17108,,0.465448,0.0744437,0.471364,,-0.0103819,0.00180971,-12.8451,fluid
89,-0.00731197,0.0539792,,1000,-0.000493909,2.14125,,0.480742,0.0720008,0.486103,,-0.0100199,0.00213648,-12.0505,fluid
90,-0.0121212,0.0531064,,1000.01,-0.000674028,11.7697,,0.492215,0.0694434,0.49709,,-0.00998742,0.00211609,-11.1634,fluid
91,-0.0168328,0.0518061,,1000.01,-0.000523032,18.9339,,0.502143,0.0666801,0.506551,,-0.00984085,0.00218071,-10.103,fluid
92,-0.0214089,0.0500886,,1000.01,-0.000382938,23.3002,,0.509842,0.0626224,0.513674,,-0.00968735,0.00230448,-9.00198,fluid
93,-0.0258126,0.0479679,,1000.01,-0.000270988,25.3929,,0.516432,0.0571688,0.519587,,-0.00951456,0.00224517,-7.96884,fluid
94,-0.0300085,0.045461,,1000.01,-0.000194774,26.2196,,0.521968,0.0512281,0.524476,,-0.00934692,0.00212206,-7.08675,fluid
95,-0.0339628,0.042588,,1000.01,-0.000143913,26.1932,,0.526475,0.0456403,0.52845,,-0.00917438,0.00196168,-6.33481,fluid
96,-0.0376437,0.0393722,,1000.01,-0.000118588,25.5709,,0.529618,0.0400335,0.531129,,-0.00900224,0.00181035,-5.69584,fluid
97,-0.0410214,0.0358393,,1000.01,-0.000167059,25.3603,,0.532356,0.0351171,0.533513,,-0.00897784,0.00146057,-5.07057,fluid
98,-0.0440689,0.0320179,,1000.01,-0.000150775,26.7428,,0.535002,0.0324398,0.535984,,-0.00874752,0.00135384,-4.34901,fluid
99,-0.0467615,0.0279387,,1000.01,-0.000140627,27.2802,,0.535391,0.0281894,0.536133,,-0.00865654,0.00119726,-3.71924,fluid
100,-0.0490777,0.0236346,,1000.01,-0.000141879,27.7783,,0.53591,0.0238151,0.536439,,-0.0086022,0.000974573,-3.07266,fluid
101,-0.0509987,0.0191401,,1000.01,-0.000130638,28.3552,,0.536378,0.0197468,0.536741,,-0.00852383,0.000802145,-2.41523,fluid
102,-0.0525091,0.0144916,,1000.01,-0.000121787,28.5708,,0.536347,0.0151123,0.53656,,-0.00848333,0.000622741,-1.79085,fluid
103,-0.0535967,0.00972638,,1000.01,-0.00011481,28.517,,0.536311,0.0102635,0.536409,,-0.00845547,0.000422791,-1.17223,fluid
104,-0.0542528,0.00488284,,1000.01,-0.000106501,28.3583,,0.536395,0.00522506,0.53642,,-0.00843579,0.000210445,-0.571456,fluid
105,-0.0544721,6.67091e-18,,1000.01,-0.000103305,28.2977,,0.536469,-6.3747e-14,0.536469,,-0.0084317,-4.07443e-12,-3.34388e-13,fluid
106,-0.0542528,-0.00488284,,1000.01,-0.0001065,28.3583,,0.536395,-0.00522506,0.53642,,-0.00843579,-0.000210445,0.571456,fluid
107,-0.0535967,-0.00972638,,1000.01,-0.00011481,28.517,,0.536311,-0.0102635,0.536409,,-0.00845547,-0.000422791,1.17223,fluid
108,-0.0525091,-0.0144916,,1000.01,-0.000121786,28.5708,,0.536347,-0.0151123,0.53656,,-0.00848333,-0.000622741,1.79085,fluid
109,-0.0509987,-0.0191401,,1000.01,-0.000130638,28.3552,,0.536378,-0.0197468,0.536741,,-0.00852383,-0.000802145,2.41523,fluid
110,-0.0490777,-0.0236346,,1000.01,-0.000141879,27.7783,,0.53591,-0.0238151,0.536439,,-0.0086022,-0.000974573,3.07266,fluid
111,-0.0467615,-0.0279387,,1000.01,-0.000140627,27.2802,,0.535391,-0.0281894,0.536133,,-0.00865654,-0.00119726,3.71924,fluid
112,-0.0440689,-0.0320179,,1000.01,-0.000150775,26.7428,,0.535002,-0.0324398,0.535984,,-0.00874752,-0.00135384,4.34901,fluid
113,-0.0410214,-0.0358393,,1000.01,-0.00016706,25.3603,,0.532356,-0.0351171,0.533513,,-0.00897784,-0.00146057,5.07057,fluid
114,-0.0376437,-0.0393722,,1000.01,-0.000118588,25.5709,,0.529618,-0.0400335,0.531129,,-0.00900224,-0.00181035,5.69584,fluid
115,-0.0339628,-0.042588,,1000.01,-0.000143912,26.1932,,0.526475,-0.0456403,0.52845,,-0.00917438,-0.00196168,6.33481,fluid
116,-0.0300085,-0.045461,,1000.01,-0.000194774,26.2196,,0.521968,-0.0512281,0.524476,,-0.00934692,-0.00212206,7.08675,fluid
117,-0.0258126,-0.0479679,,1000.01,-0.000270989,25.3929,,0.516432,-0.0571688,0.519587,,-0.00951456,-0.00224517,7.96884,fluid
118,-0.0214089,-0.0500886,,1000.01,-0.000382939,23.3002,,0.509842,-0.0626224,0.513674,,-0.00968735,-0.00230448,9.00198,fluid
119,-0.0168328,-0.0518061,,1000.01,-0.000523031,18.9339,,0.502143,-0.0666801,0.506551,,-0.00984085,-0.00218071,10.103,fluid
120,-0.0121212,-0.0531064,,1000.01,-0.000674028,11.7697,,0.492215,-0.0694434,0.49709,,-0.00998742,-0.00211609,11.1634,fluid
121,-0.00731197,-0.0539792,,1000,-0.000493908,2.14125,,0.480742,-0.0720008,0.486103,,-0.0100199,-0.00213648,12.0505,fluid
122,-0.00244388,-0.0544173,,999.999,-0.000287072,-2.17108,,0.465448,-0.0744437,0.471364,,-0.0103819,-0.00180971,12.8451,fluid
123,0.00244388,-0.0544173,,999.998,-0.000105546,-4.85629,,0.446777,-0.0771965,0.453397,,-0.0109581,-0.00148655,13.4738,fluid
124,0.00731197,-0.0539792,,999.996,8.52275e-05,-8.51217,,0.424698,-0.0808741,0.43233,,-0.0113429,-0.00131315,13.9029,fluid
125,0.0121212,-0.0531064,,999.993,0.00015601,-12.892,,0.400612,-0.0857814,0.409693,,-0.0113058,-0.000877746,14.0417,fluid
126,0.0168328,-0.0518061,,999.991,0.000222476,-18.048,,0.377666,-0.0908947,0.38845,,-0.0112365,-0.00021422,13.695,fluid
127,0.0214089,-0.0500886,,999.987,0.000173574,-25.4323,,0.355803,-0.0960771,0.368546,,-0.0117017,0.000132988,12.8821,fluid
128,0.0258126,-0.0479679,,999.983,0.000263509,-32.5469,,0.337108,-0.100945,0.351897,,-0.0123545,0.000258827,11.6185,fluid
129,0.0300085,-0.045461,,999.98,7.65398e-05,-39.1679,,0.322117,-0.105855,0.339064,,-0.0128896,0.000739253,10.0641,fluid
130,0.0339628,-0.042588,,999.977,-0.000207307,-45.9738,,0.313686,-0.109754,0.332332,,-0.0135812,0.00106449,8.26735,fluid
131,0.0376437,-0.0393722,,999.974,-0.000274764,-51.8722,,0.31262,-0.11372,0.332661,,-0.0138089,0.000381944,6.4232,fluid
132,0.0410214,-0.0358393,,999.971,0.000275182,-56.6263,,0.321149,-0.120205,0.342908,,-0.0101122,0.00185689,4.69768,fluid
133,0.0440689,-0.0320179,,999.97,0.00149019,-59.172,,0.349505,-0.112214,0.367077,,-0.00860792,0.000161452,2.2355,fluid
134,0.0467615,-0.0279387,,999.97,0.00249947,-59.0456,,0.386246,-0.0883752,0.396227,,-0.00532879,0.00599485,-0.576263,fluid
135,0.0490777,-0.0236346,,999.97,0.00299291,-58.4314,,0.415157,-0.0833293,0.423437,,-0.0125156,-0.00475604,-1.61641,fluid
136,0.0509987,-0.0191401,,999.969,0.00282051,-60.4033,,0.453033,-0.0685818,0.458195,,-0.014156,-0.010625,-2.38766,fluid
137,0.0525091,-0.0144916,,999.968,0.0035477,-62.9045,,0.487733,-0.0347007,0.488965,,-0.0113347,-0.000711971,-3.24516,fluid
138,0.0535967,-0.00972638,,999.967,0.00392759,-64.7316,,0.506083,-0.0445177,0.508037,,-0.01527,-0.0363421,-1.28926,fluid
139,0.0542528,-0.00488284,,999.965,0.00173202,-68.8308,,0.52296,0.000930614,0.522961,,-0.0180719,0.0419714,-1.83563,fluid
140,0.0594514,0,,999.941,0.00514759,-116.255,,0.369867,-1.2594e-12,0.369867,,-0.0251902,2.94539e-11,1.75438e-10,fluid
