h/dp :,2
L2norm Pressure,KE,dr0,Nfluid
0,436.923,0.00447214,2100

t,0
ID,x,y,,rho,drhodt,pressure,,u,v,velocity,,dudt,dvdt,vorticity,type
66,0.0468117,-0.0175687,,1000,0,3.04956e-09,,0,0,0,,0,0,0,boundary
67,0.0481981,-0.0133018,,1000,0,1.74261e-09,,0,0,0,,0,0,0,boundary
68,0.0491965,-0.00892784,,1000,0,4.35652e-10,,0,0,0,,0,0,0,boundary
69,0.0497987,-0.00448197,,1000,0,1.74261e-09,,0,0,0,,0,0,0,boundary
70,0.0544721,0,,1000,-9939.62,0,,0.5,0,0.5,,-5.01071,-1.89478e-11,4.88498e-15,fluid
71,0.0542528,0.00488284,,1000,-9899.6,0,,0.5,0,0.5,,-4.9907,-2.47504e-12,-0.89098,fluid
72,0.0535967,0.00972638,,1000,-9779.88,0,,0.5,0,0.5,,-4.93084,2.8288e-11,-1.77479,fluid
73,0.0525091,0.0144916,,1000,-9581.42,0,,0.5,0,0.5,,-4.83161,3.48107e-11,-2.6443,fluid
74,0.0509987,0.0191401,,1000,-9305.81,0,,0.5,0,0.5,,-4.69381,1.72581e-11,-3.49253,fluid
75,0.0490777,0.0236346,,1000,-8955.28,0,,0.5,0,0.5,,-4.51855,0.000744239,-4.31264,fluid
76,0.0467615,0.0279387,,1000,-8532.65,0,,0.5,0,0.5,,-4.30812,0.0123006,-5.09802,fluid
77,0.0440689,0.0320179,,1000,-8041.32,0,,0.5,0,0.5,,-4.07092,0.0818041,-5.84236,fluid
78,0.0410214,0.0358393,,1000,-7485.24,0,,0.5,0,0.5,,-3.81363,0.148678,-6.53966,fluid
79,0.0376437,0.0393722,,1000,-6868.9,0,,0.5,0,0.5,,-3.53781,0.213887,-7.1843,fluid
80,0.0339628,0.042588,,1000,-6197.25,0,,0.5,0,0.5,,-3.2618,0.450672,-7.7711,fluid
81,0.0300085,0.045461,,1000,-5475.7,0,,0.5,0,0.5,,-3.00216,0.672973,-8.29534,fluid
