ID,theta,CpExact,pExact,nx,ny,ds,dFx,dFy
0,0,1,125,1,0,0.00448799,-0.560999,-0
1,0.0897598,0.967859,120.982,0.995974,0.0896393,0.00448799,-0.540782,-0.0486713
2,0.17952,0.87247,109.059,0.98393,0.178557,0.00448799,-0.481589,-0.0873955
3,0.269279,0.716898,89.6122,0.963963,0.266037,0.00448799,-0.387685,-0.106994
4,0.359039,0.506143,63.2679,0.936235,0.351375,0.00448799,-0.26584,-0.0997713
5,0.448799,0.24698,30.8725,0.900969,0.433884,0.00448799,-0.124834,-0.0601169
6,0.538559,-0.0522627,-6.53283,0.858449,0.512899,0.00448799,0.0251691,0.0150378
7,0.628319,-0.381966,-47.7458,0.809017,0.587785,0.00448799,0.173358,0.125952
8,0.718078,-0.731533,-91.4417,0.753071,0.657939,0.00448799,0.309052,0.270011
9,0.807838,-1.08973,-136.216,0.691063,0.722795,0.00448799,0.422472,0.441871
10,0.897598,-1.44504,-180.63,0.62349,0.781831,0.00448799,0.505442,0.633805
11,0.987358,-1.78605,-223.256,0.550897,0.834573,0.00448799,0.551983,0.836219
12,1.07712,-2.10179,-262.724,0.473869,0.880596,0.00448799,0.55874,1.03831
13,1.16688,-2.38213,-297.766,0.393025,0.919528,0.00448799,0.525227,1.22883
14,1.25664,-2.61803,-327.254,0.309017,0.951057,0.00448799,0.453857,1.39683
15,1.3464,-2.80194,-350.242,0.222521,0.974928,0.00448799,0.349777,1.53247
16,1.43616,-2.92793,-365.991,0.134233,0.99095,0.00448799,0.220487,1.6277
17,1.52592,-2.99195,-373.994,0.0448648,0.998993,0.00448799,0.0753047,1.67679
18,1.61568,-2.99195,-373.994,-0.0448648,0.998993,0.00448799,-0.0753047,1.67679
19,1.70544,-2.92793,-365.991,-0.134233,0.99095,0.00448799,-0.220487,1.6277
20,1.7952,-2.80194,-350.242,-0.222521,0.974928,0.00448799,-0.349777,1.53247
21,1.88496,-2.61803,-327.254,-0.309017,0.951057,0.00448799,-0.453857,1.39683
22,1.97472,-2.38213,-297.766,-0.393025,0.919528,0.00448799,-0.525227,1.22883
23,2.06448,-2.10179,-262.724,-0.473869,0.880596,0.00448799,-0.55874,1.03831
24,2.15423,-1.78605,-223.256,-0.550897,0.834573,0.00448799,-0.551983,0.836219
25,2.24399,-1.44504,-180.63,-0.62349,0.781831,0.00448799,-0.505442,0.633805
26,2.33375,-1.08973,-136.216,-0.691063,0.722795,0.00448799,-0.422472,0.441871
27,2.42351,-0.731533,-91.4417,-0.753071,0.657939,0.00448799,-0.309052,0.270011
28,2.51327,-0.381966,-47.7458,-0.809017,0.587785,0.00448799,-0.173358,0.125952
29,2.60303,-0.0522627,-6.53283,-0.858449,0.512899,0.00448799,-0.0251691,0.0150378
30,2.69279,0.24698,30.8725,-0.900969,0.433884,0.00448799,0.124834,-0.0601169
31,2.78255,0.506143,63.2679,-0.936235,0.351375,0.00448799,0.26584,-0.0997713
32,2.87231,0.716898,89.6122,-0.963963,0.266037,0.00448799,0.387685,-0.106994
33,2.96207,0.87247,109.059,-0.98393,0.178557,0.00448799,0.481589,-0.0873955
34,3.05183,0.967859,120.982,-0.995974,0.0896393,0.00448799,0.540782,-0.0486713
35,3.14159,1,125,-1,1.22465e-16,0.00448799,0.560999,-6.87025e-17
36,3.23135,0.967859,120.982,-0.995974,-0.0896393,0.00448799,0.540782,0.0486713
37,3.32111,0.87247,109.059,-0.98393,-0.178557,0.00448799,0.481589,0.0873955
38,3.41087,0.716898,89.6122,-0.963963,-0.266037,0.00448799,0.387685,0.106994
39,3.50063,0.506143,63.2679,-0.936235,-0.351375,0.00448799,0.26584,0.0997713
40,3.59039,0.24698,30.8725,-0.900969,-0.433884,0.00448799,0.124834,0.0601169
41,3.68015,-0.0522627,-6.53283,-0.858449,-0.512899,0.00448799,-0.0251691,-0.0150378
42,3.76991,-0.381966,-47.7458,-0.809017,-0.587785,0.00448799,-0.173358,-0.125952
43,3.85967,-0.731533,-91.4417,-0.753071,-0.657939,0.00448799,-0.309052,-0.270011
44,3.94943,-1.08973,-136.216,-0.691063,-0.722795,0.00448799,-0.422472,-0.441871
45,4.03919,-1.44504,-180.63,-0.62349,-0.781831,0.00448799,-0.505442,-0.633805
46,4.12895,-1.78605,-223.256,-0.550897,-0.834573,0.00448799,-0.551983,-0.836219
47,4.21871,-2.10179,-262.724,-0.473869,-0.880596,0.00448799,-0.55874,-1.03831
48,4.30847,-2.38213,-297.766,-0.393025,-0.919528,0.00448799,-0.525227,-1.22883
49,4.39823,-2.61803,-327.254,-0.309017,-0.951057,0.00448799,-0.453857,-1.39683
50,4.48799,-2.80194,-350.242,-0.222521,-0.974928,0.00448799,-0.349777,-1.53247
51,4.57775,-2.92793,-365.991,-0.134233,-0.99095,0.00448799,-0.220487,-1.6277
52,4.66751,-2.99195,-373.994,-0.0448648,-0.998993,0.00448799,-0.0753047,-1.67679
53,4.75727,-2.99195,-373.994,0.0448648,-0.998993,0.00448799,0.0753047,-1.67679
54,4.84703,-2.92793,-365.991,0.134233,-0.99095,0.00448799,0.220487,-1.6277
55,4.93679,-2.80194,-350.242,0.222521,-0.974928,0.00448799,0.349777,-1.53247
56,5.02655,-2.61803,-327.254,0.309017,-0.951057,0.00448799,0.453857,-1.39683
57,5.11631,-2.38213,-297.766,0.393025,-0.919528,0.00448799,0.525227,-1.22883
58,5.20607,-2.10179,-262.724,0.473869,-0.880596,0.00448799,0.55874,-1.03831
59,5.29583,-1.78605,-223.256,0.550897,-0.834573,0.00448799,0.551983,-0.836219
60,5.38559,-1.44504,-180.63,0.62349,-0.781831,0.00448799,0.505442,-0.633805
61,5.47535,-1.08973,-136.216,0.691063,-0.722795,0.00448799,0.422472,-0.441871
62,5.56511,-0.731533,-91.4417,0.753071,-0.657939,0.00448799,0.309052,-0.270011
63,5.65487,-0.381966,-47.7458,0.809017,-0.587785,0.00448799,0.173358,-0.125952
64,5.74463,-0.0522627,-6.53283,0.858449,-0.512899,0.00448799,0.0251691,-0.0150378
65,5.83439,0.24698,30.8725,0.900969,-0.433884,0.00448799,-0.124834,0.0601169
66,5.92415,0.506143,63.2679,0.936235,-0.351375,0.00448799,-0.26584,0.0997713
67,6.01391,0.716898,89.6122,0.963963,-0.266037,0.00448799,-0.387685,0.106994
68,6.10367,0.87247,109.059,0.98393,-0.178557,0.00448799,-0.481589,0.0873955
69,6.19343,0.967859,120.982,0.995974,-0.0896393,0.00448799,-0.540782,0.0486713

Fx,2.44249e-15
Fy,1.11022e-15
CD,1.95399e-16
CL,8.88178e-17
