time,ID,r,z,u_r,u_z,rho,pressure,pairAr,pairAz,totalAr,totalAz
0,1048,0.625,14.125,0,0,1001.17,18404.5,-29.3547,9.76793,0.058186,-0.0420669
0.01,1048,0.625001,14.125,7.04802e-05,-0.00070407,1001.16,18335.9,-29.3425,9.66795,-0.0392121,-0.142048
0.02,1048,0.625002,14.125,0.000198263,-0.00275569,1001.17,18435.8,-29.416,9.63207,0.0467983,-0.177934
0.03,1048,0.625005,14.1249,0.000237618,-0.00318372,1001.15,18188.1,-29.1023,9.82282,-0.0351544,0.0128194
0.04,1048,0.625011,14.1249,0.00221034,-0.00545588,1001.12,17580.7,-27.3436,9.21131,0.753763,-0.59869
0.05,1048,0.625113,14.1248,0.0234221,-0.0224832,1000.76,11912,-15.2261,6.07864,3.81525,-3.73136
0.06,1048,0.625517,14.1242,0.0473706,-0.0996936,999.458,0,-0.000652587,-0.00116752,-0.000652587,-9.81117
0.07,1048,0.625991,14.1228,0.0473641,-0.197805,997.98,0,-0.000654934,-0.00117202,-0.000654934,-9.81117
0.08,1048,0.626464,14.1203,0.0473575,-0.295917,996.502,0,-0.000657423,-0.00117675,-0.000657423,-9.81118
0.09,1048,0.626938,14.1168,0.0473509,-0.394029,995.04,0,-0.000660049,-0.00118171,-0.000660049,-9.81118
0.1,1048,0.627411,14.1124,0.0473443,-0.492141,993.599,0,-0.000662807,-0.00118688,-0.000662807,-9.81119
0.11,1048,0.627885,14.107,0.0473377,-0.590253,992.178,0,-0.000665694,-0.00119227,-0.000665694,-9.81119
0.12,1048,0.628358,14.1006,0.047331,-0.688365,990.778,0,-0.000668704,-0.00119785,-0.000668704,-9.8112
0.13,1048,0.628831,14.0932,0.0473243,-0.786477,989.395,0,-0.000671835,-0.00120364,-0.000671835,-9.8112
0.14,1048,0.629305,14.0849,0.0473176,-0.884589,988.03,0,-0.000675084,-0.00120961,-0.000675084,-9.81121
0.15,1048,0.629778,14.0755,0.0473108,-0.982701,986.679,0,-0.000678446,-0.00121577,-0.000678446,-9.81122
0.16,1048,0.630251,14.0652,0.047304,-1.08081,985.343,0,-0.000681919,-0.0012221,-0.000681919,-9.81122
0.17,1048,0.630724,14.0539,0.0472972,-1.17893,984.019,0,-0.0006855,-0.00122862,-0.0006855,-9.81123
0.18,1048,0.631197,14.0416,0.0472903,-1.27704,982.707,0,-0.000689195,-0.0012353,-0.000689195,-9.81124
0.19,1048,0.63167,14.0284,0.0472834,-1.37515,981.406,0,-0.000693024,-0.00124218,-0.000693024,-9.81124
0.2,1048,0.632142,14.0141,0.0472764,-1.47326,980.116,0,-0.000696953,-0.00124921,-0.000696953,-9.81125
