time,ID,r,z,u_r,u_z,rho,pressure,pairAr,pairAz,totalAr,totalAz
0,858,4.25,7.75,0,0,1006.66,159946,-37.3556,9.80214,0.0298072,-0.00785617
0.01,858,4.25,7.75,0.000301372,-7.85072e-05,1006.66,159945,-37.3533,9.80211,0.0317925,-0.0078942
0.02,858,4.25001,7.75,0.00128018,-0.000189422,1006.65,159769,-36.9255,9.78242,0.418797,-0.0275774
0.03,858,4.25008,7.74999,0.0205463,-0.00136539,1006.52,156602,-31.6872,9.49882,4.9207,-0.311179
0.04,858,4.25077,7.74995,0.147266,-0.0106354,1005.54,132518,-6.75178,7.80437,24.2516,-2.00563
0.05,858,4.25392,7.74968,0.529714,-0.0484574,1002.67,63297.3,36.3577,3.85923,51.1979,-5.95077
0.06,858,4.26194,7.74882,1.06936,-0.133292,997.899,-49153.2,57.6804,-0.897879,46.1231,-10.7079
0.07,858,4.27436,7.74689,1.34017,-0.256631,993.508,-149910,36.5922,-3.58402,1.29123,-13.394
0.08,858,4.28675,7.74365,1.03145,-0.388749,992.249,-178309,-16.978,-2.58431,-58.8983,-12.3943
0.09,858,4.29345,7.73919,0.268404,-0.499406,993.352,-153438,-47.3312,0.104498,-83.308,-9.7055
0.1,858,4.29234,7.73375,-0.433952,-0.585578,993.696,-145654,-15.4423,2.03676,-49.591,-7.77324
0.11,858,4.28637,7.72754,-0.681102,-0.651824,993.149,-158020,34.8477,4.80484,-2.27225,-5.00516
0.12,858,4.27995,7.72087,-0.562406,-0.671227,994.79,-120757,50.8687,12.2603,22.5063,2.4503
0.13,858,4.27572,7.71444,-0.256655,-0.599348,999.69,-7295.94,41.0622,21.5659,39.3553,11.7559
0.14,858,4.27541,7.70912,0.210362,-0.464562,1005.23,124979,16.8102,20.3057,45.8903,10.4957
0.15,858,4.2795,7.70476,0.560735,-0.43535,1007.27,174939,-22.8529,3.4034,17.7304,-6.4066
0.16,858,4.28523,7.69977,0.512877,-0.589371,1005.42,129811,-52.0659,-12.2686,-21.9366,-22.0786
0.17,858,4.28898,7.69269,0.229924,-0.830067,1003.57,85049.9,-45.922,-13.8844,-26.1628,-23.6944
0.18,858,4.29042,7.68331,0.108105,-1.03524,1004.01,95600.2,-19.6865,-7.16678,2.50673,-16.9768
0.19,858,4.29198,7.67219,0.227064,-1.18145,1005.07,121169,-12.8593,-3.55624,15.2298,-13.3662
0.2,858,4.29482,7.65969,0.314707,-1.32398,1004.78,114074,-25.0643,-5.89871,1.37024,-15.7087
0.21,858,4.2979,7.6456,0.300365,-1.49864,1003.44,81727.2,-17.7343,-8.76272,1.21616,-18.5727
0.22,858,4.30134,7.62971,0.430322,-1.67409,1001.83,43282.5,15.5889,-4.98121,25.6331,-14.7912
0.23,858,4.30725,7.61236,0.769904,-1.78251,999.938,-1464.67,36.1875,3.10884,35.8474,-6.70116
0.24,858,4.31646,7.59432,1.03346,-1.81456,997.567,-56873.4,25.2691,8.95405,12.061,-0.855955
0.25,858,4.32683,7.57618,0.984393,-1.81103,995.418,-106399,3.56331,10.6673,-21.1403,0.857307
0.26,858,4.3352,7.5581,0.657388,-1.80592,994.668,-123553,-11.138,9.90335,-39.7907,0.0933461
0.27,858,4.33969,7.54003,0.240571,-1.80936,995.243,-110405,-14.9643,9.12838,-40.5267,-0.681616
0.28,858,4.34027,7.52189,-0.100639,-1.81796,996.058,-91719.9,-3.84489,8.86382,-25.0608,-0.946176
0.29,858,4.3384,7.50366,-0.232822,-1.82832,996.701,-76918.7,17.0966,8.73438,-0.691828,-1.07562
0.3,858,4.33643,7.48533,-0.124874,-1.83826,997.804,-51374.4,31.7842,8.85826,19.911,-0.951742
0.31,858,4.33636,7.4669,0.1227,-1.85007,999.794,-4838.81,27.9112,7.96263,26.7952,-1.84737
0.32,858,4.33884,7.44825,0.354567,-1.88891,1002.19,51891.4,4.10395,2.4738,16.0376,-7.3362
0.33,858,4.3429,7.42884,0.428921,-2.00818,1003.58,85116.8,-20.0458,-6.78036,-0.516599,-16.5904
0.34,858,4.34698,7.4078,0.373788,-2.20913,1003.3,78470,-26.487,-12.281,-8.49471,-22.091
0.35,858,4.35027,7.38459,0.285241,-2.43137,1002.69,63889.5,-22.8244,-11.6577,-8.17749,-21.4677
0.36,858,4.35278,7.35926,0.225916,-2.62996,1003.29,78205,-20.2848,-8.72481,-2.37707,-18.5348
0.37,858,4.35506,7.33208,0.243883,-2.80198,1004.82,115069,-19.9864,-6.17388,6.30881,-15.9839
0.38,858,4.35796,7.30331,0.349697,-2.9466,1005.88,140976,-18.4083,-2.44371,13.7515,-12.2537
0.39,858,4.36222,7.27333,0.508402,-3.03543,1005.61,134354,-13.3456,4.99822,17.2819,-4.81178
0.4,858,4.36819,7.2429,0.6864,-3.03402,1004.13,98376.4,-4.17944,14.7622,18.2491,4.95215
0.41,858,4.37596,7.21296,0.86432,-2.94184,1002.05,48608.9,5.51228,22.5096,16.5977,12.6996
0.42,858,4.38533,7.18423,0.994859,-2.8012,999.874,-2968.18,7.99599,23.2167,7.31906,13.4067
0.43,858,4.3954,7.15684,0.994316,-2.68172,997.898,-49182.9,3.20783,20.0013,-8.00537,10.1913
0.44,858,4.40468,7.13045,0.838229,-2.60566,996.546,-80493.4,-3.09929,14.4723,-21.4372,4.66225
0.45,858,4.41187,7.10452,0.594215,-2.59069,996.053,-91838.3,-4.19044,8.15791,-25.0891,-1.65209
0.46,858,4.41666,7.07844,0.378978,-2.63583,996.461,-82448.7,2.81585,2.72875,-15.9181,-7.08125
0.47,858,4.41989,7.05165,0.288929,-2.72825,997.377,-61270.4,11.7094,-1.42423,-2.18949,-11.2342
0.48,858,4.42285,7.02374,0.318973,-2.85894,998.544,-34137.2,14.2695,-5.27085,6.53984,-15.0808
0.49,858,4.42643,6.99434,0.401451,-3.02681,999.877,-2885.91,9.832,-8.56301,9.17995,-18.373
0.5,858,4.43092,6.96312,0.495435,-3.21788,1001.5,35479.5,1.27691,-8.51945,9.27216,-18.3295
0.51,858,4.43633,6.9301,0.584639,-3.37568,1003.07,72891.8,-7.81594,-2.54428,8.56448,-12.3543
0.52,858,4.44258,6.89587,0.663732,-3.45899,1004.11,98035.3,-15.308,4.49511,6.66886,-5.31489
0.53,858,4.44949,6.86107,0.711354,-3.49796,1004.45,106087,-21.2605,5.88594,2.47659,-3.92406
0.54,858,4.45665,6.82582,0.711961,-3.55965,1004.22,100729,-24.2199,1.65008,-1.71297,-8.15992
0.55,858,4.46365,6.78976,0.688417,-3.65711,1003.94,93825,-22.9833,-0.094705,-2.04598,-9.90471
0.56,858,4.4705,6.75278,0.688997,-3.72634,1003.81,90627.8,-17.4082,7.58272,2.78739,-2.22728
0.57,858,4.47764,6.71557,0.752496,-3.69921,1003.69,87750.6,-9.61569,16.9136,9.90983,7.10356
0.58,858,4.48577,6.67902,0.881076,-3.60527,1003.04,72242.8,-1.09187,19.8657,14.9642,10.0557
0.59,858,4.49536,6.64345,1.03949,-3.51089,1001.93,45821.4,5.54373,18.2033,15.7171,8.3933
0.6,858,4.50648,6.60872,1.17287,-3.44129,1000.72,17064.8,5.56748,15.341,9.35146,5.53104
0.61,858,4.51849,6.57451,1.21164,-3.40941,999.762,-5604.35,-0.836627,10.1333,-2.07724,0.323315
0.62,858,4.53031,6.54034,1.13313,-3.43474,999.1,-21130.5,-8.09522,4.37622,-12.7637,-5.43378
0.63,858,4.54089,6.50562,0.975426,-3.51773,998.818,-27740.7,-11.1839,-1.0685,-17.3002,-10.8785
0.64,858,4.54982,6.46984,0.817526,-3.64377,998.955,-24525.2,-7.16407,-3.78601,-12.5601,-13.596
0.65,858,4.55752,6.4327,0.740403,-3.78323,999.473,-12377.3,0.246005,-4.1132,-2.47121,-13.9232
0.66,858,4.56497,6.39419,0.764775,-3.91631,1000.18,4126.04,5.57275,-2.53819,6.47644,-12.3482
0.67,858,4.57304,6.35447,0.85526,-4.02151,1000.97,22890.2,5.75922,1.58432,10.7598,-8.22568
