h_coefficient,L2_P_Gaussian,L2_P_Cubic,L2_P_Wendland,L2_Grad_Gaussian,L2_Grad_Cubic,L2_Grad_Wendland,L2_DrhoDt_Gaussian,L2_DrhoDt_Cubic,L2_DrhoDt_Wendland
1.2,0.147118,0.136113,0.131106,282.867520822858,286.729855986639,266.172544599623,0,0,0
1.5,0.1582,0.149997,0.142339,256.134805524961,298.611754499095,292.188179232303,0,0,0
1.8,0.164735,0.158499,0.153289,226.832738370242,257.459917191996,263.3293878091,0,0,0
2,0.168125,0.162314,0.158239,210.612521420065,242.442664291657,246.413383958249,0,0,0
