time,ID,r,z,u_r,u_z,rho,pressure,pairAr,pairAz,totalAr,totalAz
0,666,13.75,7.75,0,0,1000.31,2452.88,-0.261823,8.24537,-0.0834877,-1.56463
0.01,666,13.75,7.74993,-0.000749013,-0.014012,1000.39,3061.08,-0.280531,8.7201,-0.0579936,-1.0899
0.02,666,13.75,7.74975,-0.001029,-0.0197849,1000.83,6507.04,-0.391347,11.6183,0.0815014,1.80833
0.03,666,13.75,7.74965,0.000163323,0.00126703,1000.94,7365.83,-0.378622,11.9267,0.156575,2.1167
0.04,666,13.75,7.74976,0.00218753,0.0171677,1000.92,7253.25,-0.218018,11.9707,0.309006,2.1607
0.05,666,13.75,7.75,0.00617055,0.0261826,1000.65,5107.36,0.13759,9.19828,0.508793,-0.611723
0.06,666,13.7501,7.75017,0.0128197,0.00263276,1000.45,3509.89,0.795976,7.18618,1.05112,-2.62382
0.07,666,13.7503,7.75001,0.0250066,-0.0405878,1000.16,1234.41,1.26324,3.79054,1.353,-6.01946
0.08,666,13.7506,7.74925,0.038851,-0.116001,1000.04,322.925,1.5974,1.64957,1.62088,-8.16043
0.09,666,13.7511,7.74764,0.0533519,-0.207808,999.962,-295.077,1.20823,-0.214323,1.18677,-10.0243
0.1,666,13.7517,7.74505,0.0614184,-0.312893,999.918,-645.304,0.495743,-1.11926,0.448814,-10.9293
0.11,666,13.7523,7.74137,0.0614965,-0.421156,999.99,-77.6766,-0.413121,-0.700957,-0.418769,-10.511
0.12,666,13.7529,7.73666,0.0539858,-0.519641,1000.07,541.75,-1.06793,0.669831,-1.02854,-9.14017
0.13,666,13.7534,7.73103,0.0436039,-0.601973,1000.18,1391.75,-1.02263,2.46547,-0.921459,-7.34453
0.14,666,13.7538,7.72467,0.0375478,-0.668363,1000.3,2332.73,-0.449187,4.18273,-0.279631,-5.62727
0.15,666,13.7541,7.71771,0.0388756,-0.723199,1000.26,2077.61,0.364679,4.24032,0.515693,-5.56968
0.16,666,13.7546,7.71019,0.0464219,-0.782876,1000.27,2149.26,0.693073,4.23766,0.849289,-5.57234
0.17,666,13.7551,7.70207,0.0540558,-0.843445,1000.2,1535.32,0.465108,3.31528,0.576705,-6.49472
0.18,666,13.7556,7.6933,0.056713,-0.909831,1000.27,2107.59,-0.134089,4.19228,0.019086,-5.61772
0.19,666,13.7562,7.68394,0.0541294,-0.961356,1000.34,2653.78,-0.664022,5.25197,-0.471172,-4.55803
0.2,666,13.7567,7.67412,0.0491049,-0.999341,1000.56,4377.25,-0.62848,7.90623,-0.310467,-1.90377
0.21,666,13.7572,7.66405,0.0484755,-1.01268,1000.59,4618.77,-0.0940988,8.81896,0.241439,-0.991041
0.22,666,13.7577,7.65387,0.05425,-1.02356,1000.7,5482.13,0.555842,9.94963,0.954042,0.139632
0.23,666,13.7583,7.64362,0.0656088,-1.0293,1000.54,4249.24,0.916009,8.31233,1.22469,-1.49767
0.24,666,13.759,7.63322,0.0769359,-1.05467,1000.52,4111.1,0.805897,7.90862,1.10453,-1.90138
0.25,666,13.7598,7.62255,0.0851791,-1.08111,1000.41,3207.39,0.283427,6.52435,0.51643,-3.28565
0.26,666,13.7607,7.61157,0.0876198,-1.11716,1000.49,3881.63,-0.0554552,7.42044,0.226487,-2.38956
0.27,666,13.7616,7.60028,0.0891183,-1.14019,1000.49,3845.62,-0.138223,7.59272,0.141087,-2.21728
0.28,666,13.7625,7.58877,0.0916206,-1.16206,1000.62,4887.12,0.155881,8.95314,0.510765,-0.856861
0.29,666,13.7634,7.5771,0.0984452,-1.17339,1000.54,4222.07,0.523756,8.21299,0.830352,-1.59701
0.3,666,13.7645,7.56526,0.107357,-1.19627,1000.56,4409.52,0.668748,8.27315,0.988924,-1.53685
0.31,666,13.7656,7.55319,0.116122,-1.21939,1000.43,3354.1,0.468292,6.69578,0.711847,-3.11422
0.32,666,13.7668,7.54082,0.121123,-1.25718,1000.45,3510.82,0.198781,6.81962,0.453689,-2.99038
0.33,666,13.768,7.52809,0.1241,-1.29006,1000.4,3134.33,-0.0490475,6.27636,0.178515,-3.53364
0.34,666,13.7692,7.51501,0.125671,-1.32665,1000.49,3859.21,0.0322433,7.25015,0.312383,-2.55985
0.35,666,13.7705,7.50161,0.129883,-1.35317,1000.45,3575.7,0.286602,6.9819,0.546148,-2.8281
0.36,666,13.7718,7.48793,0.136558,-1.38432,1000.52,4124.52,0.562474,7.65614,0.861807,-2.15386
0.37,666,13.7733,7.47396,0.145563,-1.40984,1000.44,3469.79,0.646063,6.7952,0.897874,-3.0148
0.38,666,13.7748,7.4597,0.15389,-1.44435,1000.49,3887.07,0.638246,7.34959,0.920295,-2.46041
0.39,666,13.7763,7.44513,0.162077,-1.47126,1000.44,3493.72,0.461112,6.91261,0.714602,-2.89739
0.4,666,13.778,7.43026,0.1685,-1.50103,1000.56,4390.82,0.488465,8.24467,0.80697,-1.56533
0.41,666,13.7797,7.41518,0.176581,-1.51609,1000.54,4224.32,0.509441,8.3139,0.815837,-1.4961
0.42,666,13.7815,7.39994,0.18486,-1.53145,1000.67,5292.83,0.616094,9.84074,0.999888,0.0307413
0.43,666,13.7834,7.38462,0.194545,-1.53298,1000.6,4750.16,0.557552,9.33539,0.901973,-0.474608
0.44,666,13.7854,7.36925,0.202307,-1.54242,1000.68,5374.24,0.367254,10.085,0.756838,0.27505
0.45,666,13.7875,7.35382,0.208056,-1.54584,1000.56,4413.45,0.0598868,8.72593,0.379813,-1.08407
0.46,666,13.7896,7.33828,0.209995,-1.56514,1000.56,4423.83,-0.239159,8.49105,0.0814711,-1.31895
0.47,666,13.7917,7.32254,0.209702,-1.58712,1000.42,3297.3,-0.350054,6.66631,-0.111075,-3.14369
0.48,666,13.7937,7.30648,0.208351,-1.62804,1000.37,2939.22,-0.386303,5.89175,-0.173298,-3.91825
0.49,666,13.7958,7.28997,0.20715,-1.6752,1000.26,2059.29,-0.19443,4.3256,-0.0452006,-5.4844
0.5,666,13.7979,7.27293,0.207715,-1.73616,1000.25,1960.01,0.00836758,4.01889,0.150383,-5.79111
0.51,666,13.8,7.25526,0.210365,-1.79687,1000.22,1764.64,0.252824,3.53784,0.380668,-6.27216
0.52,666,13.8021,7.23698,0.215316,-1.85981,1000.29,2282.52,0.542893,4.30735,0.708219,-5.50265
0.53,666,13.8043,7.21811,0.223326,-1.91306,1000.31,2468.87,0.696235,4.6692,0.875027,-5.1408
0.54,666,13.8066,7.19873,0.2325,-1.96247,1000.41,3260.52,0.887818,5.99863,1.12388,-3.81137
0.55,666,13.809,7.17892,0.243623,-1.9991,1000.41,3184.46,0.842327,6.22753,1.07284,-3.58247
0.56,666,13.8114,7.15875,0.25365,-2.03465,1000.51,4002.11,0.859955,7.59534,1.14958,-2.21466
0.57,666,13.814,7.1383,0.264389,-2.05666,1000.47,3728.75,0.725592,7.57385,0.995389,-2.23615
0.58,666,13.8167,7.11762,0.273816,-2.07902,1000.62,4870.22,0.820143,9.31054,1.17241,-0.499461
0.59,666,13.8195,7.09681,0.285668,-2.08272,1000.61,4764.89,0.860945,9.53573,1.20553,-0.274272
0.6,666,13.8224,7.07597,0.29814,-2.08405,1000.81,6377.65,1.11503,11.9132,1.57606,2.10318
0.61,666,13.8255,7.05524,0.314294,-2.06128,1000.79,6221.23,1.17709,12.1526,1.62672,2.34256
0.62,666,13.8287,7.03475,0.33019,-2.03821,1000.99,7814.45,1.25454,14.4762,1.81907,4.66616
0.63,666,13.8321,7.01459,0.347247,-1.99383,1000.9,7061.09,1.04366,13.8225,1.55368,4.0125
0.64,666,13.8357,6.99483,0.360898,-1.96002,1001.02,8014.31,0.869899,15.0972,1.44856,5.28724
0.65,666,13.8393,6.97547,0.373617,-1.91542,1000.84,6625.14,0.620165,13.2734,1.09848,3.46339
0.66,666,13.8431,6.95645,0.383302,-1.89167,1000.89,7025.67,0.596083,13.5983,1.10315,3.78835
0.67,666,13.847,6.93769,0.394067,-1.86377,1000.72,5645.18,0.664988,11.5468,1.07238,1.73678
0.68,666,13.851,6.91911,0.40523,-1.85594,1000.78,6152.25,0.975539,11.983,1.41936,2.17297
0.69,666,13.8551,6.90064,0.420233,-1.84106,1000.67,5253.17,1.18865,10.5915,1.56755,0.78155
0.7,666,13.8594,6.88224,0.436315,-1.83957,1000.76,5980.33,1.50874,11.3929,1.93991,1.58289
0.71,666,13.8639,6.86391,0.455407,-1.82942,1000.66,5176.22,1.45791,10.1455,1.83103,0.335457
0.72,666,13.8685,6.8456,0.472284,-1.83406,1000.69,5398,1.44652,10.2187,1.83548,0.408668
