h/dp :,2
L2norm Pressure,KE,dp,Nparticles
35893.6,1.8358e+07,0.25,2560

t,7.2
ID,r,z,,rho,drhodt,pressure,,u_r,u_z,velocity,,pairAr,pairAz,totalAr,totalAz,Type
62,15.625,-0.125,,1006.22,0,49762.7,,0,0,0,,0,0,3.16512,-9.81,boundary
63,15.875,-0.125,,1006.2,0,49606.7,,0,0,0,,0,0,3.10556,-9.81,boundary
64,16.125,-0.125,,1006.18,0,49439.6,,0,0,0,,0,0,3.04718,-9.81,boundary
65,16.375,-0.125,,1006.16,0,49277.2,,0,0,0,,0,0,2.99086,-9.81,boundary
66,16.625,-0.125,,1006.15,0,49135.9,,0,0,0,,0,0,2.93749,-9.81,boundary
67,16.875,-0.125,,1006.13,0,49033.1,,0,0,0,,0,0,2.88795,-9.81,boundary
68,17.125,-0.125,,1006.13,0,48967.7,,0,0,0,,0,0,2.84202,-9.81,boundary
69,17.375,-0.125,,1006.12,0,48934.4,,0,0,0,,0,0,2.79923,-9.81,boundary
70,17.625,-0.125,,1006.12,0,48921.5,,0,0,0,,0,0,2.7588,-9.81,boundary
71,17.875,-0.125,,1006.12,0,48931.7,,0,0,0,,0,0,2.72078,-9.81,boundary
72,18.125,-0.125,,1006.12,0,48946.6,,0,0,0,,0,0,2.68407,-9.81,boundary
73,18.375,-0.125,,1006.12,0,48959.5,,0,0,0,,0,0,2.64824,-9.81,boundary
74,18.625,-0.125,,1006.13,0,48966.7,,0,0,0,,0,0,2.61308,-9.81,boundary
75,18.875,-0.125,,1006.13,0,48981.9,,0,0,0,,0,0,2.57927,-9.81,boundary
76,19.125,-0.125,,1006.13,0,48994.6,,0,0,0,,0,0,2.5462,-9.81,boundary
77,19.375,-0.125,,1006.13,0,48995.3,,0,0,0,,0,0,2.51339,-9.81,boundary
78,19.625,-0.125,,1006.13,0,49003.9,,0,0,0,,0,0,2.4818,-9.81,boundary
79,19.875,-0.125,,1006.13,0,49028.1,,0,0,0,,0,0,2.45179,-9.81,boundary
80,20.125,-0.125,,1006.13,0,49037.6,,0,0,0,,0,0,2.42179,-9.81,boundary
81,20.375,-0.125,,1006.13,0,49013.2,,0,0,0,,0,0,2.39089,-9.81,boundary
82,20.625,-0.125,,1006.13,0,48962.9,,0,0,0,,0,0,2.3595,-9.81,boundary
83,20.875,-0.125,,1006.12,0,48880.7,,0,0,0,,0,0,2.32736,-9.81,boundary
84,21.125,-0.125,,1006.11,0,48801.1,,0,0,0,,0,0,2.29609,-9.81,boundary
85,21.375,-0.125,,1006.1,0,48727.2,,0,0,0,,0,0,2.26582,-9.81,boundary
86,21.625,-0.125,,1006.09,0,48660.2,,0,0,0,,0,0,2.23657,-9.81,boundary
87,21.875,-0.125,,1006.08,0,48593.4,,0,0,0,,0,0,2.20799,-9.81,boundary
88,22.125,-0.125,,1006.07,0,48520.6,,0,0,0,,0,0,2.17979,-9.81,boundary
89,22.375,-0.125,,1006.06,0,48453.1,,0,0,0,,0,0,2.15245,-9.81,boundary
90,22.625,-0.125,,1006.05,0,48382.5,,0,0,0,,0,0,2.12559,-9.81,boundary
91,22.875,-0.125,,1006.04,0,48308.6,,0,0,0,,0,0,2.09916,-9.81,boundary
92,23.125,-0.125,,1006.04,0,48241.1,,0,0,0,,0,0,2.07358,-9.81,boundary
93,23.375,-0.125,,1006.03,0,48203.1,,0,0,0,,0,0,2.0498,-9.81,boundary
94,23.625,-0.125,,1006.03,0,48207.4,,0,0,0,,0,0,2.02829,-9.81,boundary
95,23.875,-0.125,,1006.03,0,48227.3,,0,0,0,,0,0,2.00788,-9.81,boundary
96,24.125,-0.125,,1006.04,0,48257.3,,0,0,0,,0,0,1.9883,-9.81,boundary
97,24.375,-0.125,,1006.05,0,48327.7,,0,0,0,,0,0,1.97076,-9.81,boundary
98,24.625,-0.125,,1006.06,0,48465,,0,0,0,,0,0,1.95626,-9.81,boundary
99,24.875,-0.125,,1006.09,0,48656.9,,0,0,0,,0,0,1.94422,-9.81,boundary
100,25.125,-0.125,,1006.11,0,48814.9,,0,0,0,,0,0,1.93109,-9.81,boundary
101,25.375,-0.125,,1006.1,0,48760.7,,0,0,0,,0,0,1.90995,-9.81,boundary
102,25.625,-0.125,,1006.06,0,48448.7,,0,0,0,,0,0,1.87929,-9.81,boundary
103,0.125,-0.375,,1007.8,0,62686.4,,0,0,0,,0,0,497.608,-9.81,boundary
104,0.375,-0.375,,1007.77,0,62397.4,,0,0,0,,0,0,165.111,-9.81,boundary
105,0.625,-0.375,,1007.74,0,62157.5,,0,0,0,,0,0,98.6883,-9.81,boundary
106,0.875,-0.375,,1007.7,0,61868.1,,0,0,0,,0,0,70.1659,-9.81,boundary
107,1.125,-0.375,,1007.68,0,61709.2,,0,0,0,,0,0,54.4344,-9.81,boundary
108,1.375,-0.375,,1007.69,0,61732.5,,0,0,0,,0,0,44.5539,-9.81,boundary
109,1.625,-0.375,,1007.73,0,62077,,0,0,0,,0,0,37.9082,-9.81,boundary
110,1.875,-0.375,,1007.8,0,62670.8,,0,0,0,,0,0,33.1657,-9.81,boundary
111,2.125,-0.375,,1007.87,0,63202.6,,0,0,0,,0,0,29.5103,-9.81,boundary
112,2.375,-0.375,,1007.87,0,63268.3,,0,0,0,,0,0,26.4312,-9.81,boundary
113,2.625,-0.375,,1007.78,0,62466.2,,0,0,0,,0,0,23.613,-9.81,boundary
114,2.875,-0.375,,1007.54,0,60569.5,,0,0,0,,0,0,20.9099,-9.81,boundary
115,3.125,-0.375,,1007.16,0,57384.5,,0,0,0,,0,0,18.2326,-9.81,boundary
116,3.375,-0.375,,1006.72,0,53778.6,,0,0,0,,0,0,15.8281,-9.81,boundary
117,3.625,-0.375,,1006.33,0,50657.4,,0,0,0,,0,0,13.8865,-9.81,boundary
118,3.875,-0.375,,1006.02,0,48126,,0,0,0,,0,0,12.3453,-9.81,boundary
119,4.125,-0.375,,1005.79,0,46275.4,,0,0,0,,0,0,11.1536,-9.81,boundary
120,4.375,-0.375,,1005.58,0,44571,,0,0,0,,0,0,10.1311,-9.81,boundary
121,4.625,-0.375,,1005.27,0,42023.7,,0,0,0,,0,0,9.03856,-9.81,boundary
122,4.875,-0.375,,1004.97,0,39573,,0,0,0,,0,0,8.07741,-9.81,boundary
123,5.125,-0.375,,1004.78,0,38067.3,,0,0,0,,0,0,7.39242,-9.81,boundary
124,5.375,-0.375,,1004.74,0,37734.7,,0,0,0,,0,0,6.9873,-9.81,boundary
125,5.625,-0.375,,1004.84,0,38571.2,,0,0,0,,0,0,6.82405,-9.81,boundary
126,5.875,-0.375,,1005.24,0,41806.5,,0,0,0,,0,0,7.07888,-9.81,boundary
127,6.125,-0.375,,1005.75,0,45913.1,,0,0,0,,0,0,7.45317,-9.81,boundary
128,6.375,-0.375,,1006.12,0,48929.4,,0,0,0,,0,0,7.6285,-9.81,boundary
129,6.625,-0.375,,1006.41,0,51248.4,,0,0,0,,0,0,7.68637,-9.81,boundary
130,6.875,-0.375,,1006.63,0,53044.9,,0,0,0,,0,0,7.66483,-9.81,boundary
131,7.125,-0.375,,1006.78,0,54320.6,,0,0,0,,0,0,7.57259,-9.81,boundary
132,7.375,-0.375,,1006.93,0,55510.7,,0,0,0,,0,0,7.47509,-9.81,boundary
133,7.625,-0.375,,1007.11,0,57007.6,,0,0,0,,0,0,7.42362,-9.81,boundary
134,7.875,-0.375,,1007.42,0,59518.6,,0,0,0,,0,0,7.50228,-9.81,boundary
135,8.125,-0.375,,1007.75,0,62286.4,,0,0,0,,0,0,7.60703,-9.81,boundary
136,8.375,-0.375,,1007.98,0,64165.2,,0,0,0,,0,0,7.60085,-9.81,boundary
137,8.625,-0.375,,1008.05,0,64695.9,,0,0,0,,0,0,7.44109,-9.81,boundary
138,8.875,-0.375,,1008.03,0,64530.8,,0,0,0,,0,0,7.21318,-9.81,boundary
139,9.125,-0.375,,1007.99,0,64234.5,,0,0,0,,0,0,6.9836,-9.81,boundary
140,9.375,-0.375,,1007.95,0,63891.8,,0,0,0,,0,0,6.76138,-9.81,boundary
141,9.625,-0.375,,1007.88,0,63286.8,,0,0,0,,0,0,6.52387,-9.81,boundary
142,9.875,-0.375,,1007.76,0,62298.6,,0,0,0,,0,0,6.26016,-9.81,boundary
143,10.125,-0.375,,1007.6,0,61056.1,,0,0,0,,0,0,5.98472,-9.81,boundary
144,10.375,-0.375,,1007.46,0,59878.3,,0,0,0,,0,0,5.72866,-9.81,boundary
145,10.625,-0.375,,1007.35,0,58968.2,,0,0,0,,0,0,5.50946,-9.81,boundary
146,10.875,-0.375,,1007.28,0,58355.6,,0,0,0,,0,0,5.32728,-9.81,boundary
147,11.125,-0.375,,1007.23,0,57958.9,,0,0,0,,0,0,5.17241,-9.81,boundary
148,11.375,-0.375,,1007.19,0,57694.4,,0,0,0,,0,0,5.03581,-9.81,boundary
149,11.625,-0.375,,1007.17,0,57467.7,,0,0,0,,0,0,4.90828,-9.81,boundary
150,11.875,-0.375,,1007.14,0,57226.5,,0,0,0,,0,0,4.78492,-9.81,boundary
151,12.125,-0.375,,1007.1,0,56954.6,,0,0,0,,0,0,4.66416,-9.81,boundary
152,12.375,-0.375,,1007.07,0,56689.8,,0,0,0,,0,0,4.54883,-9.81,boundary
153,12.625,-0.375,,1007.04,0,56446.4,,0,0,0,,0,0,4.43974,-9.81,boundary
154,12.875,-0.375,,1007.01,0,56188.7,,0,0,0,,0,0,4.33379,-9.81,boundary
155,13.125,-0.375,,1006.97,0,55888.1,,0,0,0,,0,0,4.22865,-9.81,boundary
156,13.375,-0.375,,1006.93,0,55558,,0,0,0,,0,0,4.12527,-9.81,boundary
157,13.625,-0.375,,1006.89,0,55219.4,,0,0,0,,0,0,4.02506,-9.81,boundary
158,13.875,-0.375,,1006.85,0,54886.7,,0,0,0,,0,0,3.92888,-9.81,boundary
159,14.125,-0.375,,1006.81,0,54514.9,,0,0,0,,0,0,3.83337,-9.81,boundary
160,14.375,-0.375,,1006.75,0,54093.1,,0,0,0,,0,0,3.73775,-9.81,boundary
161,14.625,-0.375,,1006.7,0,53686.9,,0,0,0,,0,0,3.64645,-9.81,boundary
162,14.875,-0.375,,1006.67,0,53371.1,,0,0,0,,0,0,3.56421,-9.81,boundary
163,15.125,-0.375,,1006.64,0,53136.9,,0,0,0,,0,0,3.49002,-9.81,boundary
164,15.375,-0.375,,1006.61,0,52956,,0,0,0,,0,0,3.42166,-9.81,boundary
165,15.625,-0.375,,1006.59,0,52784.9,,0,0,0,,0,0,3.3561,-9.81,boundary
166,15.875,-0.375,,1006.57,0,52599.3,,0,0,0,,0,0,3.29171,-9.81,boundary
167,16.125,-0.375,,1006.55,0,52402.2,,0,0,0,,0,0,3.22861,-9.81,boundary
168,16.375,-0.375,,1006.52,0,52205.1,,0,0,0,,0,0,3.16744,-9.81,boundary
169,16.625,-0.375,,1006.5,0,52033.5,,0,0,0,,0,0,3.10961,-9.81,boundary
170,16.875,-0.375,,1006.49,0,51896.4,,0,0,0,,0,0,3.05553,-9.81,boundary
171,17.125,-0.375,,1006.48,0,51819,,0,0,0,,0,0,3.00646,-9.81,boundary
172,17.375,-0.375,,1006.47,0,51778.2,,0,0,0,,0,0,2.96088,-9.81,boundary
173,17.625,-0.375,,1006.47,0,51766.1,,0,0,0,,0,0,2.9182,-9.81,boundary
174,17.875,-0.375,,1006.47,0,51771.8,,0,0,0,,0,0,2.87771,-9.81,boundary
175,18.125,-0.375,,1006.47,0,51773.7,,0,0,0,,0,0,2.83811,-9.81,boundary
176,18.375,-0.375,,1006.47,0,51763.5,,0,0,0,,0,0,2.79895,-9.81,boundary
177,18.625,-0.375,,1006.47,0,51753.3,,0,0,0,,0,0,2.76085,-9.81,boundary
178,18.875,-0.375,,1006.47,0,51742.1,,0,0,0,,0,0,2.72369,-9.81,boundary
179,19.125,-0.375,,1006.46,0,51712.6,,0,0,0,,0,0,2.68656,-9.81,boundary
180,19.375,-0.375,,1006.46,0,51676.2,,0,0,0,,0,0,2.65004,-9.81,boundary
181,19.625,-0.375,,1006.46,0,51658.4,,0,0,0,,0,0,2.61539,-9.81,boundary
182,19.875,-0.375,,1006.46,0,51656.8,,0,0,0,,0,0,2.58241,-9.81,boundary
183,20.125,-0.375,,1006.45,0,51636.8,,0,0,0,,0,0,2.54935,-9.81,boundary
184,20.375,-0.375,,1006.45,0,51577.3,,0,0,0,,0,0,2.51519,-9.81,boundary
185,20.625,-0.375,,1006.43,0,51471.1,,0,0,0,,0,0,2.47962,-9.81,boundary
186,20.875,-0.375,,1006.42,0,51331.7,,0,0,0,,0,0,2.44333,-9.81,boundary
187,21.125,-0.375,,1006.4,0,51184.1,,0,0,0,,0,0,2.40751,-9.81,boundary
188,21.375,-0.375,,1006.38,0,51049.9,,0,0,0,,0,0,2.37316,-9.81,boundary
189,21.625,-0.375,,1006.37,0,50938.8,,0,0,0,,0,0,2.34065,-9.81,boundary
190,21.875,-0.375,,1006.36,0,50840,,0,0,0,,0,0,2.30944,-9.81,boundary
191,22.125,-0.375,,1006.34,0,50743,,0,0,0,,0,0,2.27901,-9.81,boundary
192,22.375,-0.375,,1006.33,0,50643.1,,0,0,0,,0,0,2.24914,-9.81,boundary
193,22.625,-0.375,,1006.32,0,50528.7,,0,0,0,,0,0,2.21929,-9.81,boundary
194,22.875,-0.375,,1006.3,0,50394,,0,0,0,,0,0,2.18922,-9.81,boundary
195,23.125,-0.375,,1006.28,0,50262.2,,0,0,0,,0,0,2.15993,-9.81,boundary
196,23.375,-0.375,,1006.27,0,50176.5,,0,0,0,,0,0,2.1332,-9.81,boundary
197,23.625,-0.375,,1006.27,0,50155.9,,0,0,0,,0,0,2.10977,-9.81,boundary
198,23.875,-0.375,,1006.28,0,50186.6,,0,0,0,,0,0,2.08895,-9.81,boundary
199,24.125,-0.375,,1006.28,0,50256.2,,0,0,0,,0,0,2.07015,-9.81,boundary
200,24.375,-0.375,,1006.3,0,50381.3,,0,0,0,,0,0,2.05399,-9.81,boundary
201,24.625,-0.375,,1006.32,0,50558.2,,0,0,0,,0,0,2.04023,-9.81,boundary
202,24.875,-0.375,,1006.35,0,50769.5,,0,0,0,,0,0,2.02811,-9.81,boundary
203,25.125,-0.375,,1006.36,0,50904.1,,0,0,0,,0,0,2.01322,-9.81,boundary
